a,b,both,n_a,n_b,applicable,jaccard,p_b_given_a,p_b,lift
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,11057,30136,11089,33518,0.3665,0.3669,0.3308,1.109
ENGINE_OIL_CHANGE,BATTERY_TEST,10984,30136,11153,33518,0.3624,0.3645,0.3327,1.0954
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,9765,30136,9793,33518,0.3237,0.324,0.2922,1.109
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,9212,30136,9240,33518,0.3054,0.3057,0.2757,1.1089
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,8862,30136,8898,33518,0.2937,0.2941,0.2655,1.1077
BATTERY_TEST,BRAKE_FLUID_CHECK,8186,11153,9793,33545,0.6415,0.734,0.2919,2.5142
BATTERY_TEST,AIR_FILTER_INSPECTION,7796,11153,11089,33518,0.5397,0.699,0.3308,2.1128
ENGINE_OIL_CHANGE,CHAIN_CLEAN,7426,10498,7454,11668,0.7055,0.7074,0.6388,1.1073
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,6187,11089,9793,33518,0.421,0.5579,0.2922,1.9096
ENGINE_OIL_CHANGE,CHAIN_LUBRICATE,5948,10498,5969,11668,0.5655,0.5666,0.5116,1.1075
CHAIN_CLEAN,CHAIN_LUBRICATE,5384,7454,5969,11668,0.6697,0.7223,0.5116,1.4119
BATTERY_TEST,AIR_FILTER_CHANGE,5131,11153,9240,33518,0.3362,0.4601,0.2757,1.6688
AIR_FILTER_INSPECTION,AIR_FILTER_CHANGE,4922,11089,9240,33518,0.3195,0.4439,0.2757,1.6101
ENGINE_OIL_CHANGE,CHAIN_INSPECTION,3747,10498,3764,11668,0.3563,0.3569,0.3226,1.1064
BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,3698,9793,9240,33518,0.2411,0.3776,0.2757,1.3698
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHANGE,3627,30136,3637,33518,0.1203,0.1204,0.1085,1.1092
