task_code,display_name_tr,display_name_en,component_group,product_status,support_class,generating_process,test_support,test_prevalence,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall,test_brier,pr_auc_lift_over_prevalence,note
ENGINE_OIL_CHANGE,Motor Yağı Değişimi,Engine Oil Change,ENGINE,PRIMARY,A_CORE,A_DETERMINISTIC_THRESHOLD,4626,0.7846,0.8542,0.6388,0.8793,0.7846,1.0,0.1666,1.089,"CORE label, TEST PR-AUC 0.854 on 4626 positives (absolute PR-AUC 0.854)."
CHAIN_CLEAN,Zincir Temizliği,Drive Chain Cleaning,FINAL_DRIVE,PRIMARY,A_CORE,A_DETERMINISTIC_THRESHOLD,510,0.2519,0.6033,0.8597,0.6314,0.4679,0.9706,0.1446,2.395,"CORE label, TEST PR-AUC 0.603 on 510 positives (absolute PR-AUC 0.603)."
CHAIN_LUBRICATE,Zincir Yağlama,Drive Chain Lubrication,FINAL_DRIVE,PRIMARY,A_CORE,A_DETERMINISTIC_THRESHOLD,433,0.2138,0.4869,0.8385,0.5625,0.3942,0.9815,0.1407,2.277,"CORE label, TEST PR-AUC 0.487 on 433 positives (absolute PR-AUC 0.487)."
CHAIN_INSPECTION,Zincir Kontrolü,Drive Chain Inspection,FINAL_DRIVE,PRIMARY,A_CORE,A_DETERMINISTIC_THRESHOLD,249,0.123,0.3035,0.8081,0.3918,0.3093,0.5341,0.0969,2.467,"CORE label, TEST PR-AUC 0.303 on 249 positives (2.5x prevalence)."
BATTERY_TEST,Akü Testi,Battery Test,ELECTRICAL,PRIMARY,A_CORE,A_DETERMINISTIC_THRESHOLD,780,0.1321,0.2981,0.8022,0.4023,0.2712,0.7782,0.1081,2.257,"CORE label, TEST PR-AUC 0.298 on 780 positives (2.3x prevalence)."
AIR_FILTER_INSPECTION,Hava Filtresi Kontrolü,Air Filter Inspection,INTAKE,PRIMARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,774,0.1313,0.2893,0.801,0.3986,0.2571,0.8863,0.106,2.203,"CORE label, TEST PR-AUC 0.289 on 774 positives (2.2x prevalence)."
AIR_FILTER_CHANGE,Hava Filtresi Değişimi,Air Filter Replacement,INTAKE,PRIMARY,A_CORE,A_DETERMINISTIC_THRESHOLD,616,0.1045,0.2647,0.7927,0.3247,0.2435,0.487,0.0907,2.533,"CORE label, TEST PR-AUC 0.265 on 616 positives (2.5x prevalence)."
BRAKE_FLUID_CHECK,Fren Hidroliği Kontrolü,Brake Fluid Check,BRAKES,PRIMARY,A_CORE,F_MIXED_THRESHOLD_AND_BUNDLE,658,0.1114,0.2505,0.7945,0.3514,0.2449,0.6216,0.0936,2.249,"CORE label, TEST PR-AUC 0.251 on 658 positives (2.2x prevalence)."
GENERAL_SAFETY_INSPECTION,Genel Güvenlik Kontrolü,General Safety Inspection,GENERAL,PRIMARY,A_CORE,D_STOCHASTIC_BUNDLE_ATTACHMENT,611,0.1035,0.2445,0.7942,0.315,0.2479,0.4321,0.0896,2.362,"CORE label, TEST PR-AUC 0.244 on 611 positives (2.4x prevalence)."
BRAKE_FLUID_CHANGE,Fren Hidroliği Değişimi,Brake Fluid Replacement,BRAKES,PRIMARY,A_CORE,A_DETERMINISTIC_THRESHOLD,255,0.0432,0.2288,0.8509,0.147,0.3966,0.0902,0.0383,5.296,"CORE label, TEST PR-AUC 0.229 on 255 positives (5.3x prevalence)."
