field,role,dtype,source_layer,available_at_landmark,model_input
landmark_id,IDENTIFIER_OR_AUDIT,object,V2_1_DERIVED,True,False
motorcycle_id,IDENTIFIER_OR_AUDIT,object,V2_1_DERIVED,True,False
customer_id,IDENTIFIER_OR_AUDIT,object,V2_1_DERIVED,True,False
workshop_id,IDENTIFIER_OR_AUDIT,object,V2_1_DERIVED,True,False
model_id,IDENTIFIER_OR_AUDIT,object,V2_1_DERIVED,True,False
landmark_at,IDENTIFIER_OR_AUDIT,datetime64[ns],V2_1_DERIVED,True,False
source_last_service_id,IDENTIFIER_OR_AUDIT,object,V2_1_DERIVED,True,False
observation_start_date,IDENTIFIER_OR_AUDIT,datetime64[ns],V2_1_DERIVED,True,False
initial_mileage_km,IDENTIFIER_OR_AUDIT,int64,V2_1_DERIVED,True,False
brand,MODEL_FEATURE,object,V2_1_DERIVED,True,True
category,MODEL_FEATURE,object,V2_1_DERIVED,True,True
powertrain_type,MODEL_FEATURE,object,V2_1_DERIVED,True,True
policy_group,MODEL_FEATURE,object,V2_1_DERIVED,True,True
customer_type,MODEL_FEATURE,object,V2_1_DERIVED,True,True
usage_type,MODEL_FEATURE,object,V2_1_DERIVED,True,True
riding_intensity,MODEL_FEATURE,object,V2_1_DERIVED,True,True
climate_zone,MODEL_FEATURE,object,V2_1_DERIVED,True,True
storage_condition,MODEL_FEATURE,object,V2_1_DERIVED,True,True
workshop_region,MODEL_FEATURE,object,V2_1_DERIVED,True,True
workshop_price_level,MODEL_FEATURE,object,V2_1_DERIVED,True,True
last_service_type_code,MODEL_FEATURE,object,V2_1_DERIVED,True,True
last_arrival_mode,MODEL_FEATURE,object,V2_1_DERIVED,True,True
production_age_days,MODEL_FEATURE,int64,V2_1_DERIVED,True,True
ownership_age_days,MODEL_FEATURE,int64,V2_1_DERIVED,True,True
is_fleet_customer,MODEL_FEATURE,int64,V2_1_DERIVED,True,True
current_odometer_km_at_landmark,MODEL_FEATURE,int64,V2_1_DERIVED,True,True
annual_km_baseline,MODEL_FEATURE,int64,V2_1_DERIVED,True,True
recent_90d_km,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
recent_vs_baseline_usage_ratio,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
days_since_last_service,MODEL_FEATURE,int64,V2_1_DERIVED,True,True
km_since_last_service,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
avg_km_per_day_since_last_service,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
oem_interval_days,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
oem_interval_km,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
days_due_ratio,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
km_due_ratio,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
max_due_ratio,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
days_overdue,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
km_overdue,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
maintenance_due_now,MODEL_FEATURE,int8,V2_1_DERIVED,True,True
due_task_count,MODEL_FEATURE,int16,V2_1_DERIVED,True,True
critical_due_task_count,MODEL_FEATURE,int16,V2_1_DERIVED,True,True
days_until_next_scheduled_due,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
km_until_next_scheduled_due,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
recent_service_count_90d,MODEL_FEATURE,int32,V2_1_DERIVED,True,True
recent_service_count_365d,MODEL_FEATURE,int32,V2_1_DERIVED,True,True
prior_service_count,MODEL_FEATURE,int32,V2_1_DERIVED,True,True
prior_periodic_service_count,MODEL_FEATURE,int32,V2_1_DERIVED,True,True
prior_breakdown_count,MODEL_FEATURE,int32,V2_1_DERIVED,True,True
prior_repair_count,MODEL_FEATURE,int32,V2_1_DERIVED,True,True
historical_service_delay_mean_days,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
historical_on_time_rate,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
cumulative_service_spend,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
last_service_was_breakdown,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
last_service_was_warranty,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
last_service_task_count,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
last_service_spend,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
service_bay_count,MODEL_FEATURE,int64,V2_1_DERIVED,True,True
appointment_rate,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
avg_parts_lead_days,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
customer_volume_index,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
landmark_month_sin,MODEL_FEATURE,float64,V2_1_DERIVED,True,True
