model_id,brand,model,category,official_source,maintenance_schedule,task_level_rows,status
HONDA_PCX125,Honda,PCX125,SCOOTER,YES,YES,5,PARTIAL
HONDA_ACTIVA125,Honda,Activa 125,SCOOTER,NO,NO,0,UNRESOLVED
TVS_JUPITER125,TVS,Jupiter 125,SCOOTER,YES,YES,18,RESOLVED
KUBA_CG50_PRO,Kuba,CG50 Pro,CUB,NO,NO,0,UNRESOLVED
MONDIAL_WING50I,Mondial,Wing 50i,SCOOTER,YES,YES,19,RESOLVED
MONDIAL_50_UAG,Mondial,50 UAG,CUB,YES,YES,19,RESOLVED
RKS_NEW_LIGHT_PRO,RKS,New Light Pro,CUB,NO,NO,0,UNRESOLVED
HONDA_DIO110,Honda,Dio 110,SCOOTER,NO,NO,0,UNRESOLVED
MONDIAL_SFC_MINI_50EC,Mondial,SFC MINI 50ec,CUB,YES,YES,19,RESOLVED
KUBA_BLUEBERRY50,Kuba,Blueberry 50,SCOOTER,NO,NO,0,UNRESOLVED
YAMAHA_NMAX125,Yamaha,NMAX 125,SCOOTER,YES,YES,22,PARTIAL
HONDA_CB125F,Honda,CB125F,NAKED,YES,YES,4,PARTIAL
HONDA_FORZA250,Honda,Forza 250,BIG_SCOOTER,NO,NO,0,UNRESOLVED
YAMAHA_XMAX250,Yamaha,XMAX 250,BIG_SCOOTER,YES,YES,26,RESOLVED
BAJAJ_NS125,Bajaj,Pulsar NS125,NAKED,YES,YES,18,RESOLVED
BAJAJ_NS200,Bajaj,Pulsar NS200 UG2,NAKED,YES,YES,17,RESOLVED
TVS_RAIDER125,TVS,Raider 125,NAKED,YES,YES,21,RESOLVED
SYM_JETX125,SYM,Jet X 125 TCS ABS,SCOOTER,YES,YES,16,RESOLVED
HONDA_SH125I,Honda,SH125i,SCOOTER,YES,YES,7,PARTIAL
HONDA_ADV350,Honda,ADV350,BIG_SCOOTER,NO,NO,0,UNRESOLVED
CFMOTO_250NK,CFMOTO,250NK,NAKED,YES,YES,24,RESOLVED
CFMOTO_250SR,CFMOTO,250SR,SUPERSPORT,NO,NO,0,UNRESOLVED
HONDA_CL250,Honda,CL250,SCRAMBLER,NO,NO,0,UNRESOLVED
KYMCO_XTOWN_CT250,KYMCO,X-Town CT 250,BIG_SCOOTER,YES,YES,18,RESOLVED
TVS_APACHE_RTR200_4V,TVS,Apache RTR 200 4V FI,NAKED,YES,YES,22,RESOLVED
YAMAHA_XSR125,Yamaha,XSR125,NAKED,YES,YES,26,RESOLVED
BAJAJ_DOMINAR250,Bajaj,Dominar D250,TOURING,YES,YES,23,RESOLVED
MONDIAL_EXON50,Mondial,Exon 50,SCOOTER,YES,YES,19,RESOLVED
ROYALENFIELD_HUNTER350,Royal Enfield,Hunter 350,ROADSTER,YES,YES,25,RESOLVED
CFMOTO_250CLX,CFMOTO,250CL-X,ROADSTER,NO,NO,0,UNRESOLVED
CFMOTO_250DUAL,CFMOTO,250 DUAL,ADVENTURE,NO,NO,0,UNRESOLVED
KTM_390_DUKE,KTM,390 Duke,NAKED,YES,YES,21,RESOLVED
MONDIAL_TURISMO50I,Mondial,Turismo 50i,SCOOTER,YES,YES,19,RESOLVED
CFMOTO_450NK,CFMOTO,450NK,NAKED,NO,NO,0,UNRESOLVED
KYMCO_DOWNTOWN250I,KYMCO,Downtown 250i,BIG_SCOOTER,NO,NO,0,UNRESOLVED
HONDA_MONKEY,Honda,Monkey,MINI_BIKE,NO,NO,0,UNRESOLVED
CFMOTO_450CLC,CFMOTO,450 CL-C,CRUISER,NO,NO,0,UNRESOLVED
CFMOTO_650NK,CFMOTO,650NK,NAKED,YES,YES,24,RESOLVED
HONDA_EM1E,Honda,EM1 e:,EV_SCOOTER,NO,NO,0,UNRESOLVED
