source_id,brand,model,variant,year_from,year_to,market,source_type,publisher,document_title,document_version,publication_year,url,access_date,page_numbers,maintenance_table_name,official_source,confidence,notes
SRC_BAJAJ_NS200_OM_BS6,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,OWNER_MANUAL,Bajaj Auto Limited,Owner's Manual - Pulsar RS200 / NS200 BS VI,BS VI,UNKNOWN,https://www.bajajauto.com/pdf/Owner's-Manual-Pulsar-RS200-NS200-BSVI.pdf,2026-08-28,"25 (engine oil), 33-41 (periodic maintenance schedule), 45 (warranty service interval)",Recommended frequency - Service interval & Kms,YES,HIGH,Official Bajaj Auto owner's manual PDF. Printed pages; PDF pages 29 and 37-45. Some schedule cells not machine-readable from PDF (see research_gaps).
SRC_RE_HUNTER350_OM,Royal Enfield,Hunter 350,Single/Dual channel,2022,UNKNOWN,GLOBAL,OWNER_MANUAL,Royal Enfield (Eicher Motors),"Royal Enfield Hunter 350 Owner's Manual (BS VI, Single Channel)",BS VI,UNKNOWN,https://www.royalenfield.com/content/dam/royal-enfield/hunter-350/owners-manual/hunter-350-single-channel.pdf,2026-08-28,"85-91 (Periodical Maintenance chart + legend), 103 (free service schedule)",PERIODICAL MAINTENANCE,YES,HIGH,"Official Royal Enfield owner's manual PDF (108 pages). Legend on printed page 91: A=Adjust, C=Clean, I=Inspect, L=Lubricate, R=Replace."
SRC_BAJAJ_NS200_SEC_SPARKVALVE,Bajaj,Pulsar NS200,BS6,UNKNOWN,UNKNOWN,IN,SECONDARY_TECHNICAL,Third-party (web search aggregation of owner reports),Secondary corroboration: NS200 BS6 spark plug / valve clearance intervals,NA,UNKNOWN,https://www.quora.com/What-is-the-time-interval-of-spark-plug-and-air-filter-replacements-on-an-NS-200,2026-08-28,NA,NA,NO,LOW,"Used ONLY to flag that spark-plug replace interval (~20,000 km) and valve-clearance check exist; NOT emitted as a maintenance_task row because official interval could not be parsed. Recorded here for the gap trail."
SRC_YAM_XSR125_OM_2021,Yamaha,XSR125,MTM125 (BFG-F8199-E0),2021,UNKNOWN,EU,OWNER_MANUAL,"Yamaha Motor Co., Ltd.",XSR125 Motorcycle Owner's Manual,"BFG-F8199-E0 (1st edition, April 2021)",2021,https://www.manualslib.com/manual/2370428/Yamaha-Xsr125.html,2026-08-28,6-2..6-7 (emission-control + general maintenance & lubrication charts),Periodic maintenance chart for the emission control system / General maintenance and lubrication chart,YES,HIGH,Official Yamaha owner's manual (part no BFG-F8199-E0). PDF text extracted; a few km columns inferred from checkmark counts against the standard 1000/6000/12000/18000/24000 km column grid.
SRC_YAM_NMAX125_OM_GPD125A,Yamaha,NMAX 125,GPD125-A (2DS-F8199-E0),2015,2021,EU,OWNER_MANUAL,"Yamaha Motor Co., Ltd.",NMAX 125 Owner's Manual,"2DS-F8199-E0 (1st edition, March 2015)",2015,https://cdn2.yamaha-motor.eu/prod/owner-manuals/Scooters/P2DSF8199E0E.PDF,2026-08-28,6-2..6-6 (emission-control + general maintenance & lubrication charts),Periodic maintenance chart for the emission control system / General maintenance and lubrication chart,YES,HIGH,"Official Yamaha EU owner's-manual CDN PDF. This is the 2015-2021 GPD125-A generation; the RideBase inventory row is '2026 EU spec' (redesigned 2021+ generation), so the schedule is applied with a year-mismatch caveat."
SRC_KTM_390DUKE_OM_2024,KTM,390 Duke,398cc (MY2024),2024,UNKNOWN,GLOBAL,OWNER_MANUAL,KTM AG (Pierer Mobility),Owner's Manual 2024 390 Duke,Art. no. 3214960en,2024,https://www.ktmshop.se/bike-manuals/24_3214960_en_OM.pdf,2026-08-28,62-63 (Service schedule -> Service work),SERVICE SCHEDULE - Service work,YES,HIGH,"Official KTM owner's manual (article number 3214960en) retrieved via authorised-dealer mirror. Manual note: 'Different service intervals may apply in your country'; 'most up-to-date service schedule ... on KTM Dealer.net'. Legend: circle = one-time interval, filled dot = periodic interval."
SRC_CFMOTO_250NK_OM,CFMOTO,250NK,CF250-A,UNKNOWN,UNKNOWN,GLOBAL,OWNER_MANUAL,"Zhejiang CFMOTO Power Co., Ltd.",CFMOTO 250NK Owner's Manual,English export edition,UNKNOWN,https://s81b12f53dcca2766.jimcontent.com/download/version/1629139395/module/12849078126/name/CFMoto%20250NK%20Motorcycle%20Owner's%20Manual%20PDF.pdf,2026-08-28,52-57 (Periodic Maintenance Chart: engine / chassis / periodic replacement),Periodic Maintenance Chart,YES,MEDIUM,"CFMOTO owner's manual, English export edition, retrieved via public mirror. Chart km grid is 1 / 5 / 10 / 15 / 20 / 25 / 30 (x1000 km), 'whichever comes first' with the time triggers printed per row. Legend: filled square = must be done by an authorised CFMOTO dealer; # = service more frequently in severe conditions. Some checkmark columns not fully machine-readable."
SRC_BAJAJ_NS125_OM_BS6,Bajaj,Pulsar NS125,NS125 BS VI,UNKNOWN,UNKNOWN,IN,OWNER_MANUAL,Bajaj Auto Limited,Owner's Manual - Pulsar NS 125 BS VI,BS VI,2021,https://cdn.bajajauto.com/-/media/Assets/bajajauto/customer-service/owners-manual/PDF/Pulsar-NS125.pdf,2026-08-28,"23 (engine oil), 30-37 (Recommended frequency - Service interval & Kms)",Recommended frequency - Service interval & Kms,YES,MEDIUM,"Official Bajaj Auto owner's-manual PDF from cdn.bajajauto.com. The wide service chart's per-column cells did not survive PDF text extraction cleanly, but the printed 'Remarks' column carries explicit interval statements which are used here. Interpreted code legend: C=Check, A=Adjust, L=Lubricate, T=Tighten, CL=Clean, R=Replace."
SRC_BAJAJ_DOMINAR250_OM_BS6,Bajaj,Dominar 250,Dominar 250 BS VI,UNKNOWN,UNKNOWN,IN,OWNER_MANUAL,Bajaj Auto Limited,Owner's Manual - Dominar 250 BS VI,BS VI (2026 print),2025,https://cdn.bajajauto.com/-/media/assets/bajajauto/customer-service/owners-manual/owners-manual-pdf/owner-manual-pdf-2026/dominar-250_jf-53.pdf,2026-08-28,"31/35 (engine oil), 36 (spark plug), 44-51 (Periodic Maintenance & Lubrication Chart)",PERIODIC MAINTENANCE & LUBRICATION CHART - Recommended frequency - Service interval & Kms,YES,HIGH,"Official Bajaj Auto owner's-manual PDF from cdn.bajajauto.com. The 'Remarks' column of the chart carries explicit interval statements which are used here (this chart's remarks extracted cleanly). Interpreted code legend: C=Check, A=Adjust, L=Lubricate, T=Tighten, CL=Clean, R=Replace."
SRC_HONDA_PCX125_OM_UK21,Honda,PCX125,WW125A (KO/ED type),2021,UNKNOWN,EU,OWNER_MANUAL,"Honda Motor Co., Ltd.",PCX125 Owner's Manual (UK),PCX125-21-OWNERS,2021,https://www.honda.co.uk/motorcycles/my-bike/honda-motorcycles-owners-manuals/_jcr_content/par1/textcolumnwithimagem_309684120/textColumn/richtextdownload_90f/file.res/PCX125-21-OWNERS.pdf,2026-08-28,"14 (running-in), 89-91 printed (Maintenance Schedule table)",Maintenance Schedule,YES,MEDIUM,"Official Honda UK owner's manual PDF. The Maintenance Schedule item list and its time-based intervals extracted, but the per-km-column Inspect/Replace/Clean marks are embedded graphics that did not survive text extraction -> per-km task intervals recorded as a research gap. Grid columns: x1000 km = 1/6/12/18/24/30/36. Legend: Inspect (clean, adjust, lubricate, or replace if necessary) / Replace / Clean."
