column,unique_count,null_count,null_rate,top_categories,rare_category_count,cardinality_class
model_id,39,0,0.0,KUBA_BLUEBERRY50:3018 | MONDIAL_WING50I:2367 | HONDA_ACTIVA125:2201 | HONDA_PCX125:2200 | MONDIAL_SFC_MINI_50EC:2177,6,MEDIUM
policy_group,20,0,0.0,ICE_50_AIR_BELT:5777 | ICE_50_AIR_CHAIN:5570 | ICE_125_LIQUID_BELT:4927 | ICE_125_SCOOTER_BELT:2201 | ICE_125_AIR_CHAIN:2141,4,MEDIUM
brand,12,0,0.0,Honda:7979 | Mondial:6775 | Kuba:4572 | Yamaha:2455 | TVS:2120,1,MEDIUM
category,12,0,0.0,SCOOTER:16674 | CUB:6844 | NAKED:2238 | BIG_SCOOTER:1141 | SCRAMBLER:105,3,MEDIUM
workshop_id,10,0,0.0,WS0007:3382 | WS0008:3370 | WS0001:3188 | WS0003:2952 | WS0005:2809,0,LOW
acquisition_channel,7,0,0.0,REFERRAL:7275 | ORGANIC:6399 | GOOGLE_MAPS:3249 | DIRECT_SALES:3233 | WALK_IN:3192,0,LOW
climate_zone,7,0,0.0,MEDITERRANEAN_HOT:6191 | TEMPERATE_HUMID:5433 | CONTINENTAL_DRY:5080 | SEMI_ARID_HOT:3370 | MEDITERRANEAN_COASTAL:2952,0,LOW
transmission_type,7,0,0.0,CVT:15056 | MANUAL_5:4687 | AUTOMATIC:2759 | SEMI_AUTO_4:2177 | MANUAL_6:1446,1,LOW
usage_type,7,0,0.0,COMMUTER:12809 | COURIER:5259 | WEEKEND:3993 | SEASONAL:2781 | TOURING:1661,0,LOW
workshop_region,6,0,0.0,İç Anadolu:7166 | Akdeniz:6191 | Marmara:5433 | Güneydoğu Anadolu:3370 | Ege:2952,0,LOW
cooling_type,4,0,0.0,AIR:19458 | LIQUID:7514 | OIL:427 | NONE:29,1,LOW
current_service_type_code,4,0,0.0,PERIODIC:25651 | REPAIR:790 | BREAKDOWN:693 | TIRE:294,0,LOW
final_drive_type,4,0,0.0,V_BELT:17815 | CHAIN:9572 | DIRECT:29 | BELT:12,2,LOW
price_level,4,0,0.0,MEDIUM:11277 | LOW:5641 | HIGH:5615 | PREMIUM:4895,0,LOW
storage_condition,4,0,0.0,COVERED_PARKING:9126 | GARAGE:8537 | STREET:8369 | INDOOR:1396,0,LOW
chronic_risk_tier,3,0,0.0,NORMAL:20745 | LOW:5240 | ELEVATED:1443,0,LOW
current_mileage_source,3,0,0.0,MANUAL:24951 | CUSTOMER_REPORTED:1945 | ESTIMATED:532,0,LOW
current_primary_trigger_task,3,0,0.0,ENGINE_OIL_CHANGE:25626 | UNSCHEDULED_EVENT:1777 | GENERAL_SAFETY_INSPECTION:25,1,LOW
customer_type,3,0,0.0,INDIVIDUAL:18006 | COMMERCIAL:6393 | FLEET:3029,0,LOW
riding_intensity,3,0,0.0,HIGH:15190 | MEDIUM:8505 | LOW:3733,0,LOW
spec_confidence,3,0,0.0,HIGH:16770 | MEDIUM:9384 | LOW:1274,0,LOW
current_arrival_mode,2,0,0.0,APPOINTMENT:15942 | WALK_IN:11486,0,LOW
current_mileage_quality_flag,2,0,0.0,VALID:26896 | ESTIMATED:532,0,LOW
powertrain_type,2,0,0.0,ICE:27399 | EV:29,1,LOW
