column,dtype,min,max,mean,median,std,p01,p25,p50,p75,p99,null_rate,unique_count,outlier_candidate,decision
service_sequence,int32,1.0,43.0,4.826199504156337,3.0,5.143907454494253,1.0,2.0,3.0,6.0,26.0,0.0,43,False,KEEP; NO AUTOMATIC ROW REMOVAL
snapshot_year,int32,2021.0,2025.0,2023.510718973312,2024.0,1.0982282310391047,2021.0,2023.0,2024.0,2024.0,2025.0,0.0,5,False,KEEP; NO AUTOMATIC ROW REMOVAL
snapshot_month,int32,1.0,12.0,6.456723056730349,6.0,3.263512428738167,1.0,4.0,6.0,9.0,12.0,0.0,12,False,KEEP; NO AUTOMATIC ROW REMOVAL
snapshot_quarter,int32,1.0,4.0,2.47761411696077,2.0,1.0730977656262117,1.0,2.0,2.0,3.0,4.0,0.0,4,False,KEEP; NO AUTOMATIC ROW REMOVAL
snapshot_day_of_year,int32,1.0,366.0,181.29364153419863,172.5,99.75561361826641,5.0,100.0,172.5,267.0,360.0,0.0,366,False,KEEP; NO AUTOMATIC ROW REMOVAL
snapshot_month_sin,float64,-1.0,1.0,0.05957055009958645,1.2246467991473532e-16,0.7254612848083672,-1.0,-0.5000000000000004,1.2246467991473532e-16,0.8660254037844386,1.0,0.0,11,False,KEEP; NO AUTOMATIC ROW REMOVAL
snapshot_month_cos,float64,-1.0,1.0,-0.06708541883440981,-1.8369701987210297e-16,0.6824170186427974,-1.0,-0.8660254037844387,-1.8369701987210297e-16,0.5000000000000001,1.0,0.0,11,False,KEEP; NO AUTOMATIC ROW REMOVAL
engine_displacement_cc,float64,49.0,649.0,105.7503241324921,124.0,69.44427160889529,49.0,50.0,124.0,125.0,349.0,0.07539740411258568,18,False,KEEP; NO AUTOMATIC ROW REMOVAL
cylinder_count,int64,0.0,2.0,1.004593845705119,1.0,0.08177783012008104,1.0,1.0,1.0,1.0,1.0,0.0,3,False,KEEP; NO AUTOMATIC ROW REMOVAL
engine_oil_service_qty_l,float64,0.0,1.5,0.893590487238979,0.8,0.24338557671342587,0.8,0.8,0.8,0.8,1.5,0.8742890476884935,4,False,KEEP; NO AUTOMATIC ROW REMOVAL
spark_plug_count,float64,0.0,2.0,1.0190098569628696,1.0,0.14421690468437015,1.0,1.0,1.0,1.0,2.0,0.016114919060813766,3,False,KEEP; NO AUTOMATIC ROW REMOVAL
production_year,int64,2015.0,2025.0,2020.0387924748431,2020.0,1.9457843326593385,2015.0,2019.0,2020.0,2021.0,2024.0,0.0,11,False,KEEP; NO AUTOMATIC ROW REMOVAL
motorcycle_age_years,float64,0.013689253935660506,10.444900752908966,3.54042307720334,3.293634496919918,2.0058185421387633,0.29916495550992467,1.9739904175222451,3.293634496919918,4.851471594798084,8.667296372347707,0.0,3283,False,KEEP; NO AUTOMATIC ROW REMOVAL
ownership_months,float64,0.16427104722792607,121.65913757700206,30.172822987884803,27.66324435318275,18.192077769568833,2.431211498973306,16.197125256673512,27.66324435318275,41.3305954825462,83.40796714579054,0.0,2625,False,KEEP; NO AUTOMATIC ROW REMOVAL
initial_mileage_km,int64,0.0,537160.0,28304.88085168441,16620.0,35160.53554331732,38.0,3960.0,16620.0,39510.0,164880.0,0.0,4278,False,KEEP; NO AUTOMATIC ROW REMOVAL
days_observed,int32,0.0,1610.0,553.3257619950416,490.0,376.35196596626514,26.0,233.0,490.0,821.0,1452.7299999999996,0.0,1577,False,KEEP; NO AUTOMATIC ROW REMOVAL
annual_km_baseline,int64,1536.0,55082.0,18705.4553376112,15854.5,11046.415676168874,3360.81,9855.0,15854.5,25954.0,50608.0,0.0,5733,False,KEEP; NO AUTOMATIC ROW REMOVAL
city_ratio,float64,0.1337,0.9518,0.7735849569782703,0.7756,0.19504655867832396,0.1658,0.7421,0.7756,0.939,0.9493,0.0,2153,False,KEEP; NO AUTOMATIC ROW REMOVAL
