feature_name,source_column,feature_type,transformation,model_ready
numeric__service_sequence,service_sequence,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__snapshot_year,snapshot_year,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__snapshot_month,snapshot_month,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__snapshot_quarter,snapshot_quarter,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__snapshot_day_of_year,snapshot_day_of_year,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__snapshot_month_sin,snapshot_month_sin,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__snapshot_month_cos,snapshot_month_cos,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__cylinder_count,cylinder_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__production_year,production_year,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__motorcycle_age_years,motorcycle_age_years,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__ownership_months,ownership_months,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__initial_mileage_km,initial_mileage_km,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__days_observed,days_observed,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__annual_km_baseline,annual_km_baseline,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__city_ratio,city_ratio,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__highway_ratio,highway_ratio,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__offroad_ratio,offroad_ratio,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__track_ratio,track_ratio,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__avg_ride_days_per_week,avg_ride_days_per_week,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__daily_active_probability,daily_active_probability,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__avg_km_per_active_day,avg_km_per_active_day,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__seasonality_strength,seasonality_strength,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__winter_usage_factor,winter_usage_factor,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__weather_sensitivity,weather_sensitivity,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__load_severity_factor,load_severity_factor,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__service_bay_count,service_bay_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__technician_count,technician_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__daily_service_capacity,daily_service_capacity,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__appointment_rate,appointment_rate,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__avg_parts_lead_days,avg_parts_lead_days,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__same_day_parts_rate,same_day_parts_rate,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__labor_rate_index,labor_rate_index,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__customer_volume_index,customer_volume_index,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__courier_customer_share,courier_customer_share,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__snapshot_odometer_km,snapshot_odometer_km,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_service_delay_days,current_service_delay_days,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_labor_total,current_labor_total,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_parts_total,current_parts_total,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_grand_total,current_grand_total,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_task_count,current_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_completed_task_count,current_completed_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_declined_task_count,current_declined_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_policy_due_task_count,current_policy_due_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_fault_task_count,current_fault_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_inspection_finding_task_count,current_inspection_finding_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_replace_task_count,current_replace_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_parts_line_count,current_parts_line_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__current_supplier_parts_line_count,current_supplier_parts_line_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__days_since_previous_service,days_since_previous_service,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__km_since_previous_service,km_since_previous_service,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__avg_km_per_day_since_previous_service,avg_km_per_day_since_previous_service,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__avg_service_interval_days,avg_service_interval_days,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__avg_service_interval_km,avg_service_interval_km,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__rolling3_interval_days,rolling3_interval_days,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__rolling3_interval_km,rolling3_interval_km,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__periodic_service_count,periodic_service_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__repair_service_count,repair_service_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__breakdown_service_count,breakdown_service_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__warranty_service_count,warranty_service_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__appointment_service_count,appointment_service_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__walkin_service_count,walkin_service_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__services_last_90d,services_last_90d,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__services_last_365d,services_last_365d,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__cumulative_service_spend,cumulative_service_spend,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__avg_service_spend,avg_service_spend,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__total_task_count,total_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__total_completed_task_count,total_completed_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__total_declined_task_count,total_declined_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__total_policy_due_task_count,total_policy_due_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__total_fault_task_count,total_fault_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__total_inspection_finding_task_count,total_inspection_finding_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__total_replace_task_count,total_replace_task_count,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__days_since_engine_task,days_since_engine_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__km_since_engine_task,km_since_engine_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__days_since_brakes_task,days_since_brakes_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__km_since_brakes_task,km_since_brakes_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__days_since_final_drive_task,days_since_final_drive_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__km_since_final_drive_task,km_since_final_drive_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__days_since_tires_wheels_task,days_since_tires_wheels_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__km_since_tires_wheels_task,km_since_tires_wheels_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__days_since_electrical_task,days_since_electrical_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__km_since_electrical_task,km_since_electrical_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__days_since_transmission_task,days_since_transmission_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__km_since_transmission_task,km_since_transmission_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__days_since_cooling_task,days_since_cooling_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__km_since_cooling_task,km_since_cooling_task,NUMERIC,StandardScaler fitted on TRAIN,True
numeric__days_since_intake_task,days_since_intake_task,NUMERIC,StandardScaler fitted on TRAIN,True
