number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_objective,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_maes,user_attrs_mae_std,state
0,681.6076324980745,2026-08-29 14:34:17.244772,2026-08-29 14:34:37.545278,0 days 00:00:20.300506,0.8540362888980227,0.01700037298921102,0,70,0.8324426408004217,799,52,regression_l1,1.5320059381854043e-08,5.3602947287282925,0.8404460046972835,"[734.559, 663.198, 647.066]",38.017066164979695,COMPLETE
1,688.2848917910129,2026-08-29 14:34:37.545323,2026-08-29 14:34:40.764410,0 days 00:00:03.219087,0.6460723242676091,0.05958389350068958,4,51,0.7851759613930136,504,119,regression,1.9826980964985924e-05,0.00012724181576752517,0.6557975442608167,"[733.732, 669.486, 661.637]",32.29523149190382,COMPLETE
2,1333.1382102998907,2026-08-29 14:34:40.764454,2026-08-29 14:34:47.694933,0 days 00:00:06.930479,0.9041986740582306,0.07896186801026692,0,77,0.6842330265121569,246,56,huber,5.514725787121931e-06,7.569183361880229e-08,0.9862528132298237,"[1515.492, 1246.683, 1237.24]",129.00099661208742,COMPLETE
3,1318.2394052857426,2026-08-29 14:34:47.695002,2026-08-29 14:34:55.012545,0 days 00:00:07.317543,0.7733551396716398,0.2203821893928988,10,28,0.7751328233611146,234,77,huber,4.609885087947832e-07,5.324289357128431,0.8080272084711243,"[1500.377, 1231.929, 1222.412]",128.84938921109142,COMPLETE
4,680.6642388622059,2026-08-29 14:34:55.012584,2026-08-29 14:35:23.889736,0 days 00:00:28.877152,0.6356745158869479,0.01351182947645082,-1,29,0.28093450968738076,1122,62,regression,0.287499823474079,1.6247252885719427e-05,0.7554709158757927,"[727.116, 664.256, 650.621]",33.314396535989545,COMPLETE
5,1361.9888934963421,2026-08-29 14:35:23.889776,2026-08-29 14:35:24.695095,0 days 00:00:00.805319,0.8534286719238086,0.2869139536545373,2,5,0.07404465173409036,274,201,huber,0.0363969097981129,0.08738424135626989,0.9261845713819337,,,PRUNED
6,1379.4900662421323,2026-08-29 14:35:24.695120,2026-08-29 14:35:28.978469,0 days 00:00:04.283349,0.8187787356776066,0.030816017044468066,4,29,0.1195942459383017,823,30,huber,0.9658611176861261,0.0001778010520878397,0.8918424713352257,,,PRUNED
7,703.1446274064023,2026-08-29 14:35:28.978490,2026-08-29 14:35:38.978948,0 days 00:00:10.000458,0.5157145928433671,0.05362853964441846,6,6,0.5085706911647028,971,140,regression_l1,0.005341874754868531,6.748446817464346e-06,0.6431565707973218,,,PRUNED
8,705.3121282976238,2026-08-29 14:35:38.978968,2026-08-29 14:35:43.498126,0 days 00:00:04.519158,0.9040601897822085,0.021775224101934068,4,17,0.8036720768991145,956,33,regression,0.005019191993687109,0.6968596391373528,0.9718790609370292,,,PRUNED
9,726.3139255049554,2026-08-29 14:35:43.498163,2026-08-29 14:36:09.120740,0 days 00:00:25.622577,0.9090073829612466,0.21068591627429104,0,22,0.5107473025775657,1008,91,regression_l1,0.5579242641506352,1.1549659339590204e-08,0.7708431154505025,,,PRUNED
