number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_objective,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_maes,user_attrs_mae_std,state
0,16.7453882651685,2026-08-29 14:56:56.537319,2026-08-29 14:57:09.518346,0 days 00:00:12.981027,0.8005575058716043,3.540362888980227,0.01700037298921102,4,2.1035886311957896,918,reg:absoluteerror,1.5320059381854043e-08,5.3602947287282925,0.9464704583099741,"[20.937, 16.284, 13.016]",3.250250231218167,COMPLETE
1,16.613507992790783,2026-08-29 14:57:09.518459,2026-08-29 14:57:17.773441,0 days 00:00:08.254982,0.8059264473611898,0.6974693032602092,0.028145092716060652,8,9.206955354200199,420,reg:squarederror,4.258943089524393e-06,1.9826980964985924e-05,0.7164916560792167,"[20.617, 16.359, 12.865]",3.1700422208136563,COMPLETE
2,16.90722352040118,2026-08-29 14:57:17.773481,2026-08-29 14:57:26.403896,0 days 00:00:08.630415,0.5325257964926398,4.7444276862666666,0.07500118950416987,3,12.54335218612733,817,reg:absoluteerror,4.905556676028766,0.1886149587855396,0.6682096494749166,"[21.146, 16.486, 13.09]",3.3025409011165507,COMPLETE
3,114918.42608112417,2026-08-29 14:57:26.403954,2026-08-29 14:57:29.909856,0 days 00:00:03.505902,0.6293899908000085,3.31261142176991,0.015144860262751412,7,1.6533819011891495,728,reg:pseudohubererror,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[112352.351, 118044.916, 114358.012]",2357.5228601106273,COMPLETE
4,114918.42608112417,2026-08-29 14:57:29.909900,2026-08-29 14:57:34.744913,0 days 00:00:04.835013,0.5442462510259598,0.979914312095726,0.2442046084491143,11,12.360099597410617,1130,reg:pseudohubererror,2.5529693461039728e-08,8.471746987003668e-06,0.9687496940092467,"[112352.351, 118044.916, 114358.012]",2357.5228601106273,COMPLETE
5,115198.63324035252,2026-08-29 14:57:34.744955,2026-08-29 14:57:36.718663,0 days 00:00:01.973708,0.5372753218398854,4.9344346830025865,0.026000059117302653,8,3.6775602745204905,628,reg:pseudohubererror,0.08916674715636552,6.143857495033091e-07,0.9208787923016158,,,PRUNED
6,19.034556046149426,2026-08-29 14:57:36.718695,2026-08-29 14:57:43.791348,0 days 00:00:07.072653,0.9315517129377968,3.1164906341377896,0.13780336485751998,3,7.81084884234118,1075,reg:absoluteerror,9.507847858536042e-06,3.732717755563729e-08,0.6463476238100518,,,PRUNED
7,115198.63324035252,2026-08-29 14:57:43.791373,2026-08-29 14:57:46.358122,0 days 00:00:02.566749,0.8803925243084487,2.8063859878474813,0.20441878352493792,7,3.272290672827732,965,reg:pseudohubererror,0.08683696167603715,0.0002780739892288472,0.885297914889198,,,PRUNED
8,16.807509653142635,2026-08-29 14:57:46.358233,2026-08-29 14:57:59.322289,0 days 00:00:12.964056,0.9537832369630466,1.2464611457443748,0.011128194768838964,9,6.972763640450207,329,reg:squarederror,4.9368087974032924e-05,0.06308995924905786,0.8034282764658811,"[20.797, 16.492, 13.134]",3.1364964325942757,COMPLETE
9,115198.63324035252,2026-08-29 14:57:59.322735,2026-08-29 14:58:00.850986,0 days 00:00:01.528251,0.9018360384495572,0.9328502944301792,0.2361979710780652,11,13.034671373698046,393,reg:pseudohubererror,1.0790237065789305,0.0007146282449340217,0.9485842360750871,,,PRUNED
10,16.675595792472986,2026-08-29 14:58:00.851019,2026-08-29 14:58:03.904436,0 days 00:00:03.053417,0.7113756625097372,0.05663838113671116,0.0431646733732235,5,18.680961676629266,207,reg:squarederror,0.00136436567228164,1.290626345465208e-08,0.7366047994538182,"[20.828, 16.263, 12.936]",3.235068712696172,COMPLETE
11,16.681056844616243,2026-08-29 14:58:03.904473,2026-08-29 14:58:06.953591,0 days 00:00:03.049118,0.7185964284748173,0.021268812673275114,0.04070307386412055,5,19.201712492472105,211,reg:squarederror,0.0015019512691708844,1.10896367058907e-08,0.7273145000499233,"[20.707, 16.323, 13.013]",3.151394910285607,COMPLETE
12,18.94652195431096,2026-08-29 14:58:06.953630,2026-08-29 14:58:15.410318,0 days 00:00:08.456688,0.7445234992224959,0.049772691933451955,0.055672162496283296,6,19.698620499995375,1366,reg:squarederror,0.0020139027412135707,3.1309728829740517e-06,0.7605925757171906,,,PRUNED
13,16.72041631166101,2026-08-29 14:58:15.410341,2026-08-29 14:58:25.303965,0 days 00:00:09.893624,0.8175446439890584,1.8811368566935949,0.0345981474661558,9,16.16190251250132,525,reg:squarederror,4.6487656611472807e-07,4.5435054389933464e-07,0.8194571778972204,"[20.692, 16.478, 12.992]",3.1481339509312645,COMPLETE
