dataset_version,normalized_title,raw_variant_count,raw_examples,total_count,canonical_task_count,canonical_task_codes,mapping_conflict
1.2.0,motor yagi degisimi,2,Motor Yağı Değişimi | Motor Yagi Değişimi,13036,1,ENGINE_OIL_CHANGE,False
1.2.0,motor yagi degistirildi,2,Motor Yağı Değiştirildi | Motor Yagi Değiştirildi,12926,1,ENGINE_OIL_CHANGE,False
1.2.0,motor yagi degisimi yapildi,2,Motor Yağı Değişimi Yapıldı | Motor Yagi Değişimi Yapıldı,12920,1,ENGINE_OIL_CHANGE,False
1.2.0,aku test edildi,1,Akü Test Edildi,8194,1,BATTERY_TEST,False
1.2.0,aku testi,1,Akü Testi,8141,1,BATTERY_TEST,False
1.2.0,zincir temizlendi,1,Zincir Temizlendi,5518,1,CHAIN_CLEAN,False
1.2.0,zincir temizligi,1,Zincir Temizliği,5470,1,CHAIN_CLEAN,False
1.2.0,hava filtresi kontrol edildi,1,Hava Filtresi Kontrol Edildi,5333,1,AIR_FILTER_INSPECTION,False
1.2.0,hava filtresi kontrolu ve genel durum degerlendirmesi,1,Hava Filtresi Kontrolü ve genel durum değerlendirmesi,5259,1,AIR_FILTER_INSPECTION,False
1.2.0,hava filtresi kontrolu,1,Hava Filtresi Kontrolü,5216,1,AIR_FILTER_INSPECTION,False
1.2.0,fren hidroligi kontrol edildi,1,Fren Hidroliği Kontrol Edildi,4715,1,BRAKE_FLUID_CHECK,False
1.2.0,fren hidroligi kontrolu,1,Fren Hidroliği Kontrolü,4672,1,BRAKE_FLUID_CHECK,False
1.2.0,fren hidroligi kontrolu ve genel durum degerlendirmesi,1,Fren Hidroliği Kontrolü ve genel durum değerlendirmesi,4576,1,BRAKE_FLUID_CHECK,False
1.2.0,zincir yaglama,1,Zincir Yağlama,4450,1,CHAIN_LUBRICATE,False
1.2.0,zincir yaglandi,1,Zincir Yağlandı,4438,1,CHAIN_LUBRICATE,False
1.2.0,genel guvenlik kontrol edildi,1,Genel Güvenlik Kontrol Edildi,4391,1,GENERAL_SAFETY_INSPECTION,False
1.2.0,hava filtresi degisimi,1,Hava Filtresi Değişimi,4391,1,AIR_FILTER_CHANGE,False
1.2.0,hava filtresi degisimi yapildi,1,Hava Filtresi Değişimi Yapıldı,4391,1,AIR_FILTER_CHANGE,False
