split,problem,metric,value,n,notes
TRAIN,NEXT_SERVICE,total_snapshots,27428.0,27428,
TRAIN,NEXT_SERVICE,observed_targets,20679.0,27428,
TRAIN,NEXT_SERVICE,censored_targets,1702.0,27428,
TRAIN,NEXT_SERVICE,censoring_rate,0.06205337611200233,27428,
TRAIN,NEXT_SERVICE,timing_prediction_coverage,1.0,20679,observed eligible targets
TRAIN,NEXT_SERVICE_DAYS,days_mae,155.90322863341868,20679,ACTIONABLE; observed only
TRAIN,NEXT_SERVICE_DAYS,days_median_ae,109.72847222222222,20679,ACTIONABLE; observed only
TRAIN,NEXT_SERVICE_DAYS,days_mean_error_bias,-155.80571407779735,20679,ACTIONABLE; observed only
TRAIN,NEXT_SERVICE_DAYS,days_p90_absolute_error,343.11291666666665,20679,ACTIONABLE; observed only
TRAIN,NEXT_SERVICE_DAYS,days_within_30,0.09057497944774892,20679,ACTIONABLE; observed only
TRAIN,NEXT_SERVICE_DAYS,days_within_60,0.2783016586875574,20679,ACTIONABLE; observed only
TRAIN,NEXT_SERVICE_DAYS,days_within_90,0.4200396537550172,20679,ACTIONABLE; observed only
TRAIN,NEXT_SERVICE_KM,km_mae,6660.429204541521,20678,ACTIONABLE; observed valid-km only
TRAIN,NEXT_SERVICE_KM,km_median_ae,5193.0,20678,ACTIONABLE; observed valid-km only
TRAIN,NEXT_SERVICE_KM,km_mean_error_bias,-6658.386124635483,20678,ACTIONABLE; observed valid-km only
TRAIN,NEXT_SERVICE_KM,km_p90_absolute_error,12912.0,20678,ACTIONABLE; observed valid-km only
TRAIN,NEXT_SERVICE_KM,km_within_1000,0.020940129606344907,20678,ACTIONABLE; observed valid-km only
TRAIN,NEXT_SERVICE_KM,km_within_2000,0.0434277976593481,20678,ACTIONABLE; observed valid-km only
TRAIN,NEXT_SERVICE_KM,km_within_5000,0.44738369281361834,20678,ACTIONABLE; observed valid-km only
VALIDATION,NEXT_SERVICE,total_snapshots,6399.0,6399,
VALIDATION,NEXT_SERVICE,observed_targets,1932.0,6399,
VALIDATION,NEXT_SERVICE,censored_targets,1671.0,6399,
VALIDATION,NEXT_SERVICE,censoring_rate,0.2611345522737928,6399,
VALIDATION,NEXT_SERVICE,timing_prediction_coverage,1.0,1932,observed eligible targets
VALIDATION,NEXT_SERVICE_DAYS,days_mae,62.63691314925821,1932,ACTIONABLE; observed only
VALIDATION,NEXT_SERVICE_DAYS,days_median_ae,54.81979166666667,1932,ACTIONABLE; observed only
VALIDATION,NEXT_SERVICE_DAYS,days_mean_error_bias,-62.58777236707806,1932,ACTIONABLE; observed only
VALIDATION,NEXT_SERVICE_DAYS,days_p90_absolute_error,114.89999999999999,1932,ACTIONABLE; observed only
VALIDATION,NEXT_SERVICE_DAYS,days_within_30,0.1915113871635611,1932,ACTIONABLE; observed only
VALIDATION,NEXT_SERVICE_DAYS,days_within_60,0.5600414078674948,1932,ACTIONABLE; observed only
VALIDATION,NEXT_SERVICE_DAYS,days_within_90,0.7753623188405797,1932,ACTIONABLE; observed only
