feature_group,feature,dtype,kind,null_rate_train
BASE,snapshot_year,int32,numeric,0.0
BASE,snapshot_month,int32,numeric,0.0
BASE,snapshot_quarter,int32,numeric,0.0
BASE,snapshot_day_of_year,int32,numeric,0.0
BASE,snapshot_month_sin,float64,numeric,0.0
BASE,snapshot_month_cos,float64,numeric,0.0
BASE,brand,object,categorical,0.0
BASE,category,object,categorical,0.0
BASE,powertrain_type,object,categorical,0.0
BASE,engine_displacement_cc,float64,numeric,0.07856410893395026
BASE,cylinder_count,int64,numeric,0.0
BASE,cooling_type,object,categorical,0.0
BASE,final_drive_type,object,categorical,0.0
BASE,transmission_type,object,categorical,0.0
BASE,engine_oil_service_qty_l,float64,numeric,0.8808806632922399
BASE,spark_plug_count,float64,numeric,0.013042263143185417
BASE,fuel_type,object,categorical,0.0
BASE,spec_confidence,object,categorical,0.0
BASE,production_year,int64,numeric,0.0
BASE,motorcycle_age_years,float64,numeric,0.0
BASE,ownership_months,float64,numeric,0.0
BASE,initial_mileage_km,int64,numeric,0.0
BASE,is_left_truncated,int32,numeric,0.0
BASE,days_observed,int32,numeric,0.0
BASE,customer_type,object,categorical,0.0
BASE,is_fleet_customer,int32,numeric,0.0
BASE,acquisition_channel,object,categorical,0.0
BASE,usage_type,object,categorical,0.0
BASE,annual_km_baseline,int64,numeric,0.0
BASE,city_ratio,float64,numeric,0.0
BASE,highway_ratio,float64,numeric,0.0
BASE,offroad_ratio,float64,numeric,0.0
BASE,track_ratio,float64,numeric,0.0
BASE,avg_ride_days_per_week,float64,numeric,0.0
BASE,daily_active_probability,float64,numeric,0.0
BASE,avg_km_per_active_day,float64,numeric,0.0
BASE,riding_intensity,object,categorical,0.0
BASE,seasonality_strength,float64,numeric,0.0
BASE,winter_usage_factor,float64,numeric,0.0
BASE,weather_sensitivity,float64,numeric,0.0
BASE,storage_condition,object,categorical,0.0
BASE,load_severity_factor,float64,numeric,0.0
BASE,climate_zone,object,categorical,0.0
BASE,workshop_city,object,categorical,0.0
BASE,workshop_region,object,categorical,0.0
BASE,workshop_climate_zone,object,categorical,0.0
BASE,price_level,object,categorical,0.0
BASE,service_bay_count,int32,numeric,0.0
BASE,technician_count,int32,numeric,0.0
BASE,daily_service_capacity,int32,numeric,0.0
BASE,appointment_rate,float64,numeric,0.0
BASE,avg_parts_lead_days,float64,numeric,0.0
BASE,same_day_parts_rate,float64,numeric,0.0
BASE,labor_rate_index,float64,numeric,0.0
BASE,customer_volume_index,float64,numeric,0.0
BASE,courier_customer_share,float64,numeric,0.0
BASE,snapshot_odometer_km,int64,numeric,0.0
BASE,current_mileage_source,object,categorical,0.0
BASE,current_mileage_quality_flag,object,categorical,0.0
BASE,current_mileage_estimated,int32,numeric,0.0
BASE,current_service_type_code,object,categorical,0.0
BASE,current_arrival_mode,object,categorical,0.0
BASE,current_primary_trigger_task,object,categorical,0.0
BASE,current_service_delay_days,float64,numeric,0.053939073999316835
BASE,current_is_breakdown,int32,numeric,0.0
BASE,current_is_warranty,int32,numeric,0.0
BASE,current_service_timestamp_repaired,int32,numeric,0.0
BASE,current_labor_total,float64,numeric,0.0
BASE,current_parts_total,float64,numeric,0.0
BASE,current_grand_total,float64,numeric,0.0
BASE,current_task_count,int32,numeric,0.0
BASE,current_completed_task_count,int32,numeric,0.0
BASE,current_declined_task_count,int32,numeric,0.0
