target,rank,feature,importance,method
DAYS,1,numeric__annual_km_baseline,5.009201284189336,VALIDATION_PERMUTATION_MAE
DAYS,2,numeric_structural__engine_displacement_cc,1.4103996016585434,VALIDATION_PERMUTATION_MAE
DAYS,3,numeric__current_inspection_finding_task_count,1.1846638433199566,VALIDATION_PERMUTATION_MAE
DAYS,4,numeric__highway_ratio,0.7259695475799557,VALIDATION_PERMUTATION_MAE
DAYS,5,categorical__customer_type_INDIVIDUAL,0.4775005323000183,VALIDATION_PERMUTATION_MAE
DAYS,6,categorical__riding_intensity_HIGH,0.2889381996324243,VALIDATION_PERMUTATION_MAE
DAYS,7,adv_rolling_min_interval_days,0.22805123298141083,VALIDATION_PERMUTATION_MAE
DAYS,8,adv_rolling_median_interval_days,0.2126496976236858,VALIDATION_PERMUTATION_MAE
DAYS,9,numeric__offroad_ratio,0.18331098382082267,VALIDATION_PERMUTATION_MAE
DAYS,10,categorical__current_service_type_code_PERIODIC,0.1406549307306264,VALIDATION_PERMUTATION_MAE
DAYS,11,boolean__is_fleet_customer,0.09485743736638419,VALIDATION_PERMUTATION_MAE
DAYS,12,adv_rolling_min_interval_km,0.08969703220198788,VALIDATION_PERMUTATION_MAE
DAYS,13,numeric__current_policy_due_task_count,0.08150444369369758,VALIDATION_PERMUTATION_MAE
DAYS,14,categorical__current_primary_trigger_task_UNSCHEDULED_EVENT,0.08074110014958613,VALIDATION_PERMUTATION_MAE
DAYS,15,numeric__snapshot_day_of_year,0.07750640516513485,VALIDATION_PERMUTATION_MAE
DAYS,16,numeric__weather_sensitivity,0.07326685315368131,VALIDATION_PERMUTATION_MAE
DAYS,17,adv_previous_2_interval_days_mean,0.053372656009470276,VALIDATION_PERMUTATION_MAE
DAYS,18,numeric__current_service_delay_days,0.05170451449523661,VALIDATION_PERMUTATION_MAE
DAYS,19,numeric__avg_km_per_active_day,0.05141540315522164,VALIDATION_PERMUTATION_MAE
DAYS,20,adv_rolling_std_interval_days,0.04119715198144647,VALIDATION_PERMUTATION_MAE
KM,1,numeric_structural__engine_displacement_cc,115.4805398267215,VALIDATION_PERMUTATION_MAE
KM,2,categorical__customer_type_INDIVIDUAL,52.40732376738947,VALIDATION_PERMUTATION_MAE
KM,3,numeric__highway_ratio,34.92928456650964,VALIDATION_PERMUTATION_MAE
KM,4,categorical__current_service_type_code_PERIODIC,29.80172968161594,VALIDATION_PERMUTATION_MAE
KM,5,numeric__annual_km_baseline,27.498575584618607,VALIDATION_PERMUTATION_MAE
KM,6,numeric__snapshot_day_of_year,25.807814018961608,VALIDATION_PERMUTATION_MAE
KM,7,numeric__offroad_ratio,24.52348929933271,VALIDATION_PERMUTATION_MAE
KM,8,adv_rolling_min_interval_km,16.854720501708698,VALIDATION_PERMUTATION_MAE
KM,9,categorical__policy_group_ICE_50_AIR_BELT,14.342452829853642,VALIDATION_PERMUTATION_MAE
KM,10,boolean__is_fleet_customer,11.180046591939572,VALIDATION_PERMUTATION_MAE
KM,11,numeric__seasonality_strength,10.180231931138337,VALIDATION_PERMUTATION_MAE
KM,12,categorical__customer_type_FLEET,7.621151697890127,VALIDATION_PERMUTATION_MAE
KM,13,numeric__km_since_previous_service,7.095326575939453,VALIDATION_PERMUTATION_MAE
KM,14,categorical__brand_Honda,4.891474588225606,VALIDATION_PERMUTATION_MAE
KM,15,numeric__weather_sensitivity,4.6902817104627275,VALIDATION_PERMUTATION_MAE
KM,16,numeric__snapshot_month,4.537581992061632,VALIDATION_PERMUTATION_MAE
KM,17,adv_mileage_growth_slope_6m,4.454773562242394,VALIDATION_PERMUTATION_MAE
KM,18,adv_rolling_median_interval_km,4.319005351756346,VALIDATION_PERMUTATION_MAE
KM,19,numeric__rolling3_interval_km,3.7969440913175276,VALIDATION_PERMUTATION_MAE
KM,20,categorical__current_primary_trigger_task_UNSCHEDULED_EVENT,3.383444290853845,VALIDATION_PERMUTATION_MAE
