model,model_type,validation_MAE,validation_RMSE,validation_R2,fit_time,predict_time,stack_level,ensemble_weight
WeightedEnsemble_L2,WeightedEnsembleModel,20.929434870782327,30.388265784569697,0.2818913380370346,37.37666344642639,0.09867024421691895,2,"{""LightGBMBalanced"": 0.38461538461538464, ""CatBoostD6"": 0.23076923076923078, ""CatBoostD8"": 0.07692307692307693, ""XGBoostD4"": 0.3076923076923077}"
LightGBMBalanced,LGBModel,21.181480941241542,30.34316615160508,0.2840212657360859,3.0838751792907715,0.011356115341186523,1,
XGBoostD4,XGBoostModel,21.41995730105833,30.65046783248591,0.26944562088021695,3.917402982711792,0.0171051025390625,1,
CatBoostD6,CatBoostModel,21.46522744345835,31.688210018951146,0.21913897156554607,13.880620002746582,0.034657955169677734,1,
CatBoostD8,CatBoostModel,21.592869826769427,31.38717705747804,0.2339046126734743,16.461554050445557,0.03520512580871582,1,
LightGBMWide,LGBModel,21.627051169213573,30.2803358702563,0.28698328826807606,5.623286008834839,0.021047115325927734,1,
XGBoostD6,XGBoostModel,22.953955320744836,31.562356701140946,0.22532921065134437,4.179459810256958,0.030837297439575195,1,
ExtraTreesMSE,XTModel,30.255348997004198,35.90944577395565,-0.0027570809686245923,12.75528883934021,0.06940603256225586,1,
RandomForestMSE,RFModel,31.783113889055798,38.668226674228386,-0.16275132859645947,44.54168486595154,0.09851193428039551,1,
LightGBMExtra,LGBModel,35.960175622751834,45.738743231674654,-0.6268472871094128,5.662864923477173,0.03624391555786133,1,
