model,model_type,validation_MAE,validation_RMSE,validation_R2,fit_time,predict_time,stack_level,ensemble_weight
WeightedEnsemble_L2,WeightedEnsembleModel,1406.3668076975985,2324.1355129508374,0.09416034209095125,12.64809513092041,0.0522310733795166,2,"{""CatBoostD6"": 0.85, ""XGBoostD4"": 0.15}"
CatBoostD6,CatBoostModel,1410.643552204292,2355.754634389402,0.06934536411222314,9.866075992584229,0.034526824951171875,1,
CatBoostD8,CatBoostModel,1443.227883463879,2343.6593776211857,0.07887743440991246,13.569493055343628,0.04109811782836914,1,
LightGBMWide,LGBModel,1488.1404969241569,2260.3632326499132,0.14318925243470226,4.190008163452148,0.011590719223022461,1,
XGBoostD4,XGBoostModel,1495.0634676016161,2228.779424068363,0.1669662132638431,2.7418019771575928,0.017309188842773438,1,
LightGBMBalanced,LGBModel,1497.1290085020614,2285.9936030659114,0.12364824998280999,2.838655948638916,0.008157968521118164,1,
XGBoostD6,XGBoostModel,1525.7138209765221,2262.370169777052,0.14166708231495828,3.4274370670318604,0.0261991024017334,1,
ExtraTreesMSE,XTModel,1704.8253757312839,2346.6782699893492,0.0765028906690568,11.95899224281311,0.0584108829498291,1,
RandomForestMSE,RFModel,1795.2121188194872,2417.5952018321505,0.019843088091170746,43.46114492416382,0.11018776893615723,1,
LightGBMExtra,LGBModel,2066.4741276682257,2530.3671220984384,-0.07373104156491683,2.991025924682617,0.012648820877075195,1,
