stage,target,seconds,budget_seconds,status
dataset_guard_and_join,BOTH,0.5127715000003263,,PASS
Encoded_HistGradientBoosting,DAYS,4.796311625000271,,COMPLETE
Encoded_ExtraTrees,DAYS,28.166466124999715,,COMPLETE
Encoded_HistGradientBoosting,KM,5.501531041999897,,COMPLETE
Encoded_ExtraTrees,KM,35.799413708999964,,COMPLETE
preprocessed_pipeline_total,BOTH,74.27021916600006,,COMPLETE
AutoGluon,DAYS,113.75517566600001,900.0,COMPLETE
AutoGluon,KM,96.79909741700021,900.0,COMPLETE
Manual_CatBoost,DAYS,131.73407508299988,,COMPLETE
Manual_LightGBM,DAYS,6.08298270799969,,COMPLETE
Manual_XGBoost,DAYS,6.593633582999701,,COMPLETE
Manual_CatBoost,KM,114.74200191599994,,COMPLETE
Manual_LightGBM,KM,6.0536100839995015,,COMPLETE
Manual_XGBoost,KM,6.075834041999769,,COMPLETE
final_test_evaluation,BOTH,0.4041529590003847,,COMPLETE
