target,model,metric,value
DAYS,V0 Rule,mae,67.41054109598393
DAYS,V0 Rule,median_ae,57.84791666666666
DAYS,V0 Rule,r2,-2.7934328237780446
DAYS,V0 Rule,within_30,0.1731502669717772
DAYS,V0 Rule,within_60,0.5198321891685737
DAYS,V1 Basic,mae,23.041617637222444
DAYS,V1 Basic,median_ae,17.75821045001405
DAYS,V1 Basic,r2,0.4172132315342424
DAYS,V1 Basic,within_30,0.7639206712433257
DAYS,V1 Basic,within_60,0.9378337147215866
DAYS,V1 Advanced,mae,22.205754257969563
DAYS,V1 Advanced,median_ae,16.55511119409106
DAYS,V1 Advanced,r2,0.4348909015225443
DAYS,V1 Advanced,within_30,0.7833714721586575
DAYS,V1 Advanced,within_60,0.9420289855072465
KM,V0 Rule,mae,4515.311594202899
KM,V0 Rule,median_ae,3981.5
KM,V0 Rule,r2,-3.3196202867163924
KM,V0 Rule,within_1000,0.0339435545385202
KM,V0 Rule,within_2000,0.0652173913043478
KM,V1 Basic,mae,1520.1540946866803
KM,V1 Basic,median_ae,1069.4666591241294
KM,V1 Basic,r2,0.2355400154782752
KM,V1 Basic,within_1000,0.4717772692601067
KM,V1 Basic,within_2000,0.7646834477498093
KM,V1 Advanced,mae,1510.1756083987357
KM,V1 Advanced,median_ae,1091.4747835047751
KM,V1 Advanced,r2,0.2481438988050031
KM,V1 Advanced,within_1000,0.463768115942029
KM,V1 Advanced,within_2000,0.7536231884057971
DAYS,V1 AutoML/Ensemble,mae,20.80525528644605
DAYS,V1 AutoML/Ensemble,median_ae,14.15703017162496
DAYS,V1 AutoML/Ensemble,r2,0.4378646519191093
DAYS,V1 AutoML/Ensemble,within_30,0.8012967200610221
DAYS,V1 AutoML/Ensemble,within_60,0.9336384439359268
KM,V1 AutoML/Ensemble,mae,1402.564641630986
KM,V1 AutoML/Ensemble,median_ae,656.8043212890625
KM,V1 AutoML/Ensemble,r2,0.13862135225672878
KM,V1 AutoML/Ensemble,within_1000,0.6174675819984744
KM,V1 AutoML/Ensemble,within_2000,0.7742181540808543
