feature,importance,is_manufacturer,group,rank
policy_interval_km,321.09568005976087,False,BASE_FEATURES,1
recent_30d_km,120.92474532484174,False,BASE_FEATURES,2
snapshot_day_of_year,78.65158953741827,False,BASE_FEATURES,3
previous_interval_km,29.031804077912213,False,BASE_FEATURES,4
daily_active_probability,21.011344003128514,False,BASE_FEATURES,5
recent_vs_long_term_usage_ratio,20.74403341501757,False,BASE_FEATURES,6
avg_ride_days_per_week,20.429280602457723,False,BASE_FEATURES,7
days_observed,18.020721770296234,False,BASE_FEATURES,8
historical_interval_km_median,7.330259610451222,False,BASE_FEATURES,9
recent_90d_km,6.829374525031028,False,BASE_FEATURES,10
annual_km_baseline,6.193319943467486,False,BASE_FEATURES,11
snapshot_month_cos,4.956613678858062,False,BASE_FEATURES,12
policy_ready,4.419900902837966,False,BASE_FEATURES,13
winter_usage_factor,3.181587726576325,False,BASE_FEATURES,14
policy_group,2.2831368986514207,False,BASE_FEATURES,15
maintenance_overdue_km_pre_service,1.8759092628302767,False,BASE_FEATURES,16
load_severity_factor,1.4501952034851655,False,BASE_FEATURES,17
engine_displacement_cc,1.2135819416870817,False,BASE_FEATURES,18
recent_180d_km,0.9023229892989377,False,BASE_FEATURES,19
previous_interval_days,0.8239809923776136,False,BASE_FEATURES,20
mk_months_to_next_COOLANT,0.7258410151490864,True,TASK_DUE_KNOWLEDGE,21
is_fleet_customer,0.7209571916977211,False,BASE_FEATURES,22
recent_60d_km,0.7011083541934653,False,BASE_FEATURES,23
total_task_count,0.6847817224175685,False,BASE_FEATURES,24
snapshot_month_sin,0.570476871201663,False,BASE_FEATURES,25
avg_km_per_day_since_previous_service,0.4790224126291349,False,BASE_FEATURES,26
services_last_90d,0.46121571533929284,False,BASE_FEATURES,27
current_labor_total,0.451995185533832,False,BASE_FEATURES,28
mk_tasks_due_next_2000km,0.440058084434952,True,TASK_DUE_KNOWLEDGE,29
mk_km_to_next_SPARK_PLUG_inspect,0.343409749483385,True,TASK_DUE_KNOWLEDGE,30
storage_condition,0.34086035940747195,False,BASE_FEATURES,31
mk_manufacturer_task_coverage_count,0.33930704173624804,True,MATCH_QUALITY,32
mk_km_to_next_major_maintenance,0.28429321033482324,True,TASK_DUE_KNOWLEDGE,33
total_replace_task_count,0.25566884559559355,False,BASE_FEATURES,34
mk_manufacturer_market_match_exact,0.24653377463526738,True,MATCH_QUALITY,35
mk_km_to_next_manufacturer_service,0.23637330254747724,True,POLICY_KNOWLEDGE,36
weather_sensitivity,0.2350494362083424,False,BASE_FEATURES,37
historical_interval_km_std,0.2309103667370067,False,BASE_FEATURES,38
track_ratio,0.22409237774820667,False,BASE_FEATURES,39
climate_zone,0.2218874766491581,False,BASE_FEATURES,40
current_parts_line_count,0.2183117964368364,False,BASE_FEATURES,41
km_since_electrical_task,0.21657696632098578,False,BASE_FEATURES,42
