quantity,split,mean,median,std
target_DAYS,TRAIN,127.7559308053976,94.88369791666668,99.89443135335652
target_DAYS,VALIDATION,63.630458872754836,55.3221875,32.587882554601265
target_DAYS,TEST,104.67339634974286,88.87304398148149,60.44895865937155
target_KM,TRAIN,3566.332638943479,3213.0,1776.0082883888665
target_KM,VALIDATION,3446.07977606718,3176.0,1378.1791881260228
target_KM,TEST,3502.9165366614666,3177.5,1728.519231103499
historical_interval_days_median,TRAIN,110.50345584128745,85.7647337962963,82.01689219005677
historical_interval_days_median,VALIDATION,74.60530267171141,63.099317129629625,41.78325056937676
historical_interval_days_median,TEST,105.25790652257409,84.05361111111111,66.90378734933725
historical_interval_km_median,TRAIN,3756.5449893178316,3283.0,1621.1589868435726
historical_interval_km_median,VALIDATION,4022.490121580547,3559.5,1676.4360747818864
historical_interval_km_median,TEST,3503.078501338091,3172.0,1465.2649667721857
recent_90d_km,TRAIN,3965.2340832695263,3306.3790322580644,2820.5117587123354
recent_90d_km,VALIDATION,6141.155960682761,5945.322580645151,2672.295932507625
recent_90d_km,TEST,3510.390324453765,3135.456701228879,2437.6955601759482
policy_interval_km,TRAIN,4198.647905038912,5000.0,1203.8425155826376
policy_interval_km,VALIDATION,4016.0951714485655,3000.0,1202.4222201114903
policy_interval_km,TEST,4288.611544461778,5000.0,1189.077840715056
