target,segment_type,segment_value,n,mae,median_ae,bias,p90_ae,notes
DAYS,usage_type,COMMUTER,1288,23.511664699522505,17.4985707885665,1.9704539154016607,51.38060463439878,INTERPRET
DAYS,usage_type,COURIER,556,22.433652313469885,17.75819194734404,4.244558800412961,48.67296317015641,INTERPRET
DAYS,usage_type,OFFROAD,39,17.74319557581698,14.528953986015843,1.5308330635419993,31.852498409001445,N<50; DO NOT RANK
DAYS,usage_type,SEASONAL,265,23.6981521537181,19.0511042994346,-1.4066832950283075,49.208994224891015,INTERPRET
DAYS,usage_type,TOURING,90,23.52267650911162,16.630152353304503,0.5407334158837983,50.35875771545653,INTERPRET
DAYS,usage_type,TRACK,33,20.556989240497167,17.039118621649806,-6.54571135719734,50.314073218522466,N<50; DO NOT RANK
DAYS,usage_type,WEEKEND,351,22.483105830696292,18.135301314628762,1.5272129273837818,47.499345892906994,INTERPRET
DAYS,riding_intensity,HIGH,2180,21.432230629443655,16.994563905056857,2.2741269938938795,42.71180636758712,INTERPRET
DAYS,riding_intensity,LOW,58,45.03612606521785,39.57705070718008,-3.3704219026157203,81.98492293282632,INTERPRET
DAYS,riding_intensity,MEDIUM,384,28.856154585488166,21.70453746204145,0.4985615785921187,68.61679586602199,INTERPRET
DAYS,brand,Bajaj,20,33.25897395490199,27.601308712267134,-6.628277926767346,54.62416444385655,N<50; DO NOT RANK
DAYS,brand,CFMOTO,12,28.423049615763503,22.84312823855318,3.749415626524332,47.27746479792891,N<50; DO NOT RANK
DAYS,brand,Honda,541,24.867205002738633,17.949472678905252,2.953642648909511,54.37841108362512,INTERPRET
DAYS,brand,KTM,1,89.21964677502565,89.21964677502565,89.21964677502565,89.21964677502565,N<50; DO NOT RANK
DAYS,brand,KYMCO,2,37.41634497525418,37.41634497525418,12.440389004918032,47.368656179188605,N<50; DO NOT RANK
DAYS,brand,Kuba,667,22.305075724103517,18.80967357426436,1.9444888892473078,42.29387158124514,INTERPRET
DAYS,brand,Mondial,823,20.53595303891365,15.503474504158355,0.7910708581765905,40.32812964479092,INTERPRET
DAYS,brand,RKS,194,25.650433948225075,21.554255191032887,4.444817496247022,50.25097167157428,INTERPRET
DAYS,brand,SYM,41,24.241974018917134,13.876914486971863,5.0052707502343825,63.84482123321715,N<50; DO NOT RANK
DAYS,brand,TVS,82,34.75697993613598,26.414763666080987,-4.849866349806913,77.14714091964436,INTERPRET
DAYS,brand,Yamaha,239,21.72762674730344,15.240715706772008,2.9760018239908503,49.271612618223095,INTERPRET
DAYS,category,BIG_SCOOTER,31,28.282420729319018,20.220341850006136,10.709068350018633,59.62389793827162,N<50; DO NOT RANK
DAYS,category,CUB,937,21.952518028591687,18.010340565455024,2.03449510297904,43.63976760500218,INTERPRET
DAYS,category,NAKED,67,32.00053499225202,23.600424057504455,-0.005473774679935236,76.29119924169981,INTERPRET
DAYS,category,SCOOTER,1581,23.09355024826479,17.191874660086242,1.8403661971620304,51.24096465833014,INTERPRET
DAYS,category,SCRAMBLER,3,72.97365616942268,56.67022175511751,-72.97365616942268,106.7767694167627,N<50; DO NOT RANK
DAYS,category,SUPERSPORT,2,29.98074994380113,29.98074994380113,29.98074994380113,34.36318047736797,N<50; DO NOT RANK
DAYS,category,TOURING,1,35.03575401456824,35.03575401456824,-35.03575401456824,35.03575401456824,N<50; DO NOT RANK
DAYS,age_bucket,0-3,559,24.098733235624938,19.44661587469416,1.5972532314881507,50.12432367117833,INTERPRET
DAYS,age_bucket,3-7,1543,22.887162576934656,17.68590501177188,2.02921566146572,48.74256357368613,INTERPRET
DAYS,age_bucket,7-12,520,22.363534057447573,15.734460598922546,1.7877225009093016,51.251438888500225,INTERPRET
