model,horizon,brier,auc,cal_error,km_reference_risk
KM_REFERENCE,30,0.014806568592936812,0.5,,0.0485
KM_REFERENCE,60,0.0900941454759005,0.5,,0.2465
KM_REFERENCE,90,0.1352160655906597,0.5,,0.3936
KM_REFERENCE,120,0.15272437315979487,0.5,,0.5059
KM_REFERENCE,180,0.12194171751155984,0.5,,0.6602
COX_BASELINE,30,0.011018235827720635,0.9642046872494292,0.011696021798566972,0.0485
COX_BASELINE,60,0.04835588056009549,0.9368673227218794,0.04038951553400594,0.2465
COX_BASELINE,90,0.06170044633936009,0.9359989250073981,0.06831955421402588,0.3936
COX_BASELINE,120,0.06847362095393832,0.9235140909693782,0.10137783721352393,0.5059
COX_BASELINE,180,0.06688406087162223,0.8773210938760071,,0.6602
COXNET,30,0.010113972148414516,0.9733182574278355,0.0072915204525926935,0.0485
COXNET,60,0.04230235388768049,0.9513939666283197,0.04752877865140724,0.2465
COXNET,90,0.05358919837522528,0.9468800323722428,0.07284557915421469,0.3936
COXNET,120,0.06007953796950379,0.9312577047198645,0.06630912631402604,0.5059
COXNET,180,0.06553011326838586,0.8782680191910073,,0.6602
XGB_COX,30,0.009434179225227811,0.9589500477541312,0.01314694593833368,0.0485
XGB_COX,60,0.04208295486767149,0.9536764455145655,0.05193918839741916,0.2465
XGB_COX,90,0.05150134652193671,0.9488963250463935,0.07223715298749583,0.3936
XGB_COX,120,0.05855761156864111,0.9317172536621171,0.09277298905218888,0.5059
XGB_COX,180,0.06715169002053652,0.8739258128267424,,0.6602
XGB_AFT,30,0.010403037312612991,0.9740751117513609,0.012580342587895721,0.0485
XGB_AFT,60,0.042421978650418524,0.9521774001024269,0.03342231923306669,0.2465
XGB_AFT,90,0.04761858998492133,0.9550584967432432,0.04246269445918811,0.3936
XGB_AFT,120,0.0540584147651393,0.9419471698244336,0.05070637920048412,0.5059
XGB_AFT,180,0.061029307001864534,0.8999513233987736,,0.6602
ENSEMBLE[XGB_COX+COXNET],30,0.009268969070179912,0.9734962206132417,0.0043114285437322935,0.0485
ENSEMBLE[XGB_COX+COXNET],60,0.04042247822432042,0.9554843380524505,0.03468587883401454,0.2465
ENSEMBLE[XGB_COX+COXNET],90,0.050304675439685274,0.9507267164695379,0.06119308958205681,0.3936
ENSEMBLE[XGB_COX+COXNET],120,0.05721900199462255,0.93520121703342,0.0684777151226756,0.5059
ENSEMBLE[XGB_COX+COXNET],180,0.06265652550850134,0.8849828621297688,,0.6602
RSF,30,,,,0.0485
RSF,60,,,,0.2465
RSF,90,,,,0.3936
RSF,120,,,,0.5059
RSF,180,,,,0.6602
