segment_type,segment_value,n,events,censor_rate,ipcw_c,brier_90,auc_90,calibration_error_90,note
history_bin,2-3,1085,245,0.774,0.9501,0.0235,0.9853,0.1086,
history_bin,4+,1802,719,0.601,0.8498,0.0847,0.9009,0.075,
history_bin,0-1,1583,318,0.799,0.9342,0.0296,0.964,0.0134,
brand,Yamaha,404,127,0.686,0.8384,0.0747,0.8743,0.0761,
brand,Mondial,805,351,0.564,0.8661,0.0837,0.9232,0.0869,
brand,TVS,431,58,0.865,0.9829,0.0039,0.9979,0.0395,
brand,Honda,1480,321,0.783,0.9349,0.0284,0.9674,0.0399,
brand,CFMOTO,164,20,0.878,,0.0,,0.0001,
brand,Kuba,461,211,0.542,0.8059,0.1284,0.8544,0.1191,
brand,Bajaj,246,29,0.882,0.988,0.0046,0.998,0.0096,
brand,RKS,266,125,0.53,0.8609,0.0666,0.9397,0.0412,
brand,SYM,123,33,0.732,0.9243,0.0444,0.9637,0.0547,
brand,KYMCO,59,7,0.881,,,,,LOW_SAMPLE
riding_intensity,HIGH,1810,928,0.487,0.8064,0.1195,0.8604,0.0801,
riding_intensity,LOW,993,62,0.938,0.7652,0.0021,0.6813,0.0026,
riding_intensity,MEDIUM,1667,292,0.825,0.8779,0.0039,0.9598,0.0454,
event_type,CENSORED,3188,0,1.0,,,,,LOW_SAMPLE
event_type,PERIODIC,1160,1160,0.0,0.8949,0.0854,0.9629,0.0597,
event_type,REPAIR,91,91,0.0,0.8805,0.1074,0.99,0.2454,
