split,duration_threshold,at_risk,events_before,censored_before
TRAIN,0,32203,0,0
TRAIN,30,29902,1532,769
TRAIN,60,23026,7673,1504
TRAIN,90,17944,12101,2158
TRAIN,120,14095,15369,2739
TRAIN,180,8870,19606,3727
TRAIN,365,2400,24440,5363
VALIDATION,0,4845,0,0
VALIDATION,30,3964,178,703
VALIDATION,60,2642,804,1399
VALIDATION,90,1730,1143,1972
VALIDATION,120,1051,1322,2472
VALIDATION,180,61,1429,3355
VALIDATION,365,0,1429,3416
TEST,0,4470,0,0
TEST,30,3310,63,1097
TEST,60,2669,394,1407
TEST,90,2090,653,1727
TEST,120,1618,830,2022
TEST,180,764,1069,2637
TEST,365,0,1282,3188
