horizon,bin,n,mean_predicted_risk,observed_km_risk
30,"(-0.00026600000000000007, 0.00177]",250,0.0014,0.0
30,"(0.00177, 0.00233]",250,0.002,0.0
30,"(0.00233, 0.00307]",250,0.0027,0.0
30,"(0.00307, 0.00409]",250,0.0036,0.0
30,"(0.00409, 0.0056]",250,0.0048,0.0
30,"(0.0056, 0.00851]",250,0.0069,0.0
30,"(0.00851, 0.0122]",250,0.0101,0.0
30,"(0.0122, 0.0211]",250,0.0163,0.0
30,"(0.0211, 0.0399]",250,0.0293,0.0178
30,"(0.0399, 0.633]",250,0.0927,0.1499
60,"(0.0058, 0.0164]",250,0.013,0.0074
60,"(0.0164, 0.0215]",250,0.0188,0.0
60,"(0.0215, 0.0282]",250,0.0245,0.0
60,"(0.0282, 0.0374]",250,0.0326,0.0
60,"(0.0374, 0.0509]",250,0.0435,0.0
60,"(0.0509, 0.0764]",250,0.0621,0.0
60,"(0.0764, 0.108]",250,0.0904,0.0327
60,"(0.108, 0.18]",250,0.1417,0.1206
60,"(0.18, 0.315]",250,0.2406,0.265
60,"(0.315, 1.0]",250,0.5259,0.6595
90,"(0.0155, 0.0393]",250,0.0314,0.0074
90,"(0.0393, 0.0515]",250,0.0452,0.0
90,"(0.0515, 0.0673]",250,0.0585,0.0
90,"(0.0673, 0.0886]",250,0.0775,0.0
90,"(0.0886, 0.119]",250,0.1025,0.0124
90,"(0.119, 0.176]",250,0.1443,0.0188
90,"(0.176, 0.242]",250,0.2058,0.087
90,"(0.242, 0.383]",250,0.3096,0.2921
90,"(0.383, 0.601]",250,0.4855,0.5988
90,"(0.601, 1.0]",250,0.7999,0.784
120,"(0.0276, 0.0677]",250,0.0543,0.0074
120,"(0.0677, 0.0883]",250,0.0777,0.0
120,"(0.0883, 0.115]",250,0.1001,0.0
120,"(0.115, 0.15]",250,0.1315,0.0082
120,"(0.15, 0.199]",250,0.1723,0.0492
120,"(0.199, 0.287]",250,0.2383,0.1082
120,"(0.287, 0.384]",250,0.3314,0.2579
120,"(0.384, 0.57]",250,0.4757,0.5535
120,"(0.57, 0.8]",250,0.6838,0.7316
120,"(0.8, 1.0]",250,0.9245,0.8091
