segment_type,segment,n,events,censor_rate,c_index,brier_90,auc_90,note
history_bin,2-3,1085,245,0.774,0.865,,0.9766,
history_bin,4+,1802,719,0.601,0.7945,,0.8794,
history_bin,0-1,1583,318,0.799,0.8936,,0.9555,
brand,Yamaha,404,127,0.686,0.7691,,0.8413,
brand,Mondial,805,351,0.564,0.8143,,0.9021,
brand,TVS,431,58,0.865,0.7767,,0.9969,
brand,Honda,1480,321,0.783,0.8711,,0.953,
brand,CFMOTO,164,20,0.878,0.5887,,,
brand,Kuba,461,211,0.542,0.7556,,0.8215,
brand,Bajaj,246,29,0.882,0.9082,,0.996,
brand,RKS,266,125,0.53,0.8429,,0.9249,
brand,SYM,123,33,0.732,0.8802,,0.964,
brand,KYMCO,59,7,0.881,,,,LOW_SAMPLE
riding_intensity,HIGH,1810,928,0.487,0.7519,,0.8261,
riding_intensity,LOW,993,62,0.938,0.6846,,0.5515,
riding_intensity,MEDIUM,1667,292,0.825,0.7403,,0.8689,
event_type,CENSORED,3188,0,1.0,,,,LOW_SAMPLE
event_type,PERIODIC,1160,1160,0.0,0.8487,,0.9465,
event_type,REPAIR,91,91,0.0,0.842,,0.9707,
