segment_type,segment_value,split,n,events,censored,censoring_rate,median_duration
split,TRAIN,TRAIN,32203,25442,6761,0.2099,103.36
split,VALIDATION,VALIDATION,4845,1429,3416,0.7051,66.59
split,TEST,TEST,4470,1282,3188,0.7132,82.3
split,TEST,ALL,4470,1282,3188,0.7132,82.3
split,TRAIN,ALL,32203,25442,6761,0.2099,103.36
split,VALIDATION,ALL,4845,1429,3416,0.7051,66.59
time_year,2021,TRAIN,1219,1202,17,0.0139,117.01
time_year,2022,TRAIN,5173,5052,121,0.0234,105.31
time_year,2023,TRAIN,9355,8801,554,0.0592,106.17
time_year,2024,TRAIN,11337,9011,2326,0.2052,125.92
time_year,2025,TRAIN,5119,1376,3743,0.7312,70.78
time_year,2025,VALIDATION,4845,1429,3416,0.7051,66.59
time_year,2026,TEST,4470,1282,3188,0.7132,82.3
time_year,2021,ALL,1219,1202,17,0.0139,117.01
time_year,2022,ALL,5173,5052,121,0.0234,105.31
time_year,2023,ALL,9355,8801,554,0.0592,106.17
time_year,2024,ALL,11337,9011,2326,0.2052,125.92
time_year,2025,ALL,9964,2805,7159,0.7185,68.55
time_year,2026,ALL,4470,1282,3188,0.7132,82.3
time_quarter,2021Q2,TRAIN,152,152,0,0.0,143.32
time_quarter,2021Q3,TRAIN,416,408,8,0.0192,118.79
time_quarter,2021Q4,TRAIN,628,620,8,0.0127,107.52
time_quarter,2022Q1,TRAIN,769,757,12,0.0156,128.18
time_quarter,2022Q2,TRAIN,1086,1066,20,0.0184,112.46
time_quarter,2022Q3,TRAIN,1488,1450,38,0.0255,96.0
time_quarter,2022Q4,TRAIN,1830,1779,51,0.0279,101.93
time_quarter,2023Q1,TRAIN,1864,1792,72,0.0386,123.76
time_quarter,2023Q2,TRAIN,2129,2031,98,0.046,112.16
time_quarter,2023Q3,TRAIN,2514,2355,159,0.0632,92.1
time_quarter,2023Q4,TRAIN,2848,2623,225,0.079,106.78
time_quarter,2024Q1,TRAIN,2666,2391,275,0.1032,139.15
time_quarter,2024Q2,TRAIN,2694,2263,431,0.16,131.57
time_quarter,2024Q3,TRAIN,2934,2302,632,0.2154,108.46
