snap_month,snapshot_count,events,censored,censoring_rate
2021-01,1,1,0,0.0
2021-02,3,3,0,0.0
2021-03,19,18,1,0.052631578947368474
2021-04,26,26,0,0.0
2021-05,50,50,0,0.0
2021-06,76,76,0,0.0
2021-07,99,97,2,0.02020202020202022
2021-08,161,156,5,0.03105590062111796
2021-09,156,155,1,0.0064102564102563875
2021-10,188,187,1,0.005319148936170248
2021-11,219,217,2,0.0091324200913242
2021-12,221,216,5,0.022624434389140302
2022-01,229,226,3,0.013100436681222738
2022-02,260,256,4,0.01538461538461533
2022-03,280,275,5,0.017857142857142905
2022-04,337,331,6,0.017804154302670572
2022-05,360,350,10,0.02777777777777779
2022-06,389,385,4,0.010282776349614386
2022-07,419,413,6,0.014319809069212375
2022-08,521,508,13,0.0249520153550864
2022-09,548,529,19,0.034671532846715314
2022-10,617,602,15,0.024311183144246407
2022-11,604,590,14,0.023178807947019875
2022-12,609,587,22,0.03612479474548436
2023-01,637,616,21,0.03296703296703296
2023-02,578,557,21,0.03633217993079585
2023-03,649,619,30,0.046224961479198745
2023-04,701,664,37,0.05278174037089867
2023-05,721,685,36,0.04993065187239942
2023-06,707,682,25,0.03536067892503536
2023-07,786,742,44,0.05597964376590325
2023-08,866,822,44,0.050808314087759765
2023-09,862,791,71,0.08236658932714613
2023-10,918,862,56,0.061002178649237515
2023-11,987,902,85,0.08611955420466055
2023-12,943,859,84,0.08907741251325552
2024-01,904,812,92,0.10176991150442483
2024-02,866,782,84,0.0969976905311778
2024-03,896,797,99,0.1104910714285714
2024-04,872,751,121,0.13876146788990829
2024-05,929,779,150,0.16146393972012918
2024-06,893,733,160,0.17917133258678608
2024-07,964,767,197,0.2043568464730291
2024-08,993,779,214,0.21550855991943607
2024-09,977,756,221,0.22620266120777888
2024-10,1018,763,255,0.25049115913555997
2024-11,1069,720,349,0.32647333956969127
2024-12,956,572,384,0.40167364016736407
2025-01,953,478,475,0.49842602308499473
2025-02,837,353,484,0.5782556750298686
2025-03,872,260,612,0.7018348623853211
2025-04,838,191,647,0.7720763723150358
2025-05,844,88,756,0.8957345971563981
2025-06,775,6,769,0.9922580645161291
2025-07,869,434,435,0.5005753739930955
2025-08,848,381,467,0.5507075471698113
2025-09,828,316,512,0.6183574879227054
2025-10,795,212,583,0.7333333333333334
2025-11,756,81,675,0.8928571428571429
2025-12,749,5,744,0.9933244325767691
2026-01,652,361,291,0.44631901840490795
2026-02,536,251,285,0.5317164179104478
2026-03,557,213,344,0.6175942549371634
2026-04,472,192,280,0.5932203389830508
2026-05,435,137,298,0.6850574712643678
2026-06,413,91,322,0.7796610169491526
2026-07,352,36,316,0.8977272727272727
2026-08,1053,1,1052,0.9990503323836657
