feature,mean_observed,mean_censored,smd,abs_smd,magnitude
snapshot_year,2023.3911,2024.9493,-1.5569,1.5569,material
avg_service_interval_days,108.1492,203.2083,-0.9685,0.9685,material
rolling3_interval_days,108.1492,203.2083,-0.9685,0.9685,material
historical_interval_days_median,108.1492,203.2083,-0.9685,0.9685,material
previous_interval_days,105.9709,202.788,-0.9594,0.9594,material
days_since_previous_service,105.9709,202.788,-0.9594,0.9594,material
avg_km_per_day_since_previous_service,50.3261,26.4346,0.86,0.86,material
annual_km_baseline,21171.2139,13014.7502,0.8342,0.8342,material
long_term_km_per_day,57.9636,35.6324,0.8342,0.8342,material
avg_service_spend,1488.65,2343.0,-0.8149,0.8149,material
recent_30d_km,1373.5666,702.3669,0.8051,0.8051,material
recent_60d_km,2724.3673,1432.9677,0.7831,0.7831,material
recent_km_per_day,45.0552,23.8485,0.777,0.777,material
recent_90d_km,4054.9681,2146.3659,0.777,0.777,material
recent_180d_km,7769.2248,4176.9185,0.7605,0.7605,material
current_labor_total,1052.7308,1548.0823,-0.6983,0.6983,material
weather_sensitivity,0.3172,0.434,-0.6786,0.6786,material
city_ratio,0.8133,0.6892,0.6465,0.6465,material
highway_ratio,0.1703,0.2735,-0.6285,0.6285,material
daily_active_probability,0.715,0.584,0.6182,0.6182,material
avg_ride_days_per_week,5.3149,4.4077,0.6024,0.6024,material
current_grand_total,1898.8931,2843.6742,-0.5657,0.5657,material
historical_interval_days_std,20.6426,31.8107,-0.5643,0.5643,material
seasonality_strength,0.1735,0.2331,-0.5416,0.5416,material
services_last_365d,3.3962,2.3062,0.5091,0.5091,material
engine_displacement_cc,94.1522,129.6937,-0.5075,0.5075,material
services_last_90d,1.5235,1.2028,0.492,0.492,material
recent_vs_long_term_usage_ratio,0.7314,0.5983,0.4918,0.4918,material
days_observed,618.4464,840.2434,-0.4688,0.4688,material
policy_interval_km,4193.4785,4715.0767,-0.4572,0.4572,material
ownership_months,32.3384,41.2306,-0.4316,0.4316,material
motorcycle_age_years,3.7271,4.5776,-0.3901,0.3901,material
winter_usage_factor,0.7115,0.6512,0.3686,0.3686,material
historical_on_time_rate,0.994,0.9543,0.3593,0.3593,material
current_parts_total,626.2875,941.3283,-0.3486,0.3486,material
historical_policy_delay_mean_days,0.3591,2.6863,-0.3064,0.3064,material
production_year,2020.0704,2020.6934,-0.2943,0.2943,material
