number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_dist,params_eta,params_gamma,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale,params_subsample,state
0,0.14531607055227308,2026-08-30 23:46:40.269147,2026-08-30 23:46:43.567607,0 days 00:00:03.298460,0.9162213204002109,logistic,0.07725378389307355,0.00610149136730271,5,1.0725209743171995,296,0.004705059281907649,0.040311020093778335,3.0,0.9879639408647978,COMPLETE
1,0.05830724766172907,2026-08-30 23:46:43.567645,2026-08-30 23:46:47.994229,0 days 00:00:04.426584,0.5232252063599989,normal,0.14447746112718687,0.17672182322665056,2,5.748924681991978,671,0.0042733023193754,0.01639597546292718,0.5,0.836965827544817,COMPLETE
2,0.08370504810633163,2026-08-30 23:46:47.994271,2026-08-30 23:46:57.370956,0 days 00:00:09.376685,0.6558555380447055,normal,0.011240768803005551,0.08389112347840594,6,2.411289811529197,683,0.10526037777610406,0.040757740748076546,1.0,0.8650089137415928,COMPLETE
3,0.1081291426209809,2026-08-30 23:46:57.370998,2026-08-30 23:47:02.189584,0 days 00:00:04.818586,0.6783766633467947,logistic,0.03023795012558475,0.010943804457233487,3,2.516607127550296,586,0.10172238474449048,0.029187378749091768,1.0,0.9314950036607718,COMPLETE
4,0.1261298072649689,2026-08-30 23:47:02.189626,2026-08-30 23:47:04.557010,0 days 00:00:02.367384,0.9315517129377968,logistic,0.13780336485751998,0.20209756220944183,2,3.384522041201139,300,0.016748729494641602,0.016210933370464226,1.5,0.6463476238100518,COMPLETE
5,0.30212113334549506,2026-08-30 23:47:04.557053,2026-08-30 23:47:07.176981,0 days 00:00:02.619928,0.7137705091792748,logistic,0.06746437142284309,0.0012417226051008223,5,5.362853964441844,489,0.0025066122177101993,0.012698390685801359,0.5,0.8090931317527976,COMPLETE
6,0.12423774468029326,2026-08-30 23:47:07.177026,2026-08-30 23:47:11.802220,0 days 00:00:04.625194,0.8167018782552118,extreme,0.02679156169946617,1.6730409962757937,2,23.619797107806516,638,0.9392017773650364,0.041292707579765796,1.5,0.9232481518257668,COMPLETE
7,0.15451804395535032,2026-08-30 23:47:11.802261,2026-08-30 23:47:14.178324,0 days 00:00:02.376063,0.6110539052353652,extreme,0.18681142751959703,0.002775737535769128,2,5.681142678077595,307,0.017734885626861135,12.959051501156184,3.0,0.7669644012595116,COMPLETE
8,0.37484840823597637,2026-08-30 23:47:14.178364,2026-08-30 23:47:15.541376,0 days 00:00:01.363012,0.5257393756249946,logistic,0.02634777514406047,0.010732599242723975,2,7.950609693143304,204,2.2890130473331842,0.06177332623538318,0.5,0.8010716092915446,COMPLETE
9,0.11694772869365239,2026-08-30 23:47:15.541421,2026-08-30 23:47:21.090408,0 days 00:00:05.548987,0.917651247794619,logistic,0.08589984533104164,0.015365823428370593,5,6.185918211556434,463,0.004896957955177835,0.013633267789130191,1.0,0.6361159080217633,COMPLETE
10,0.11399049800503407,2026-08-30 23:47:21.090453,2026-08-30 23:47:24.441472,0 days 00:00:03.351019,0.5075651320857704,normal,0.27047297227177763,0.9520108822223714,4,14.742173326533209,537,0.0013680377790690058,0.547389131705692,2.0,0.7202259292197384,COMPLETE
11,0.05781934175853056,2026-08-30 23:47:24.441513,2026-08-30 23:47:34.229857,0 days 00:00:09.788344,0.6089267919181686,normal,0.01192705672379676,0.10375366930412444,6,1.7821043129915917,700,0.23453823537708562,0.2071788837237301,0.5,0.8692353440836653,COMPLETE
12,0.058113655096209194,2026-08-30 23:47:34.229904,2026-08-30 23:47:43.710746,0 days 00:00:09.480842,0.584007552144453,normal,0.010972200104216394,0.2938471606917188,6,1.0218093745755439,675,0.4469643213945104,0.33114634712565766,0.5,0.869545659576201,COMPLETE
13,0.058291128801308545,2026-08-30 23:47:43.710790,2026-08-30 23:47:51.856661,0 days 00:00:08.145871,0.5997648274528327,normal,0.010694026921213668,4.904760579209037,6,1.0230347562857998,578,0.5322697666964219,0.32987962193163517,0.5,0.8910266393114594,COMPLETE
