check,value,expected,status,notes
config_run_mode,FULL,FULL,PASS,
config_status,FINAL,FINAL,PASS,
dataset_version,1.3.0,1.3.0,PASS,
model_name,ENSEMBLE[XGB_COX+COXNET],ENSEMBLE[XGB_COX+COXNET],PASS,
calibration_method,isotonic_ipcw,isotonic_ipcw,PASS,
ensemble_weights,"{'XGB_COX': 0.6, 'COXNET': 0.4}","{XGB_COX:~.6, COXNET:~.4}",PASS,
feature_set,SET_D_TARGET_SPECIFIC_SURVIVAL,SET_D_TARGET_SPECIFIC_SURVIVAL,PASS,
feature_count,117,117,PASS,
champion_artifact_keys,"['all_h', 'cal_champion', 'calibration', 'coxnet', 'coxnet_alpha', 'enc_names', 'ens_models', 'ens_selected', 'ens_w', 'final_model', 'xgb_a",xgb_cox_model/coxnet/xgb_cox_H0/...,PASS,
preprocessor_is_transform_only,True,fitted ColumnTransformer,PASS,
frozen_input_hash,dfc4ee1b266850dd,matches nb15 (dfc4ee1b266850dd),PASS,
encoded_dims,243,243,PASS,
calibrator_reconstructed,"XGB_COX+COXNET x [30, 60, 90, 120]",8 isotonic maps,PASS,
feature_catalog_written,91 num stats / 26 cat options,ok,PASS,
no_synthetic_only_features_in_use,0,0,PASS,READY 50 / DERIVABLE 66 / INERT 1
predictor_loaded,ENSEMBLE[XGB_COX+COXNET],ENSEMBLE[XGB_COX+COXNET],PASS,
predictor_ensemble_calibrator_ok,True,True,PASS,
prediction_output_schema,"['median_service_days', 'raw_ensemble_risk', 'risk_120d', 'risk_30d', 'risk_60d', 'risk_90d', 'risk_group_90d']",risk_30d/60d/90d/120d + median_service_days + risk_group_90d,PASS,
golden_prediction_parity,"max|Δrisk|=5.00e-09, max|Δmedian|=0.00e+00, group match 1.000",< 1e-6 / exact,PASS,
deterministic_inference,max|Δ| over a re-run = 0.00e+00,0,PASS,
probability_bounds,0,0,PASS,
probability_monotonicity,0,0,PASS,
leakage_request_guard,6/6 rejected,all rejected,PASS,
invalid_input_validation,3/3 rejected,all rejected,PASS,
ood_warning,True,True,PASS,"annual_km_baseline=999999 far outside training range [3472, 51316] (out-of-distr"
production_inference_feasible,1335.03,< 5000 ms,PASS,
bundle_manifest_written,8 checksums,ok,PASS,
checksum_verification,VERIFIED_OK,VERIFIED_OK,PASS,
no_training_in_notebook,no XGBoost.fit / CoxNet.fit / Optuna executed,confirmed,PASS,
preprocessor_transform_only,PRE.transform used; PRE.fit never called,confirmed,PASS,
ensemble_weights_config_driven,"{'XGB_COX': 0.6, 'COXNET': 0.4}",from config,PASS,
real_fleet_warning_present,report + predictor + manifest + API all say PENDING,yes,PASS,
