column,role,available_at_snapshot,uses_future_information,target_derived,model_feature_allowed,reason
acquisition_channel,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
annual_km_baseline,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
appointment_rate,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
appointment_service_count,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
avg_km_per_active_day,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
avg_km_per_day_since_previous_service,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
avg_parts_lead_days,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
avg_ride_days_per_week,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
avg_service_interval_days,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
avg_service_interval_km,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
avg_service_spend,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
brand,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
breakdown_service_count,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
category,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
censoring_date,CENSORING,False,no,yes,False,administrative censor boundary
chronic_risk_tier,METADATA,True,no,no,False,"provenance / synthetic-only, excluded from ML"
city_ratio,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
climate_zone,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
cooling_type,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
courier_customer_share,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
cumulative_service_spend,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_arrival_mode,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_completed_task_count,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_declined_task_count,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_fault_task_count,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_grand_total,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_inspection_finding_task_count,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_is_breakdown,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_is_warranty,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_labor_total,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_mileage_estimated,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_mileage_quality_flag,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_mileage_source,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_parts_line_count,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_parts_total,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_policy_due_task_count,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_primary_trigger_task,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_replace_task_count,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_service_delay_days,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_service_timestamp_repaired,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
current_service_type_code,FEATURE,True,no,no,True,snapshot-time leakage-safe v1.3 feature
