dataset,column_name,dtype,non_null_count,null_count,null_pct,unique_count,example_value
workshops,workshop_id,object,10,0,0.0,10,WS0001
workshops,workshop_name,object,10,0,0.0,10,RideBase Sentetik Servis İstanbul Anadolu
workshops,city,object,10,0,0.0,10,İstanbul
workshops,district_profile,object,10,0,0.0,10,METROPOLITAN_DENSE
workshops,region,object,10,0,0.0,6,Marmara
workshops,climate_zone,object,10,0,0.0,7,TEMPERATE_HUMID
workshops,price_level,object,10,0,0.0,4,LOW
workshops,opening_time,object,10,0,0.0,3,08:30
workshops,closing_time,object,10,0,0.0,3,18:30
workshops,working_days,object,10,0,0.0,1,"MON,TUE,WED,THU,FRI,SAT"
workshops,sunday_open,int64,10,0,0.0,2,1
workshops,service_bay_count,int64,10,0,0.0,6,4
workshops,technician_count,int64,10,0,0.0,7,5
workshops,senior_technician_count,int64,10,0,0.0,4,1
workshops,daily_service_capacity,int64,10,0,0.0,8,11
workshops,appointment_rate,float64,10,0,0.0,10,0.45
workshops,walk_in_rate,float64,10,0,0.0,10,0.55
workshops,avg_parts_lead_days,float64,10,0,0.0,9,2.0
workshops,same_day_parts_rate,float64,10,0,0.0,10,0.72
workshops,multibrand,int64,10,0,0.0,1,1
workshops,specialization,object,10,0,0.0,10,SCOOTER;CUB;COMMUTER
workshops,supported_powertrains,object,10,0,0.0,2,ICE;EV
workshops,supported_final_drives,object,10,0,0.0,4,CHAIN;V_BELT;DIRECT
workshops,supports_ev,int64,10,0,0.0,2,1
workshops,supports_abs_diagnostics,int64,10,0,0.0,1,1
workshops,supports_advanced_diagnostics,int64,10,0,0.0,2,0
workshops,labor_rate_index,float64,10,0,0.0,9,0.9
workshops,parts_sale_multiplier,float64,10,0,0.0,9,0.92
workshops,customer_volume_index,float64,10,0,0.0,10,1.25
workshops,courier_customer_share,float64,10,0,0.0,9,0.28
workshops,seasonality_strength,float64,10,0,0.0,10,0.12
workshops,data_origin,object,10,0,0.0,1,SYNTHETIC
workshops,generator_version,object,10,0,0.0,1,1.2.0
workshops,scenario_id,object,10,0,0.0,10,URBAN_VALUE_HIGH_VOLUME
workshops,notes,object,10,0,0.0,10,"Yüksek hacimli, fiyat hassasiyeti yüksek şehir içi servis profili."
customers,customer_id,object,7000,0,0.0,7000,C000001
customers,workshop_id,object,7000,0,0.0,10,WS0003
customers,customer_type,object,7000,0,0.0,3,INDIVIDUAL
customers,first_seen_date,object,7000,0,0.0,1964,2024-06-08
customers,city,object,7000,0,0.0,10,İzmir
customers,region,object,7000,0,0.0,6,Ege
customers,is_fleet_customer,int64,7000,0,0.0,2,0
customers,preferred_contact,object,7000,0,0.0,4,WHATSAPP
customers,acquisition_channel,object,7000,0,0.0,7,GOOGLE_MAPS
customers,synthetic_alias,object,7000,0,0.0,7000,Customer_000001
