number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_loss,params_max_bins,params_max_depth,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,user_attrs_fold_maes,user_attrs_mae_std,state
0,16.864660206107903,2026-08-28 20:37:33.841632,2026-08-28 20:38:31.222646,0 days 00:00:57.381014,0.09047071957568396,0.03574712922600244,squared_error,191,12.0,626,151,50,"[20.973, 16.648, 12.973]",3.2693134377280852,COMPLETE
1,16.609280010119672,2026-08-28 20:38:31.222692,2026-08-28 20:38:50.182745,0 days 00:00:18.960053,0.0015577217702693043,0.018659959624904923,squared_error,127,6.0,302,112,32,"[20.655, 16.296, 12.877]",3.183063322030793,COMPLETE
2,16.802224157258333,2026-08-28 20:38:50.182812,2026-08-28 20:38:57.842041,0 days 00:00:07.659229,0.0012052231254145623,0.07896186801026692,squared_error,191,4.0,235,27,57,"[21.146, 16.305, 12.956]",3.3619717624292202,COMPLETE
3,16.741882013417264,2026-08-28 20:38:57.842078,2026-08-28 20:39:12.880843,0 days 00:00:15.038765,0.015321449415450742,0.09519754482692679,absolute_error,127,6.0,306,111,73,"[20.912, 16.293, 13.021]",3.2368898519525597,COMPLETE
4,16.78615089876184,2026-08-28 20:39:12.880880,2026-08-28 20:40:07.812984,0 days 00:00:54.932104,8.094845352286143,0.03750796359625606,squared_error,127,12.0,285,169,10,"[21.027, 16.39, 12.941]",3.3130830557539093,COMPLETE
5,19.151209139660292,2026-08-28 20:40:07.813025,2026-08-28 20:40:23.310701,0 days 00:00:15.497676,0.0001502713721415457,0.11935262708510537,squared_error,191,6.0,536,28,9,,,PRUNED
6,18.813070377541735,2026-08-28 20:40:23.310730,2026-08-28 20:40:35.008787,0 days 00:00:11.698057,5.69167362989989e-06,0.015019490572374374,absolute_error,191,4.0,507,156,6,,,PRUNED
7,16.665073671846482,2026-08-28 20:40:35.008831,2026-08-28 20:41:16.867739,0 days 00:00:41.858908,0.027153529939846613,0.02334720250903524,squared_error,127,12.0,355,155,66,"[20.73, 16.376, 12.889]",3.2078471936039867,COMPLETE
8,18.997816249457287,2026-08-28 20:41:16.867799,2026-08-28 20:41:56.573124,0 days 00:00:39.705325,0.0037603746651791265,0.15584289782385466,absolute_error,127,12.0,598,74,5,,,PRUNED
9,18.721959427879668,2026-08-28 20:41:56.573150,2026-08-28 20:42:05.054272,0 days 00:00:08.481122,9.860148611372115e-05,0.030019946952402964,absolute_error,191,4.0,409,145,27,,,PRUNED
10,24.196876958257242,2026-08-28 20:42:05.054295,2026-08-28 20:42:31.185831,0 days 00:00:26.131536,1.0464384317629458,0.010814956648637603,squared_error,255,,153,195,33,,,PRUNED
11,16.588077638207718,2026-08-28 20:42:31.185871,2026-08-28 20:43:03.735507,0 days 00:00:32.549636,0.037725949293777775,0.019057670211102485,squared_error,127,8.0,413,102,77,"[20.555, 16.299, 12.91]",3.127763718546187,COMPLETE
12,16.584333798189196,2026-08-28 20:43:03.735586,2026-08-28 20:43:43.139178,0 days 00:00:39.403592,0.34343977231106715,0.017235303713348287,squared_error,127,8.0,431,93,36,"[20.626, 16.322, 12.805]",3.1984450417161763,COMPLETE
13,16.625687011737657,2026-08-28 20:43:43.139240,2026-08-28 20:44:29.120317,0 days 00:00:45.981077,0.3825928545815838,0.010894930313122731,squared_error,255,8.0,450,72,79,"[20.652, 16.228, 12.997]",3.1376621663187856,COMPLETE
14,18.6512548252536,2026-08-28 20:44:29.120360,2026-08-28 20:44:47.487657,0 days 00:00:18.367297,5.719599538667492,0.05419717159092677,squared_error,127,8.0,461,80,46,,,PRUNED
15,16.6058897487188,2026-08-28 20:44:47.487702,2026-08-28 20:45:24.924734,0 days 00:00:37.437032,0.24728099151865762,0.01923706733849964,squared_error,127,8.0,384,92,22,"[20.651, 16.384, 12.782]",3.2163073580526564,COMPLETE
16,19.99443842552815,2026-08-28 20:45:24.924798,2026-08-28 20:45:43.060734,0 days 00:00:18.135936,1.4051404547775392,0.2426004019564968,squared_error,127,8.0,541,46,62,,,PRUNED
17,18.718445377111216,2026-08-28 20:45:43.060758,2026-08-28 20:46:02.866289,0 days 00:00:19.805531,0.043657573360994836,0.054062945600837686,squared_error,255,8.0,441,128,39,,,PRUNED
18,18.54365819721268,2026-08-28 20:46:02.866352,2026-08-28 20:46:25.468375,0 days 00:00:22.602023,0.008318342021675655,0.014147398349408067,absolute_error,127,,361,53,53,,,PRUNED
19,18.573540860306956,2026-08-28 20:46:25.468468,2026-08-28 20:46:52.157559,0 days 00:00:26.689091,0.0002777971406811097,0.0262997825397072,squared_error,127,8.0,484,98,18,,,PRUNED
