model_id,model_name,category,motorcycle_count,snapshot_count,applicable_policy_count,canonical_task_count,timing_prediction_coverage,task_prediction_coverage
BAJAJ_DOMINAR250,Dominar D250,TOURING,57,126,29,29,1.0,1.0
BAJAJ_NS125,Pulsar NS125,NAKED,154,452,27,27,1.0,1.0
BAJAJ_NS200,Pulsar NS200 UG2,NAKED,209,663,33,33,1.0,1.0
CFMOTO_250CLX,250CL-X,ROADSTER,33,72,29,29,1.0,1.0
CFMOTO_250DUAL,250 DUAL,ADVENTURE,47,136,29,29,1.0,1.0
CFMOTO_250NK,250NK,NAKED,126,357,29,29,1.0,1.0
CFMOTO_250SR,250SR,SUPERSPORT,63,155,29,29,1.0,1.0
CFMOTO_450CLC,450 CL-C,CRUISER,12,23,26,26,1.0,1.0
CFMOTO_450NK,450NK,NAKED,50,143,29,29,1.0,1.0
CFMOTO_650NK,650NK,NAKED,23,68,29,29,1.0,1.0
HONDA_ACTIVA125,Activa 125,SCOOTER,884,3333,28,28,1.0,1.0
HONDA_ADV350,ADV350,BIG_SCOOTER,86,222,30,30,1.0,1.0
HONDA_CB125F,CB125F,NAKED,257,819,27,27,1.0,1.0
HONDA_CL250,CL250,SCRAMBLER,54,164,29,29,1.0,1.0
HONDA_DIO110,Dio 110,SCOOTER,404,3131,28,28,1.0,1.0
HONDA_EM1E,EM1 e:,EV_SCOOTER,28,56,12,12,1.0,1.0
HONDA_FORZA250,Forza 250,BIG_SCOOTER,182,619,30,30,1.0,1.0
HONDA_MONKEY,Monkey,MINI_BIKE,16,37,27,27,1.0,1.0
HONDA_PCX125,PCX125,SCOOTER,1046,3368,30,30,1.0,1.0
HONDA_SH125I,SH125i,SCOOTER,143,403,30,30,1.0,1.0
KTM_390_DUKE,390 Duke,NAKED,42,123,29,29,1.0,1.0
KUBA_BLUEBERRY50,Blueberry 50,SCOOTER,346,4525,28,28,1.0,1.0
KUBA_CG50_PRO,CG50 Pro,CUB,459,2407,27,27,1.0,1.0
KYMCO_DOWNTOWN250I,Downtown 250i,BIG_SCOOTER,55,136,30,30,1.0,1.0
KYMCO_XTOWN_CT250,X-Town CT 250,BIG_SCOOTER,69,198,30,30,1.0,1.0
MONDIAL_50_UAG,50 UAG,CUB,365,2769,27,27,1.0,1.0
MONDIAL_EXON50,Exon 50,SCOOTER,80,299,22,22,1.0,1.0
MONDIAL_SFC_MINI_50EC,SFC MINI 50ec,CUB,293,3234,27,27,1.0,1.0
MONDIAL_TURISMO50I,Turismo 50i,SCOOTER,60,277,22,22,1.0,1.0
MONDIAL_WING50I,Wing 50i,SCOOTER,585,3512,22,22,1.0,1.0
RKS_NEW_LIGHT_PRO,New Light Pro,CUB,341,2011,30,30,1.0,1.0
ROYALENFIELD_HUNTER350,Hunter 350,ROADSTER,33,64,27,27,1.0,1.0
SYM_JETX125,Jet X 125 TCS ABS,SCOOTER,214,691,30,30,1.0,1.0
TVS_APACHE_RTR200_4V,Apache RTR 200 4V FI,NAKED,68,178,27,27,1.0,1.0
TVS_JUPITER125,Jupiter 125,SCOOTER,728,2640,28,28,1.0,1.0
TVS_RAIDER125,Raider 125,NAKED,174,410,27,27,1.0,1.0
YAMAHA_NMAX125,NMAX 125,SCOOTER,416,3014,30,30,1.0,1.0
YAMAHA_XMAX250,XMAX 250,BIG_SCOOTER,180,532,30,30,1.0,1.0
YAMAHA_XSR125,XSR125,NAKED,60,151,29,29,1.0,1.0
