split,segment_type,segment_value,n,days_mae,km_mae,timing_coverage,task_micro_f1,precision_at_3,notes
TEST,usage_type,COMMUTER,3658,67.29121870127543,4489.931677018633,1.0,0.2464581500470224,0.1275879917184265,minimum_n=50; timing_n=1288; task_n=1288
TEST,usage_type,COURIER,1490,65.52942164710187,4404.519784172662,1.0,0.24949047719446202,0.12709832134292565,minimum_n=50; timing_n=556; task_n=556
TEST,usage_type,OFFROAD,142,67.97005752221087,4845.205128205128,1.0,0.2144985104270109,0.1282051282051282,minimum_n=50; timing_n=39; task_n=39
TEST,usage_type,SEASONAL,793,71.76608680389195,4567.5622641509435,1.0,0.23847908745247148,0.1459119496855346,minimum_n=50; timing_n=265; task_n=265
TEST,usage_type,TOURING,417,70.27188449798577,4676.5,1.0,0.22289156626506026,0.13703703703703704,minimum_n=50; timing_n=90; task_n=90
TEST,usage_type,TRACK,117,84.27531565656567,5397.606060606061,1.0,0.22350230414746544,0.1414141414141414,minimum_n=50; timing_n=33; task_n=33
TEST,usage_type,WEEKEND,1074,65.15837710186746,4583.558404558405,1.0,0.23979591836734693,0.11490978157644825,minimum_n=50; timing_n=351; task_n=351
TEST,riding_intensity,HIGH,4178,60.96751235536765,4783.19128440367,1.0,0.24609478188894562,0.1259938837920489,minimum_n=50; timing_n=2180; task_n=2180
TEST,riding_intensity,LOW,1089,100.4792025862069,1998.3103448275863,1.0,0.247982391782832,0.15517241379310348,minimum_n=50; timing_n=58; task_n=58
TEST,riding_intensity,MEDIUM,2424,98.99340642960514,3374.7083333333335,1.0,0.2286102308736985,0.1362847222222222,minimum_n=50; timing_n=384; task_n=384
TEST,brand,Bajaj,223,104.7192361111111,3947.5,1.0,0.20610687022900762,0.03333333333333333,minimum_n=50; timing_n=20; task_n=20
TEST,brand,CFMOTO,154,76.65642361111111,2358.0833333333335,1.0,0.2397476340694006,0.16666666666666666,minimum_n=50; timing_n=12; task_n=12
TEST,brand,Honda,2280,78.02874372491742,5108.726432532348,1.0,0.20557212482723503,0.12754158964879853,minimum_n=50; timing_n=541; task_n=541
TEST,brand,KYMCO,53,114.87534722222223,3703.0,1.0,0.13636363636363638,0.16666666666666666,minimum_n=50; timing_n=2; task_n=2
TEST,brand,Kuba,1293,59.252444817504276,4026.5172413793102,1.0,0.24508144083133865,0.11894052973513243,minimum_n=50; timing_n=667; task_n=667
TEST,brand,Mondial,1795,60.3533796352644,3919.273390036452,1.0,0.2978765237907983,0.138922640745241,minimum_n=50; timing_n=823; task_n=823
TEST,brand,RKS,439,65.40041997412632,5223.386597938144,1.0,0.2584378013500482,0.1254295532646048,minimum_n=50; timing_n=194; task_n=194
TEST,brand,SYM,135,66.69489844766665,5398.048780487805,1.0,0.17335766423357665,0.1138211382113821,minimum_n=50; timing_n=41; task_n=41
TEST,brand,TVS,614,108.87811564559868,4592.634146341464,1.0,0.1754901960784314,0.15853658536585363,minimum_n=50; timing_n=82; task_n=82
TEST,brand,Yamaha,671,74.2371914179724,6015.535564853557,1.0,0.17808429118773947,0.11854951185495119,minimum_n=50; timing_n=239; task_n=239
TEST,model,250NK,57,89.49890873015873,2654.285714285714,1.0,0.19895287958115185,0.047619047619047616,minimum_n=50; timing_n=7; task_n=7
TEST,model,50 UAG,512,58.027147683397686,3749.610038610039,1.0,0.30501535312180145,0.11325611325611325,minimum_n=50; timing_n=259; task_n=259
TEST,model,Activa 125,608,98.692271683448,4769.442307692308,1.0,0.22169249106078665,0.18269230769230768,minimum_n=50; timing_n=104; task_n=104
TEST,model,Blueberry 50,827,51.22449730085829,4151.4446601941745,1.0,0.23823088455772115,0.12556634304207118,minimum_n=50; timing_n=515; task_n=515
TEST,model,CB125F,139,79.65967261904761,4873.535714285715,1.0,0.27945205479452057,0.11904761904761904,minimum_n=50; timing_n=28; task_n=28
TEST,model,CG50 Pro,466,86.4523985745614,3603.2434210526317,1.0,0.26920031670625494,0.09649122807017542,minimum_n=50; timing_n=152; task_n=152
TEST,model,Dio 110,628,64.26745770881253,5384.33,1.0,0.20031055900621117,0.12222222222222222,minimum_n=50; timing_n=300; task_n=300
TEST,model,Exon 50,57,87.40396950496233,3189.25,1.0,0.20437956204379562,0.29166666666666663,minimum_n=50; timing_n=8; task_n=8
TEST,model,Forza 250,104,110.24103535353534,4962.636363636364,1.0,0.1607717041800643,0.0606060606060606,minimum_n=50; timing_n=11; task_n=11
