target,split,metric,value,n,model,feature_set
DAYS,VALIDATION,mae,21.696520801389987,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,VALIDATION,median_ae,15.480193779141619,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,VALIDATION,rmse,29.63605991605451,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,VALIDATION,r2,0.31700226862195136,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,VALIDATION,bias,-0.9084486957325851,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,VALIDATION,p90_ae,49.052194351977306,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,VALIDATION,within_15,0.4829192546583851,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,VALIDATION,within_30,0.7934782608695652,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,VALIDATION,within_45,0.884575569358178,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,VALIDATION,within_60,0.9358178053830227,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,VALIDATION,within_90,0.9849896480331263,1932,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,mae,22.205754257969563,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,median_ae,16.55511119409106,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,rmse,30.277099063218493,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,r2,0.4348909015225443,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,bias,1.9228277421515965,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,p90_ae,47.771767533889225,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,within_15,0.4488939740655988,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,within_30,0.7833714721586575,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,within_45,0.8882532418001525,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,within_60,0.9420289855072463,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,within_90,0.9809305873379099,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
DAYS,TEST,negative_prediction_count,0.0,2622,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,SET_B_SERVICE_HISTORY
KM,VALIDATION,mae,1473.6927806375961,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,VALIDATION,median_ae,903.0664224284787,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,VALIDATION,rmse,2220.696548306325,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,VALIDATION,r2,0.17299740598431435,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,VALIDATION,bias,-472.70744144833094,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,VALIDATION,p90_ae,3551.1741896032772,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,VALIDATION,within_500,0.28482651475919213,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,VALIDATION,within_1000,0.5390989124805801,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,VALIDATION,within_1500,0.6784049715173486,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,VALIDATION,within_2000,0.7664422578974625,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,VALIDATION,within_5000,0.9549456240290005,1931,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,mae,1510.1756083987357,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,median_ae,1091.4747835047751,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,rmse,2148.939473898676,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,r2,0.2481438988050031,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,bias,2.1730053015591393,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,p90_ae,3365.920815248976,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,within_500,0.2608695652173913,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,within_1000,0.463768115942029,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,within_1500,0.6372997711670481,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,within_2000,0.7536231884057971,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,within_5000,0.9637681159420289,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
KM,TEST,negative_prediction_count,4.0,2622,GradientBoostingRegressor__RAW,SET_D_MAINTENANCE_FAILURE
