target,rank,feature,importance,stddev,method,model
DAYS,1,annual_km_baseline,5.092861756984394,0.2373279891609439,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,2,engine_displacement_cc,0.936275553128457,0.032345122128276844,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,3,customer_type,0.7273779586474127,0.2655248112161754,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,4,riding_intensity,0.33785634175671575,0.017374759024230576,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,5,offroad_ratio,0.268385466096138,0.039053709225136055,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,6,highway_ratio,0.25631531512605044,0.014015124149496653,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,7,current_service_type_code,0.22871887834602234,0.10532506083163569,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,8,weather_sensitivity,0.17400794151441978,0.03860578629720091,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,9,model_id,0.17301744421058274,0.032255307598711695,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,10,current_inspection_finding_task_count,0.14823619069258598,0.10096448548488329,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,11,avg_km_per_active_day,0.1141091328303041,0.06207776939398667,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,12,policy_group,0.09838898890018655,0.0143058145358577,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,13,city_ratio,0.08741975241105138,0.00791995315412789,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,14,current_primary_trigger_task,0.08327301546997745,0.07975808641633664,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,15,final_drive_type,0.07115925661723033,0.002221198109434361,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,16,km_since_previous_service,0.06462737368743099,0.01172142149278848,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,17,current_service_delay_days,0.059753179936940626,0.013222353454759042,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,18,total_policy_due_task_count,0.05911574914654416,0.005484764014945844,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,19,seasonality_strength,0.03472897032897215,0.0003394095938214815,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
DAYS,20,cumulative_service_spend,0.034622833906281514,0.016224889469204702,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,1,policy_group,80.82674118804925,5.725025952903487,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,2,customer_type,60.68723871612542,22.217105070934412,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,3,engine_displacement_cc,30.12075532150277,2.5688498341009023,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,4,current_primary_trigger_task,30.04013755798337,9.299102454522028,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,5,model_id,28.72800846767427,1.535903818206287,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,6,annual_km_baseline,25.050662338256757,3.3228046028545193,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,7,offroad_ratio,13.829118845224343,2.0351476904666,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,8,current_service_type_code,11.347152572631899,3.5237770041027505,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,9,brand,11.252617832183773,5.994299921106789,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,10,highway_ratio,9.596104977607752,2.3449411758870826,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,11,weather_sensitivity,8.813601657867366,0.49334452561208064,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,12,riding_intensity,8.078371871948207,1.4118885776678052,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,13,avg_km_per_active_day,7.847841688156109,3.506414868134506,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,14,current_inspection_finding_task_count,7.451098991394133,1.2862224443990116,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,15,city_ratio,7.056311405181873,1.0882391219239274,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,16,snapshot_day_of_year,5.7462999420166625,0.8308954173396033,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,17,current_fault_task_count,3.839174106597852,1.585290806106357,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,18,services_last_365d,2.182276481628378,1.5015442493566231,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,19,transmission_type,2.082746154785127,1.2586373172128906,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
KM,20,km_since_previous_service,2.0717683315276645,0.30051324738594687,VALIDATION_PERMUTATION_MAE,AutoGluon::WeightedEnsemble_L2
