source,importance,group
recent_90d_km,2.526203208912968,RECENT_USAGE
engine_displacement_cc,2.290705034140803,BASE
historical_interval_days_median,1.2312012769577905,HISTORICAL_INTERVAL
recent_60d_km,1.1249024759053932,RECENT_USAGE
policy_interval_km,0.995810998570351,POLICY
annual_km_baseline,0.845416678058332,BASE
previous_interval_days,0.49473689706721125,HISTORICAL_INTERVAL
policy_group,0.24529779915469163,POLICY
avg_service_interval_days,0.194229656017025,HISTORICAL_INTERVAL
avg_km_per_day_since_previous_service,0.17782883309272712,HISTORICAL_INTERVAL
brand,0.10301304937789742,BASE
recent_km_per_day,0.06662384819968399,RECENT_USAGE
recent_vs_long_term_usage_ratio,0.03471908115519007,RECENT_USAGE
maintenance_overdue_km_pre_service,0.028981729454785093,POLICY
days_since_previous_service,0.026056786030761003,HISTORICAL_INTERVAL
avg_km_per_active_day,0.025246952771291003,BASE
customer_type,0.020873243650100903,BASE
historical_interval_km_median,0.019315133427312503,HISTORICAL_INTERVAL
days_observed,0.018725784425740837,BASE
previous_interval_km,0.015402900729434066,HISTORICAL_INTERVAL
km_since_previous_service,0.007225988469793758,HISTORICAL_INTERVAL
motorcycle_age_years,0.006757972036875633,BASE
snapshot_odometer_km,0.006564384972557846,BASE
workshop_city,0.005528574092144467,BASE
is_fleet_customer,0.004832572484180749,BASE
final_drive_type,0.004419179908573175,BASE
initial_mileage_km,0.004349620340398985,BASE
recent_180d_km,0.0033936403658305636,RECENT_USAGE
production_year,0.003342447447321817,BASE
city_ratio,0.003124022244697026,BASE
