source,importance,group
policy_interval_km,376.566757762692,POLICY
recent_30d_km,151.16967297223195,RECENT_USAGE
snapshot_day_of_year,80.97577678935852,BASE
previous_interval_km,33.11298234227263,HISTORICAL_INTERVAL
daily_active_probability,28.67580089526162,BASE
avg_ride_days_per_week,24.772539885237506,BASE
recent_vs_long_term_usage_ratio,20.795699637547994,RECENT_USAGE
recent_90d_km,14.442958673637841,RECENT_USAGE
days_observed,13.425221476749092,BASE
historical_interval_km_median,7.478626602019365,HISTORICAL_INTERVAL
historical_interval_days_median,4.509821197684725,HISTORICAL_INTERVAL
annual_km_baseline,3.9496328443744155,BASE
policy_group,3.721658913593463,POLICY
winter_usage_factor,3.5376960814896847,BASE
is_fleet_customer,1.9269643217990051,BASE
snapshot_month_cos,1.8943902416128064,BASE
recent_60d_km,1.6808004095520346,RECENT_USAGE
maintenance_overdue_km_pre_service,1.4841763392404725,POLICY
load_severity_factor,1.1866039187950719,BASE
recent_180d_km,1.1371576007419815,RECENT_USAGE
historical_interval_km_std,1.1070153069624287,HISTORICAL_INTERVAL
previous_interval_days,1.0749796587311948,HISTORICAL_INTERVAL
seasonality_strength,1.0733099482583082,BASE
services_last_365d,0.9892842931028932,MAINT_HISTORY
snapshot_month_sin,0.9786927601086669,BASE
num__missingindicator_current_service_delay_days,0.8070486361267134,BASE
snapshot_odometer_km,0.765145812688426,BASE
track_ratio,0.6128805055901694,BASE
usage_type,0.6023773435772076,BASE
snapshot_month,0.576347559768351,BASE
