target,analysis_type,feature,value
DAYS,PERMUTATION_IMPORTANCE,numeric__annual_km_baseline,5.938652332242576
DAYS,PERMUTATION_IMPORTANCE,numeric__current_inspection_finding_task_count,1.9274423150643312
DAYS,PERMUTATION_IMPORTANCE,numeric_structural__engine_displacement_cc,1.4707441894361803
DAYS,PERMUTATION_IMPORTANCE,numeric__weather_sensitivity,0.7826913446012593
DAYS,PERMUTATION_IMPORTANCE,categorical__customer_type_INDIVIDUAL,0.24056913611272357
DAYS,PERMUTATION_IMPORTANCE,boolean__is_fleet_customer,0.20586489454915835
DAYS,PERMUTATION_IMPORTANCE,numeric_structural__missingindicator_engine_displacement_cc,0.15332208641260792
DAYS,PERMUTATION_IMPORTANCE,categorical__brand_Honda,0.1254239828756294
DAYS,PERMUTATION_IMPORTANCE,numeric__services_last_365d,0.10409557093037236
DAYS,PERMUTATION_IMPORTANCE,numeric__avg_service_interval_days,0.07533333056971969
DAYS,PERMUTATION_IMPORTANCE,numeric__highway_ratio,0.0630412649791463
DAYS,PERMUTATION_IMPORTANCE,categorical__current_service_type_code_PERIODIC,0.0550242219980106
DAYS,PERMUTATION_IMPORTANCE,numeric__days_since_engine_task,0.04698577858371422
DAYS,PERMUTATION_IMPORTANCE,categorical__current_service_type_code_REPAIR,0.03453756849809686
DAYS,PERMUTATION_IMPORTANCE,numeric__current_parts_total,0.03316298437185594
DAYS,PERMUTATION_IMPORTANCE,numeric__avg_km_per_active_day,0.03161394791116123
DAYS,PERMUTATION_IMPORTANCE,numeric__ownership_months,0.0314133010442994
DAYS,PERMUTATION_IMPORTANCE,numeric__maintenance_overdue_days_pre_service,0.03103473406000745
DAYS,PERMUTATION_IMPORTANCE,numeric__days_since_brakes_task,0.03001535737621097
DAYS,PERMUTATION_IMPORTANCE,numeric__days_since_final_drive_task,0.028592322406471027
DAYS,RIDGE_LINEAR_SANITY,numeric_structural__engine_displacement_cc,-9.104145050048828
DAYS,RIDGE_LINEAR_SANITY,numeric_structural__engine_oil_service_qty_l,3.0098273754119873
DAYS,RIDGE_LINEAR_SANITY,numeric_structural__spark_plug_count,1.1580920219421387
DAYS,RIDGE_LINEAR_SANITY,numeric_structural__missingindicator_engine_displacement_cc,-9.846257209777832
DAYS,RIDGE_LINEAR_SANITY,numeric_structural__missingindicator_engine_oil_service_qty_l,6.51423978805542
DAYS,RIDGE_LINEAR_SANITY,numeric_structural__missingindicator_spark_plug_count,-8.018904685974121
KM,PERMUTATION_IMPORTANCE,numeric_structural__engine_displacement_cc,101.68035755227777
KM,PERMUTATION_IMPORTANCE,numeric__current_inspection_finding_task_count,67.03364193458367
KM,PERMUTATION_IMPORTANCE,numeric__annual_km_baseline,55.687391414107196
KM,PERMUTATION_IMPORTANCE,boolean__policy_ready,43.316455575679925
KM,PERMUTATION_IMPORTANCE,categorical__customer_type_INDIVIDUAL,35.65322225893999
KM,PERMUTATION_IMPORTANCE,categorical__policy_group_ICE_125_LIQUID_BELT,27.35244338199152
KM,PERMUTATION_IMPORTANCE,numeric__highway_ratio,18.88946574470458
KM,PERMUTATION_IMPORTANCE,numeric__km_since_previous_service,14.414228289538414
KM,PERMUTATION_IMPORTANCE,numeric__snapshot_day_of_year,13.228832734061143
KM,PERMUTATION_IMPORTANCE,categorical__brand_Honda,9.158174452714661
KM,PERMUTATION_IMPORTANCE,boolean__is_fleet_customer,8.983952686142402
KM,PERMUTATION_IMPORTANCE,numeric__offroad_ratio,8.42845482333405
KM,PERMUTATION_IMPORTANCE,numeric__city_ratio,7.08912599663438
KM,PERMUTATION_IMPORTANCE,numeric__ownership_months,5.971234395311171
KM,PERMUTATION_IMPORTANCE,numeric__initial_mileage_km,3.1869787304500505
KM,PERMUTATION_IMPORTANCE,numeric__avg_km_per_active_day,3.075338762240335
KM,PERMUTATION_IMPORTANCE,numeric__days_since_brakes_task,3.0010167692864798
KM,PERMUTATION_IMPORTANCE,numeric__total_inspection_finding_task_count,2.4061173163700005
KM,PERMUTATION_IMPORTANCE,numeric__rolling3_interval_days,2.1829952686751994
KM,PERMUTATION_IMPORTANCE,numeric__days_observed,2.11069163041725
KM,RIDGE_LINEAR_SANITY,numeric_structural__engine_displacement_cc,-145.18292236328125
KM,RIDGE_LINEAR_SANITY,numeric_structural__engine_oil_service_qty_l,-38.00688552856445
KM,RIDGE_LINEAR_SANITY,numeric_structural__spark_plug_count,31.445722579956055
KM,RIDGE_LINEAR_SANITY,numeric_structural__missingindicator_engine_displacement_cc,-6.800123691558838
KM,RIDGE_LINEAR_SANITY,numeric_structural__missingindicator_engine_oil_service_qty_l,1.1351081132888794
KM,RIDGE_LINEAR_SANITY,numeric_structural__missingindicator_spark_plug_count,-239.96482849121094
