model,horizon,brier,auc,km_reference_risk
KM_REFERENCE,30,0.015840585851721795,0.5,0.0485
KM_REFERENCE,60,0.09372504409712543,0.5,0.2465
KM_REFERENCE,90,0.13813089514763013,0.5,0.3936
KM_REFERENCE,120,0.15725404929185283,0.5,0.5059
KM_REFERENCE,180,0.12483077165344858,0.5,0.6602
COX,30,0.011778198567854201,0.9642046654918697,0.0485
COX,60,0.049413481840614365,0.9368673184733602,0.2465
COX,90,0.059922925006333345,0.9359989217759002,0.3936
COX,120,0.06948483077490403,0.9235158691764525,0.5059
COX,180,0.06870241012365584,0.8773239480202296,0.6602
RSF,30,,0.9763620849165471,0.0485
RSF,60,,0.9495678277705193,0.2465
RSF,90,,0.9416154890984502,0.3936
RSF,120,,0.9212357180333057,0.5059
RSF,180,,0.8745628707978724,0.6602
