check,value,expected,status,notes
required_columns_present,True,True,PASS,
split_unchanged,"{'TRAIN': 32203, 'VALIDATION': 4845, 'TEST': 4470}","{'TRAIN': 32203, 'VALIDATION': 4845, 'TEST': 4470}",PASS,
survival_rows,41518,41518,PASS,
duration_positive,0,0,PASS,
event_binary,"[0, 1]","[0, 1]",PASS,
no_missing_target,0,0,PASS,
input_hash,dfc4ee1b266850dd,stable,PASS,sha256[:16] of modeling table
no_target_leakage_in_features,0,0,PASS,146 features (121 num / 25 cat)
train_only_preprocessing,fit on TRAIN only,yes,PASS,
cox_convergence,CoxPH(alpha=1.0 ridge),finite coefs |coef|<=50,PASS,
prob_monotonic_KM_REFERENCE_val,0,0,PASS,
prob_bounds_KM_REFERENCE_val,0,0,PASS,
prob_monotonic_COX_val,0,0,PASS,
prob_bounds_COX_val,0,0,PASS,
prob_monotonic_RSF_val,0,0,PASS,
prob_bounds_RSF_val,0,0,PASS,
prob_monotonic_KM_REFERENCE_test,0,0,PASS,
prob_bounds_KM_REFERENCE_test,0,0,PASS,
prob_monotonic_COX_test,0,0,PASS,
prob_bounds_COX_test,0,0,PASS,
prob_monotonic_RSF_test,0,0,PASS,
prob_bounds_RSF_test,0,0,PASS,
reproducibility,RSF max|Δrisk|=0.00e+00; Cox+GBS deterministic,~0,PASS,
cox_deterministic,True,True,PASS,
grouped_evaluation_implemented,motorcycle_id bootstrap + first/last episode,yes,PASS,
no_test_selection,champion frozen on VALIDATION,yes,PASS,
dataset_version,1.3.0,1.3.0,PASS,
