horizon_days,split,rows_at_risk,events_before_horizon,censored_before_horizon,support_status
30,TRAIN,29902,1532,769,GOOD
30,VALIDATION,3964,178,703,MODERATE
30,TEST,3310,63,1097,MODERATE
60,TRAIN,23026,7673,1504,GOOD
60,VALIDATION,2642,804,1399,GOOD
60,TEST,2669,394,1407,GOOD
90,TRAIN,17944,12101,2158,GOOD
90,VALIDATION,1730,1143,1972,GOOD
90,TEST,2090,653,1727,GOOD
120,TRAIN,14095,15369,2739,GOOD
120,VALIDATION,1051,1322,2472,GOOD
120,TEST,1618,830,2022,GOOD
180,TRAIN,8870,19606,3727,GOOD
180,VALIDATION,61,1429,3355,MODERATE
180,TEST,764,1069,2637,GOOD
365,TRAIN,2400,24440,5363,GOOD
365,VALIDATION,0,1429,3416,LOW
365,TEST,0,1282,3188,LOW
