brand,motorcycle_count,service_count,repair_count,breakdown_count,repair_breakdown_count,is_breakdown_count,warranty_service_count,repair_rate,breakdown_rate,raw_failure_service_rate,is_breakdown_rate,warranty_service_rate,motorcycles_with_failure,repeat_failure_motorcycles,failure_events,motorcycles_with_failure_pct,failure_events_per_100_motorcycles,repeat_failure_motorcycle_rate,conditional_repeat_rate,total_observation_years,avg_motorcycle_age_years,avg_ending_odometer_km,total_observed_km,failure_events_per_10000_km
CFMOTO,443,954,57,54,111,54,34,0.059748427672955975,0.05660377358490566,0.11635220125786164,0.05660377358490566,0.03563941299790356,93,17,111,0.20993227990970656,25.056433408577877,0.03837471783295711,0.1827956989247312,1263.1403148528404,4.650112866817156,36514.250564334085,8023218,0.13834847812934908
KYMCO,156,334,17,13,30,13,10,0.05089820359281437,0.038922155688622756,0.08982035928143713,0.038922155688622756,0.029940119760479042,26,4,30,0.16666666666666666,19.23076923076923,0.02564102564102564,0.15384615384615385,430.1683778234086,4.634615384615385,44104.89102564102,3473275,0.08637381146036521
SYM,272,691,27,29,56,29,23,0.03907380607814761,0.041968162083936326,0.08104196816208394,0.041968162083936326,0.03328509406657019,48,8,56,0.17647058823529413,20.58823529411765,0.029411764705882353,0.16666666666666666,747.2060232717317,4.981617647058823,55466.680147058825,6894649,0.08122240885649146
TVS,1148,3228,140,103,243,103,114,0.04337050805452292,0.03190830235439901,0.07527881040892194,0.03190830235439901,0.03531598513011153,217,25,243,0.18902439024390244,21.16724738675958,0.02177700348432056,0.1152073732718894,3195.3429158110885,4.926829268292683,54505.24216027874,32247753,0.0753540874615357
Bajaj,527,1241,41,41,82,41,38,0.033037872683319904,0.033037872683319904,0.06607574536663981,0.033037872683319904,0.030620467365028204,72,10,82,0.1366223908918406,15.559772296015181,0.018975332068311195,0.1388888888888889,1460.6050650239563,4.707779886148008,41029.998102466794,10010474,0.08191420306371107
Honda,3772,12152,421,333,754,333,447,0.034644502962475315,0.027402896642527978,0.062047399605003294,0.027402896642527978,0.036784068466096116,663,78,754,0.17576882290562035,19.989395546129373,0.020678685047720042,0.11764705882352941,10461.407255304586,4.922322375397667,60588.57104984093,127235899,0.05926000491417913
Yamaha,759,3697,110,103,213,103,124,0.02975385447660265,0.027860427373546118,0.05761428185014877,0.027860427373546118,0.03354070868271571,179,33,213,0.23583662714097497,28.063241106719367,0.043478260869565216,0.18435754189944134,2071.6933607118413,4.9314888010540185,76400.05006587616,37648992,0.056575219862460065
KTM,56,123,5,2,7,2,3,0.04065040650406504,0.016260162601626018,0.056910569105691054,0.016260162601626018,0.024390243902439025,5,2,7,0.08928571428571429,12.5,0.03571428571428571,0.4,154.7460643394935,4.517857142857143,44434.267857142855,1253445,0.05584608818097324
Royal Enfield,41,64,2,1,3,1,1,0.03125,0.015625,0.046875,0.015625,0.015625,3,0,3,0.07317073170731707,7.317073170731708,0.0,0.0,103.09103353867215,4.634146341463414,27795.0,569081,0.05271657286045396
RKS,386,2011,52,42,94,42,85,0.025857782197911485,0.0208851317752362,0.046742913973147684,0.0208851317752362,0.04226752859273993,78,15,94,0.20207253886010362,24.352331606217618,0.038860103626943004,0.19230769230769232,1036.3668720054757,4.937823834196891,72334.3860103627,17865143,0.052616427419584604
Mondial,1560,10091,175,162,337,162,354,0.017342186106431474,0.016053909424239423,0.0333960955306709,0.016053909424239423,0.03508076503815281,280,49,337,0.1794871794871795,21.602564102564102,0.03141025641025641,0.175,4232.125941136208,4.925,67241.1173076923,62139352,0.054232944044862265
Kuba,880,6932,112,110,222,110,231,0.016156953260242354,0.015868436237738027,0.03202538949798038,0.015868436237738027,0.033323716099249855,187,30,222,0.2125,25.227272727272727,0.03409090909090909,0.16042780748663102,2395.8001368925393,4.8784090909090905,75470.23636363636,42805087,0.051862994694999685
