brand,model_id,model_name,motorcycle_count,service_count,failure_count,expected_failures,failure_rate,observed_expected_ratio
Honda,HONDA_EM1E,EM1 e:,28,56,5,1.5591199860461689,0.08928571428571429,2.461743580274304
KTM,KTM_390_DUKE,390 Duke,42,123,10,4.906845012680462,0.08130081300813008,1.893272527617815
KYMCO,KYMCO_DOWNTOWN250I,Downtown 250i,55,136,11,6.535058769865912,0.08088235294117647,1.6091412476842075
Honda,HONDA_ADV350,ADV350,86,222,17,9.131097496738146,0.07657657657657657,1.792761962978966
CFMOTO,CFMOTO_650NK,650NK,23,68,5,2.7107354907592915,0.07352941176470588,1.6530360404171478
CFMOTO,CFMOTO_250DUAL,250 DUAL,47,136,9,7.143004545549821,0.0661764705882353,1.2339421470737963
Honda,HONDA_DIO110,Dio 110,404,3131,197,198.77739821542647,0.06291919514532099,0.991093960426716
Yamaha,YAMAHA_NMAX125,NMAX 125,416,3014,181,182.1842436888852,0.06005308560053085,0.9935279831384981
Kuba,KUBA_BLUEBERRY50,Blueberry 50,346,4525,271,284.39941028545286,0.05988950276243094,0.9530165476296908
Mondial,MONDIAL_50_UAG,50 UAG,365,2769,161,163.45735394806033,0.058143734200072225,0.9850391404265901
Mondial,MONDIAL_TURISMO50I,Turismo 50i,60,277,16,12.762564681559391,0.05776173285198556,1.2387946923241562
Mondial,MONDIAL_SFC_MINI_50EC,SFC MINI 50ec,293,3234,186,198.6113790868544,0.0575139146567718,0.9367553359209102
RKS,RKS_NEW_LIGHT_PRO,New Light Pro,341,2011,115,108.02692473153701,0.05718547986076579,1.0640779493292982
Mondial,MONDIAL_WING50I,Wing 50i,585,3512,191,180.1995464430526,0.05438496583143508,1.0596728661556767
Honda,HONDA_MONKEY,Monkey,16,37,2,1.1059400146334515,0.05405405405405406,1.470365782373345
Honda,HONDA_ACTIVA125,Activa 125,884,3333,180,178.79907282324015,0.054005400540054004,1.0066869037196056
Honda,HONDA_FORZA250,Forza 250,182,619,32,28.68877570621706,0.051696284329563816,1.1123072820796778
Honda,HONDA_PCX125,PCX125,1046,3368,167,166.76002614408327,0.049584323040380046,1.001432210637651
Bajaj,BAJAJ_DOMINAR250,Dominar D250,57,126,6,4.698235526668847,0.047619047619047616,1.2369829835626625
Yamaha,YAMAHA_XMAX250,XMAX 250,180,532,25,23.11564579554346,0.046992481203007516,1.0788087091911736
Yamaha,YAMAHA_XSR125,XSR125,60,151,7,5.683708581791444,0.046357615894039736,1.20317702637051
TVS,TVS_APACHE_RTR200_4V,Apache RTR 200 4V FI,68,178,8,6.228330865825092,0.0449438202247191,1.2522607214650523
SYM,SYM_JETX125,Jet X 125 TCS ABS,214,691,31,36.10456789472309,0.04486251808972504,0.8616625918191322
Honda,HONDA_SH125I,SH125i,143,403,18,19.85947864821893,0.04466501240694789,0.9099714184584777
TVS,TVS_RAIDER125,Raider 125,174,410,18,15.389823525910849,0.04390243902439024,1.1612747227695024
TVS,TVS_JUPITER125,Jupiter 125,728,2640,115,127.4299933863322,0.043560606060606064,0.9030609481153726
CFMOTO,CFMOTO_450CLC,450 CL-C,12,23,1,0.6529327182469123,0.043478260869565216,1.2397256436266408
Honda,HONDA_CB125F,CB125F,257,819,35,37.590378377203706,0.042735042735042736,0.9325162456186381
Honda,HONDA_CL250,CL250,54,164,7,7.1281610421909205,0.042682926829268296,0.9838241713436521
Bajaj,BAJAJ_NS125,Pulsar NS125,154,452,18,20.862966145646396,0.03982300884955752,0.8678090172894725
CFMOTO,CFMOTO_250NK,250NK,126,357,14,13.3421328322761,0.0392156862745098,1.0465352351486106
Kuba,KUBA_CG50_PRO,CG50 Pro,459,2407,93,107.06053503977247,0.03863730785209805,0.8696352818824551
Mondial,MONDIAL_EXON50,Exon 50,80,299,11,13.042202567422379,0.03678929765886288,0.8524104300788782
Royal Enfield,ROYALENFIELD_HUNTER350,Hunter 350,33,64,2,2.05820659504533,0.03125,0.9795984134056074
KYMCO,KYMCO_XTOWN_CT250,X-Town CT 250,69,198,6,6.896492598987424,0.030303030303030304,0.8834411258871926
Bajaj,BAJAJ_NS200,Pulsar NS200 UG2,209,663,20,24.86087662069887,0.030165912518853696,0.8105343360620726
CFMOTO,CFMOTO_450NK,450NK,50,143,4,5.175871868802196,0.027972027972027972,0.8030598884401178
CFMOTO,CFMOTO_250CLX,250CL-X,33,72,2,2.3950057802067932,0.027777777777777776,0.8761675937083717
CFMOTO,CFMOTO_250SR,250SR,63,155,3,6.297917946335425,0.01935483870967742,0.5350299780558234
