usage_profile_id,motorcycle_id,customer_id,workshop_id,usage_type,annual_km_baseline,annual_km_basis,city_ratio,highway_ratio,offroad_ratio,track_ratio,avg_ride_days_per_week,daily_active_probability,avg_km_per_active_day,weekday_multiplier,weekend_multiplier,riding_intensity,seasonality_strength,winter_usage_factor,weather_sensitivity,storage_condition,load_severity_factor,climate_zone,profile_start_date,profile_end_date,data_origin,generator_version,random_seed,profile_rule_version,notes
UP000001,MC000001,C000001,WS0003,COMMUTER,18507,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.949,0.0462,0.0048,0.0,5.7,0.77,71.4,1.151,0.851,HIGH,0.145,0.811,0.264,COVERED_PARKING,1.032,MEDITERRANEAN_COASTAL,2024-06-21,,SYNTHETIC,1.2.0,42,1.2.0,
UP000002,MC000002,C000002,WS0008,TOURING,13014,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.739,0.2507,0.0103,0.0,5.47,0.74,50.0,1.342,0.592,MEDIUM,0.144,0.784,0.412,COVERED_PARKING,1.014,SEMI_ARID_HOT,2023-07-12,,SYNTHETIC,1.2.0,42,1.2.0,
UP000003,MC000003,C000003,WS0008,WEEKEND,9259,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7732,0.2167,0.0101,0.0,3.96,0.536,47.5,1.197,0.591,MEDIUM,0.139,0.756,0.327,STREET,0.929,SEMI_ARID_HOT,2023-06-30,,SYNTHETIC,1.2.0,42,1.2.0,
UP000004,MC000004,C000004,WS0009,COMMUTER,4010,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4634,0.4948,0.0202,0.0216,1.94,0.238,51.8,0.276,2.139,LOW,0.399,0.494,0.601,STREET,0.934,HUMID_RAINY,2025-09-25,,SYNTHETIC,1.2.0,42,1.2.0,
UP000005,MC000005,C000005,WS0007,COMMUTER,7340,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.5275,0.442,0.0209,0.0096,2.77,0.323,62.7,0.651,1.441,LOW,0.515,0.486,0.78,GARAGE,0.924,MEDITERRANEAN_HOT,2022-01-30,,SYNTHETIC,1.2.0,42,1.2.0,
UP000006,MC000006,C000005,WS0007,COMMUTER,10228,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7682,0.223,0.0088,0.0,5.42,0.723,39.0,1.215,0.539,MEDIUM,0.179,0.908,0.434,STREET,0.925,MEDITERRANEAN_HOT,2022-03-07,,SYNTHETIC,1.2.0,42,1.2.0,
UP000007,MC000007,C000005,WS0007,SEASONAL,12097,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7509,0.2378,0.0113,0.0,5.26,0.706,47.7,1.231,0.551,MEDIUM,0.162,0.851,0.342,COVERED_PARKING,0.994,MEDITERRANEAN_HOT,2022-05-07,,SYNTHETIC,1.2.0,42,1.2.0,
UP000008,MC000008,C000005,WS0007,SEASONAL,23143,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9418,0.0542,0.004,0.0,6.71,0.909,72.5,1.031,0.964,HIGH,0.137,0.866,0.193,GARAGE,1.011,MEDITERRANEAN_HOT,2022-01-27,,SYNTHETIC,1.2.0,42,1.2.0,
UP000009,MC000009,C000005,WS0007,SEASONAL,15420,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7631,0.2278,0.0091,0.0,5.31,0.705,62.9,1.236,0.583,HIGH,0.192,0.871,0.388,COVERED_PARKING,0.964,MEDITERRANEAN_HOT,2022-04-18,,SYNTHETIC,1.2.0,42,1.2.0,
UP000010,MC000010,C000006,WS0008,COMMUTER,2738,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.5259,0.4426,0.0202,0.0113,2.33,0.268,31.7,0.669,1.57,LOW,0.55,0.426,0.802,STREET,0.946,SEMI_ARID_HOT,2024-07-01,,SYNTHETIC,1.2.0,42,1.2.0,
UP000011,MC000011,C000007,WS0002,COMMUTER,11218,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4804,0.4866,0.0219,0.0111,1.97,0.228,135.5,0.644,1.452,MEDIUM,0.531,0.314,0.706,STREET,1.056,CONTINENTAL_DRY,2024-09-09,,SYNTHETIC,1.2.0,42,1.2.0,
UP000012,MC000012,C000007,WS0002,COMMUTER,7408,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7595,0.231,0.0095,0.0,4.35,0.574,38.6,1.169,0.536,LOW,0.21,0.541,0.351,COVERED_PARKING,1.023,CONTINENTAL_DRY,2024-09-30,,SYNTHETIC,1.2.0,42,1.2.0,
UP000013,MC000013,C000008,WS0002,COMMUTER,6608,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7597,0.2302,0.0101,0.0,5.58,0.748,27.1,1.268,0.522,LOW,0.167,0.583,0.305,GARAGE,0.989,CONTINENTAL_DRY,2025-11-01,,SYNTHETIC,1.2.0,42,1.2.0,
UP000014,MC000014,C000009,WS0009,COMMUTER,14731,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7586,0.2326,0.0088,0.0,4.34,0.579,69.5,1.315,0.573,HIGH,0.18,0.652,0.313,COVERED_PARKING,0.985,HUMID_RAINY,2022-05-21,,SYNTHETIC,1.2.0,42,1.2.0,
UP000015,MC000015,C000009,WS0009,SEASONAL,6846,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4763,0.4772,0.0239,0.0226,2.21,0.275,67.8,0.324,2.216,LOW,0.363,0.481,0.683,GARAGE,1.0,HUMID_RAINY,2022-05-05,,SYNTHETIC,1.2.0,42,1.2.0,
UP000016,MC000016,C000010,WS0005,COMMUTER,4525,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4886,0.4812,0.0208,0.0094,2.53,0.289,47.3,0.571,1.487,LOW,0.561,0.506,0.741,GARAGE,0.963,MEDITERRANEAN_HOT,2025-05-30,,SYNTHETIC,1.2.0,42,1.2.0,
UP000017,MC000017,C000010,WS0005,COMMUTER,6865,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4954,0.4713,0.0224,0.0109,2.66,0.306,70.6,0.576,1.597,LOW,0.545,0.494,0.784,STREET,0.982,MEDITERRANEAN_HOT,2025-06-06,,SYNTHETIC,1.2.0,42,1.2.0,
UP000018,MC000018,C000011,WS0010,COMMUTER,11710,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.7859,0.2036,0.0105,0.0,5.16,0.672,48.1,1.184,0.566,MEDIUM,0.243,0.467,0.423,GARAGE,1.01,CONTINENTAL_COOL,2023-03-03,,SYNTHETIC,1.2.0,42,1.2.0,
UP000019,MC000019,C000012,WS0005,WEEKEND,7462,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.4388,0.5311,0.0203,0.0098,1.75,0.207,91.2,0.627,1.623,LOW,0.482,0.452,0.691,COVERED_PARKING,1.005,MEDITERRANEAN_HOT,2024-05-29,,SYNTHETIC,1.2.0,42,1.2.0,
UP000020,MC000020,C000013,WS0002,WEEKEND,28990,OBSERVED_MONTHLY_EXPOSURE_ANNUALIZED_V1_2,0.9328,0.0623,0.0049,0.0,6.25,0.842,98.9,1.127,0.925,HIGH,0.154,0.535,0.141,STREET,0.961,CONTINENTAL_DRY,2025-06-11,,SYNTHETIC,1.2.0,42,1.2.0,
