target,split,model,metric,value,n
DAYS,TRAIN,HistGradientBoostingRegressor,mae,16.056739652300497,25442
DAYS,TRAIN,HistGradientBoostingRegressor,median_ae,9.835846431601066,25442
DAYS,TRAIN,HistGradientBoostingRegressor,rmse,24.36288776771553,25442
DAYS,TRAIN,HistGradientBoostingRegressor,r2,0.9405171126493095,25442
DAYS,TRAIN,HistGradientBoostingRegressor,within_15,0.6444068862510809,25442
DAYS,TRAIN,HistGradientBoostingRegressor,within_30,0.8454524015407594,25442
DAYS,TRAIN,HistGradientBoostingRegressor,within_60,0.9628173885700809,25442
DAYS,VALIDATION,HistGradientBoostingRegressor,mae,9.757637158071594,1429
DAYS,VALIDATION,HistGradientBoostingRegressor,median_ae,6.4534710758953935,1429
DAYS,VALIDATION,HistGradientBoostingRegressor,rmse,14.645892095540827,1429
DAYS,VALIDATION,HistGradientBoostingRegressor,r2,0.7978734344671143,1429
DAYS,VALIDATION,HistGradientBoostingRegressor,within_15,0.8103568929321203,1429
DAYS,VALIDATION,HistGradientBoostingRegressor,within_30,0.9517144856543037,1429
DAYS,VALIDATION,HistGradientBoostingRegressor,within_60,0.9895031490552834,1429
DAYS,TEST,HistGradientBoostingRegressor,mae,22.776135670625067,1282
DAYS,TEST,HistGradientBoostingRegressor,median_ae,12.574973632064541,1282
DAYS,TEST,HistGradientBoostingRegressor,rmse,36.26488998864324,1282
DAYS,TEST,HistGradientBoostingRegressor,r2,0.6398080714525669,1282
DAYS,TEST,HistGradientBoostingRegressor,within_15,0.5452418096723869,1282
DAYS,TEST,HistGradientBoostingRegressor,within_30,0.7613104524180967,1282
DAYS,TEST,HistGradientBoostingRegressor,within_60,0.9188767550702028,1282
KM,TRAIN,HistGradientBoostingRegressor,mae,594.8193816528889,25442
KM,TRAIN,HistGradientBoostingRegressor,median_ae,455.5225586208337,25442
KM,TRAIN,HistGradientBoostingRegressor,rmse,797.8252027650266,25442
KM,TRAIN,HistGradientBoostingRegressor,r2,0.7981900399814987,25442
KM,TRAIN,HistGradientBoostingRegressor,within_500,0.53800801823756,25442
KM,TRAIN,HistGradientBoostingRegressor,within_1000,0.8232450279066111,25442
KM,TRAIN,HistGradientBoostingRegressor,within_2000,0.9761418127505699,25442
KM,VALIDATION,HistGradientBoostingRegressor,mae,610.5883023562872,1429
KM,VALIDATION,HistGradientBoostingRegressor,median_ae,461.1542457846376,1429
KM,VALIDATION,HistGradientBoostingRegressor,rmse,823.6458407010741,1429
KM,VALIDATION,HistGradientBoostingRegressor,r2,0.6425842668044635,1429
KM,VALIDATION,HistGradientBoostingRegressor,within_500,0.5346396081175647,1429
KM,VALIDATION,HistGradientBoostingRegressor,within_1000,0.8159552134359692,1429
KM,VALIDATION,HistGradientBoostingRegressor,within_2000,0.9734079776067179,1429
KM,TEST,HistGradientBoostingRegressor,mae,969.4052326243323,1282
KM,TEST,HistGradientBoostingRegressor,median_ae,713.1989537676909,1282
KM,TEST,HistGradientBoostingRegressor,rmse,1323.36546937444,1282
KM,TEST,HistGradientBoostingRegressor,r2,0.41338919156038734,1282
KM,TEST,HistGradientBoostingRegressor,within_500,0.36895475819032764,1282
KM,TEST,HistGradientBoostingRegressor,within_1000,0.6287051482059283,1282
KM,TEST,HistGradientBoostingRegressor,within_2000,0.8845553822152886,1282
