service_id,workshop_id,customer_id,motorcycle_id,appointment_id,service_type_code,primary_trigger_task,trigger_due_km,trigger_due_date,service_delay_days,arrival_mode,received_at,odometer_km,mileage_source,mileage_quality_flag,is_mileage_estimated,status,estimated_delivery_at,completed_at,delivered_at,customer_complaint,technician_notes,labor_minutes_pre_task,labor_total,parts_total,discount_total,tax_total,grand_total,is_breakdown,is_warranty,capture_origin,data_origin,generator_version,random_seed,scenario_id,maintenance_overdue_days_pre_service,maintenance_overdue_km_pre_service,overdue_maintenance_days_at_failure,overdue_maintenance_km_at_failure,previous_failure_count,failure_hazard_score,primary_fault_component,failure_severity
SVC000001,WS0003,C000001,MC000001,,PERIODIC,GENERAL_SAFETY_INSPECTION,,,0.0,WALK_IN,2024-07-03 16:15:00,84592,MANUAL,VALID,0,DELIVERED,2024-07-03 16:15:00,2024-07-03 16:56:00,2024-07-04 16:08:00,Mekanik sorun şüphesiyle genel kontrol istendi.,,150,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0641473,,
SVC000002,WS0003,C000001,MC000001,,PERIODIC,ENGINE_OIL_CHANGE,90592.0,2025-07-03 22:15:00.000000000,0.0,WALK_IN,2025-04-12 15:59:19,94960,MANUAL,VALID,0,DELIVERED,2025-04-12 15:59:19,2025-04-12 23:44:19,2025-04-12 23:44:19,Genel bakım ve kontroller talep edildi.,,56,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0782282,,
SVC000003,WS0003,C000001,MC000001,APT000001,PERIODIC,ENGINE_OIL_CHANGE,100960.0,2026-04-12 21:59:19.209731100,0.0,APPOINTMENT,2025-12-29 05:02:39,104069,ESTIMATED,ESTIMATED,1,DELIVERED,2025-12-29 05:02:39,2025-12-29 05:02:39,2025-12-30 03:19:39,Periyodik bakım zamanı geldi.,,66,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,4368.0,,,0,0.0776454,,
SVC000004,WS0003,C000001,MC000001,APT000002,REPAIR,FAULT_EVENT,122170.2,2027-03-25 00:00:00.000000000,,APPOINTMENT,2026-06-03 18:22:20,108861,MANUAL,VALID,0,DELIVERED,2026-06-05 18:22:20,2026-06-05 15:13:20,2026-06-05 18:03:20,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,135,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,3109.0,0.0,3109.0,0,0.0950354,TRANSMISSION,LOW
SVC000005,WS0008,C000002,MC000002,APT000003,PERIODIC,GENERAL_SAFETY_INSPECTION,,,0.0,APPOINTMENT,2023-09-19 12:40:00,29344,MANUAL,VALID,0,DELIVERED,2023-09-19 12:40:00,2023-09-19 13:22:00,2023-09-19 16:01:00,Kullanıcı arıza kontrolü talep etti.,,296,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0348752,,
SVC000006,WS0008,C000002,MC000002,,PERIODIC,ENGINE_OIL_CHANGE,35344.0,2024-09-18 18:40:00.000000000,0.0,WALK_IN,2024-07-10 13:58:00,35865,MANUAL,VALID,0,DELIVERED,2024-07-10 13:58:00,2024-07-10 13:58:00,2024-07-10 13:58:00,Genel bakım ve kontroller talep edildi.,,43,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0320215,,
SVC000007,WS0008,C000002,MC000002,,PERIODIC,ENGINE_OIL_CHANGE,41865.0,2025-07-10 19:58:00.344314620,0.0,WALK_IN,2025-05-05 20:22:15,43496,MANUAL,VALID,0,DELIVERED,2025-05-05 20:22:15,2025-05-05 20:22:15,2025-05-05 20:22:15,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,156,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,521.0,,,0,0.0430674,,
SVC000008,WS0008,C000002,MC000002,APT000004,PERIODIC,ENGINE_OIL_CHANGE,49496.0,2026-05-06 02:22:15.355387532,0.0,APPOINTMENT,2025-12-06 00:58:22,49231,MANUAL,VALID,0,DELIVERED,2025-12-06 00:58:22,2025-12-06 01:48:22,2025-12-06 01:48:22,Periyodik bakım zamanı geldi.,,50,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,1631.0,,,0,0.046918,,
SVC000009,WS0008,C000003,MC000003,APT000005,PERIODIC,ENGINE_OIL_CHANGE,,,0.0,APPOINTMENT,2023-12-20 16:49:00,35393,MANUAL,VALID,0,DELIVERED,2023-12-20 16:49:00,2023-12-20 16:49:00,2023-12-20 16:49:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,130,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.0308493,,
SVC000010,WS0008,C000003,MC000003,APT000006,PERIODIC,ENGINE_OIL_CHANGE,38393.0,2024-12-19 22:49:00.000000000,0.0,APPOINTMENT,2024-07-01 05:40:33,37726,MANUAL,VALID,0,DELIVERED,2024-07-01 05:40:33,2024-07-01 08:35:33,2024-07-01 08:35:33,Kilometre bakımı için servise getirildi.,,79,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.3.0,42,REGRESSION_CALIBRATION_V1_3,0.0,0.0,,,0,0.043917,,
