motorcycle_id,event_at,outcome,event_type,behavior_group,usage_type,policy_group,days_due_ratio,km_due_ratio,max_due_ratio,hazard
MC000002,2026-07-18 11:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,TOURING,ICE_125_LIQUID_BELT,0.6131676046340659,0.9840215053763447,0.9840215053763447,0.05860252860950983
MC000006,2026-05-03 08:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_125_AIR_BELT,0.7833815626029863,1.0158709677419355,1.0158709677419355,0.027870455895956398
MC000008,2025-10-03 14:00:00,SERVICE,REPAIR,SLIGHTLY_LATE,SEASONAL,ICE_50_AIR_BELT,0.13176844880472532,1.044693548387096,1.044693548387096,0.002332333812457221
MC000008,2026-03-20 13:00:00,SERVICE,BREAKDOWN,SLIGHTLY_LATE,SEASONAL,ICE_50_AIR_BELT,0.45836185261236595,2.431838709677419,2.431838709677419,0.004949363629441497
MC000008,2026-07-03 13:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,SEASONAL,ICE_50_AIR_BELT,0.28599133013917405,2.4036075268817174,2.4036075268817174,0.05976053599349641
MC000010,2026-04-20 10:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_450_TWIN_LIQUID_CHAIN,0.8805498516997491,0.18660999999999986,0.8805498516997491,0.020196965779022562
MC000014,2025-03-20 14:00:00,SERVICE,BREAKDOWN,IRREGULAR,COMMUTER,ICE_125_AIR_BELT,0.15113959870205593,0.19411290322580607,0.19411290322580607,0.0035836849786547026
MC000014,2026-01-22 11:00:00,SERVICE,PERIODIC,IRREGULAR,COMMUTER,ICE_125_AIR_BELT,0.8416609628108602,1.6413548387096788,1.6413548387096788,0.049724515830403514
MC000014,2026-07-09 16:00:00,SERVICE,PERIODIC,IRREGULAR,COMMUTER,ICE_125_AIR_BELT,0.45870408396075746,0.951693548387097,0.951693548387097,0.025964400409826602
MC000015,2025-12-11 12:00:00,SERVICE,PERIODIC,IRREGULAR,SEASONAL,ICE_125_AIR_CHAIN,0.9766031954267752,0.46203548387096816,0.9766031954267752,0.020623706971075323
MC000016,2026-03-13 15:00:00,SERVICE,BREAKDOWN,SLIGHTLY_LATE,COMMUTER,ICE_250_LIQUID_BELT,0.785763175906913,0.22762258064516136,0.785763175906913,0.0007619454475622973
MC000022,2025-03-10 11:00:00,SERVICE,REPAIR,SLIGHTLY_LATE,TOURING,ICE_50_AIR_BELT,0.13392244657388394,0.4724462365591389,0.4724462365591389,0.0021129563312799454
MC000022,2025-06-30 09:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,TOURING,ICE_50_AIR_BELT,0.3053844398813598,1.3124315412186383,1.3124315412186383,0.07046236156747163
MC000022,2025-12-01 13:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,TOURING,ICE_50_AIR_BELT,0.4206023271731691,2.2423964157706116,2.2423964157706116,0.07080124556287419
MC000022,2026-07-27 15:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,TOURING,ICE_50_AIR_BELT,0.6501254848277436,2.4874569892473084,2.4874569892473084,0.09773871747392086
MC000024,2025-09-21 11:00:00,SERVICE,BREAKDOWN,SLIGHTLY_LATE,COMMUTER,ICE_50_AIR_CHAIN,0.4202118982432124,1.3281277777777782,1.3281277777777782,0.0030557535315396027
MC000024,2026-03-15 14:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_50_AIR_CHAIN,0.47786903947068216,1.1161894265232974,1.1161894265232974,0.06082326642475029
MC000024,2026-06-14 10:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_50_AIR_CHAIN,0.24754734200319417,1.07674946236559,1.07674946236559,0.06031700407315951
MC000026,2025-08-02 11:00:00,SERVICE,BREAKDOWN,SLIGHTLY_LATE,COMMUTER,ICE_50_AIR_CHAIN,0.6124090234998859,1.7636182795698914,1.7636182795698914,0.0030977908823394797
MC000026,2025-10-04 10:00:00,SERVICE,BREAKDOWN,SLIGHTLY_LATE,COMMUTER,ICE_50_AIR_CHAIN,0.17122975131188684,0.8313817204301085,0.8313817204301085,0.0026860153933725593
MC000026,2026-01-24 13:00:00,SERVICE,TIRE,SLIGHTLY_LATE,COMMUTER,ICE_50_AIR_CHAIN,0.3054985169974903,1.3554677419354848,1.3554677419354848,0.006926718613830321
MC000026,2026-06-06 14:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_50_AIR_CHAIN,0.36265115217887295,1.6236211469534028,1.6236211469534028,0.030565906065259742
MC000027,2025-02-24 09:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_125_LIQUID_BELT,0.43985055897786907,1.1208035714285725,1.1208035714285725,0.05351617731692113
MC000027,2025-10-27 13:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_125_LIQUID_BELT,0.6697467488021903,2.169879224270352,2.169879224270352,0.07988767871672378
MC000027,2025-11-03 00:00:00,NO_SHOW,REPAIR,SLIGHTLY_LATE,COMMUTER,ICE_125_LIQUID_BELT,0.017681953000228155,0.05566442652329715,0.05566442652329715,0.0020992657768651606
MC000027,2026-04-13 11:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_125_LIQUID_BELT,0.4584759297284965,1.4626922043010757,1.4626922043010757,0.08948849109142877
MC000029,2026-08-15 14:00:00,SERVICE,BREAKDOWN,SLIGHTLY_LATE,SEASONAL,ICE_125_LIQUID_BELT,1.0330101148376303,0.208,1.0330101148376303,0.0009906637536876
MC000032,2026-05-17 00:00:00,NO_SHOW,PERIODIC,IRREGULAR,WEEKEND,ICE_50_AIR_CHAIN,0.6123090158947448,1.4308602150537626,1.4308602150537626,0.07602781930972206
MC000032,2026-07-26 00:00:00,NO_SHOW,PERIODIC,IRREGULAR,WEEKEND,ICE_50_AIR_CHAIN,0.803958570993992,2.5412903225806462,2.5412903225806462,0.09434628392167213
MC000032,2026-08-16 14:00:00,SERVICE,PERIODIC,IRREGULAR,WEEKEND,ICE_50_AIR_CHAIN,0.8614534375237661,2.666333333333333,2.666333333333333,0.08547660925728244
MC000035,2024-07-12 16:00:00,SERVICE,TIRE,IRREGULAR,COMMUTER,ICE_125_SCOOTER_BELT,0.9772509316297816,1.2279677419354842,1.2279677419354842,0.003439538505581406
MC000035,2025-09-05 14:00:00,SERVICE,TIRE,IRREGULAR,COMMUTER,ICE_125_SCOOTER_BELT,1.1480720967373945,1.545282258064516,1.545282258064516,0.01613583045972677
MC000036,2025-12-14 10:00:00,SERVICE,TIRE,IRREGULAR,COMMUTER,ICE_125_AIR_CHAIN,0.7835042588790021,2.2962161290322576,2.2962161290322576,0.032228496379557
MC000036,2026-07-05 09:00:00,SERVICE,PERIODIC,IRREGULAR,COMMUTER,ICE_125_AIR_CHAIN,0.5546429386265116,1.5613225806451607,1.5613225806451607,0.031644699308623396
MC000037,2025-10-04 12:00:00,SERVICE,PERIODIC,REGULAR,WEEKEND,ICE_450_TWIN_LIQUID_CHAIN,0.8033614723553123,0.5213322580645159,0.8033614723553123,0.015288820441044433
MC000038,2025-06-12 10:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_125_AIR_BELT,0.9574800365046772,1.1731,1.1731,0.06875819766145105
MC000041,2024-10-25 14:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,WEEKEND,ICE_50_AIR_CHAIN,0.15155116358658452,2.0009086021505356,2.0009086021505356,0.04710057385743309
MC000041,2025-03-14 14:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,WEEKEND,ICE_50_AIR_CHAIN,0.3817020305726671,3.789801075268818,3.789801075268818,0.068066727322511
MC000041,2025-07-11 13:00:00,SERVICE,TIRE,SLIGHTLY_LATE,WEEKEND,ICE_50_AIR_CHAIN,0.324207164042893,5.805290322580646,5.805290322580646,0.03239999999999629
MC000041,2025-09-05 08:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,WEEKEND,ICE_50_AIR_CHAIN,0.15183664156970111,2.106216666666665,2.106216666666665,0.052649566199034874
MC000041,2025-12-12 11:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,WEEKEND,ICE_50_AIR_CHAIN,0.2673967602099019,2.5573155913978503,2.5573155913978503,0.049706507969321134
MC000041,2026-03-13 10:00:00,SERVICE,TIRE,SLIGHTLY_LATE,WEEKEND,ICE_50_AIR_CHAIN,0.24788957335158568,2.183575268817207,2.183575268817207,0.03202509252210872
MC000041,2026-06-12 08:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,WEEKEND,ICE_50_AIR_CHAIN,0.24800365046771616,3.764275806451609,3.764275806451609,0.07288839935693502
MC000041,2026-08-14 11:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,WEEKEND,ICE_50_AIR_CHAIN,0.17157198266027834,1.4682833333333354,1.4682833333333354,0.04594328762856529
MC000042,2024-11-24 12:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_125_SCOOTER_BELT,0.9383023740715389,1.3917199999999996,1.3917199999999996,0.02597692577902566
MC000042,2026-02-01 16:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_125_SCOOTER_BELT,1.1868583162217659,0.9951764285714285,1.1868583162217659,0.02721738501984839
MC000045,2025-04-07 13:00:00,SERVICE,REPAIR,SLIGHTLY_LATE,TRACK,ICE_250_LIQUID_BELT,0.055695458463254494,0.025173333333333357,0.055695458463254494,0.0017897343600273784
MC000045,2026-06-29 00:00:00,NO_SHOW,PERIODIC,SLIGHTLY_LATE,TRACK,ICE_250_LIQUID_BELT,1.2250741501254847,0.3330866666666667,1.2250741501254847,0.025628989369559603
MC000046,2025-08-28 13:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_125_SCOOTER_BELT,0.7269143090729333,1.1457322580645153,1.1457322580645153,0.03980079006992801
MC000046,2026-04-30 08:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_125_SCOOTER_BELT,0.6692904403376683,1.0292977419354836,1.0292977419354836,0.037250145131435375
MC000046,2026-06-11 15:00:00,SERVICE,BREAKDOWN,SLIGHTLY_LATE,COMMUTER,ICE_125_SCOOTER_BELT,0.11407711613050421,0.18887000000000118,0.18887000000000118,0.003645205890459248
MC000049,2025-11-12 15:00:00,SERVICE,BREAKDOWN,SLIGHTLY_LATE,SEASONAL,ICE_125_LIQUID_BELT,0.01778699901133166,0.10851944444444477,0.10851944444444477,0.003878105505855168
MC000049,2026-02-11 12:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,SEASONAL,ICE_125_LIQUID_BELT,0.24743326488706366,0.8716055555555552,0.8716055555555552,0.025019385279914912
MC000049,2026-05-20 11:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,SEASONAL,ICE_125_LIQUID_BELT,0.2669404517453799,0.8654637096774191,0.8654637096774191,0.02970723284285471
MC000054,2024-05-01 14:00:00,SERVICE,BREAKDOWN,SLIGHTLY_LATE,COMMUTER,ICE_125_AIR_BELT,0.6306787588409765,1.1782774193548387,1.1782774193548387,0.0017324436748610448
MC000054,2024-10-16 09:00:00,SERVICE,PERIODIC,SLIGHTLY_LATE,COMMUTER,ICE_125_AIR_BELT,0.45836185261236595,1.4602225806451614,1.4602225806451614,0.04732874849275707
MC000054,2025-10-22 11:00:00,SERVICE,TIRE,SLIGHTLY_LATE,COMMUTER,ICE_125_AIR_BELT,1.014715947980835,2.6028516129032258,2.6028516129032258,0.03237985612650604
