appointment_id,workshop_id,customer_id,motorcycle_id,created_at,scheduled_at,appointment_type,source,status,service_id,customer_request,data_origin,generator_version
APT000001,WS0003,C000001,MC000001,2025-12-25 07:43:39,2025-12-29 04:26:39,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000003,PERIODIC,SYNTHETIC,1.3.0
APT000002,WS0003,C000001,MC000001,2026-05-24 18:47:20,2026-06-03 18:06:20,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000004,PERIODIC,SYNTHETIC,1.3.0
APT000003,WS0008,C000002,MC000002,2023-09-18 11:15:00,2023-09-19 12:20:00,REPAIR,WHATSAPP,CONVERTED_TO_SERVICE,SVC000005,REPAIR,SYNTHETIC,1.3.0
APT000004,WS0008,C000002,MC000002,2025-12-03 01:35:22,2025-12-06 00:53:22,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000008,PERIODIC,SYNTHETIC,1.3.0
APT000005,WS0008,C000003,MC000003,2023-12-17 12:15:00,2023-12-20 16:44:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000009,PERIODIC,SYNTHETIC,1.3.0
APT000006,WS0008,C000003,MC000003,2024-06-20 07:08:33,2024-07-01 04:55:33,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000010,PERIODIC,SYNTHETIC,1.3.0
APT000007,WS0007,C000005,MC000005,2022-12-12 08:14:44,2022-12-21 08:53:44,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000015,PERIODIC,SYNTHETIC,1.3.0
APT000008,WS0007,C000005,MC000005,2023-07-29 04:02:31,2023-08-07 04:37:31,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000016,PERIODIC,SYNTHETIC,1.3.0
APT000009,WS0007,C000005,MC000005,2024-01-20 20:27:58,2024-01-26 20:25:58,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000017,PERIODIC,SYNTHETIC,1.3.0
APT000010,WS0007,C000005,MC000005,2024-12-24 15:10:43,2024-12-27 16:02:43,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000018,PERIODIC,SYNTHETIC,1.3.0
APT000011,WS0007,C000005,MC000005,2026-04-23 05:23:20,2026-04-25 12:45:20,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000020,PERIODIC,SYNTHETIC,1.3.0
APT000012,WS0007,C000005,MC000006,2024-05-29 14:00:00,2024-05-30 14:15:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000021,PERIODIC,SYNTHETIC,1.3.0
APT000013,WS0007,C000005,MC000007,2023-07-16 11:21:42,2023-07-17 07:45:42,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000025,PERIODIC,SYNTHETIC,1.3.0
APT000014,WS0007,C000005,MC000007,2024-10-25 07:51:35,2024-11-04 23:55:35,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000028,PERIODIC,SYNTHETIC,1.3.0
APT000015,WS0007,C000005,MC000007,2025-03-08 09:29:50,2025-03-13 02:45:50,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000029,PERIODIC,SYNTHETIC,1.3.0
APT000016,WS0007,C000005,MC000008,2022-05-05 16:45:00,2022-05-16 14:53:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000031,PERIODIC,SYNTHETIC,1.3.0
APT000017,WS0007,C000005,MC000008,2022-10-26 15:16:46,2022-11-06 14:44:46,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000035,PERIODIC,SYNTHETIC,1.3.0
APT000018,WS0007,C000005,MC000008,2022-12-04 00:51:04,2022-12-13 21:40:04,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000036,PERIODIC,SYNTHETIC,1.3.0
APT000019,WS0007,C000005,MC000008,2023-04-26 17:04:09,2023-05-03 11:05:09,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000039,PERIODIC,SYNTHETIC,1.3.0
APT000020,WS0007,C000005,MC000008,2023-06-05 19:54:42,2023-06-14 17:17:42,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000040,PERIODIC,SYNTHETIC,1.3.0
APT000021,WS0007,C000005,MC000008,2023-08-14 04:50:46,2023-08-18 00:32:46,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000042,PERIODIC,SYNTHETIC,1.3.0
APT000022,WS0007,C000005,MC000008,2023-09-09 06:58:23,2023-09-18 06:58:23,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000043,PERIODIC,SYNTHETIC,1.3.0
APT000023,WS0007,C000005,MC000008,2023-10-15 05:30:28,2023-10-18 05:14:28,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000044,PERIODIC,SYNTHETIC,1.3.0
APT000024,WS0007,C000005,MC000008,2023-11-10 05:54:37,2023-11-16 06:19:37,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000045,PERIODIC,SYNTHETIC,1.3.0
APT000025,WS0007,C000005,MC000008,2024-01-19 02:26:33,2024-01-26 05:26:33,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000047,PERIODIC,SYNTHETIC,1.3.0
APT000026,WS0007,C000005,MC000008,2024-07-13 00:06:11,2024-07-16 19:39:11,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000051,PERIODIC,SYNTHETIC,1.3.0
APT000027,WS0007,C000005,MC000008,2024-08-26 10:51:29,2024-08-31 12:44:29,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000052,PERIODIC,SYNTHETIC,1.3.0
APT000028,WS0007,C000005,MC000008,2024-09-25 09:04:51,2024-10-03 10:10:51,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000053,PERIODIC,SYNTHETIC,1.3.0
APT000029,WS0007,C000005,MC000008,2024-11-14 03:15:47,2024-11-20 00:29:47,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000054,PERIODIC,SYNTHETIC,1.3.0
APT000030,WS0007,C000005,MC000008,2025-01-02 17:49:30,2025-01-06 23:21:30,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000055,PERIODIC,SYNTHETIC,1.3.0
APT000031,WS0007,C000005,MC000008,2025-02-09 14:36:06,2025-02-23 11:08:06,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000056,PERIODIC,SYNTHETIC,1.3.0
APT000032,WS0007,C000005,MC000008,2025-07-05 03:38:29,2025-07-08 08:46:29,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000059,PERIODIC,SYNTHETIC,1.3.0
APT000033,WS0007,C000005,MC000008,2025-08-10 22:15:04,2025-08-15 20:48:04,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000060,PERIODIC,SYNTHETIC,1.3.0
APT000034,WS0007,C000005,MC000009,2023-09-16 08:25:28,2023-09-23 05:09:28,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000064,PERIODIC,SYNTHETIC,1.3.0
APT000035,WS0007,C000005,MC000009,2024-02-20 18:49:11,2024-02-24 16:44:11,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000065,PERIODIC,SYNTHETIC,1.3.0
APT000036,WS0007,C000005,MC000009,2024-11-05 11:13:54,2024-11-18 09:09:54,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000067,PERIODIC,SYNTHETIC,1.3.0
APT000037,WS0007,C000005,MC000009,2025-03-15 07:33:17,2025-03-18 04:10:17,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000068,PERIODIC,SYNTHETIC,1.3.0
APT000038,WS0007,C000005,MC000009,2025-09-23 22:22:16,2025-10-04 15:42:16,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000069,PERIODIC,SYNTHETIC,1.3.0
APT000039,WS0007,C000005,MC000009,2026-01-09 11:25:04,2026-01-23 18:33:04,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000070,PERIODIC,SYNTHETIC,1.3.0
