customer_id,workshop_id,customer_type,first_seen_date,city,region,is_fleet_customer,preferred_contact,acquisition_channel,synthetic_alias,is_active,churn_date,data_origin,generator_version,random_seed,notes
C000001,WS0003,INDIVIDUAL,2024-06-08,İzmir,Ege,0,WHATSAPP,GOOGLE_MAPS,Customer_000001,1,,SYNTHETIC,1.3.0,42,
C000002,WS0008,INDIVIDUAL,2023-07-10,Gaziantep,Güneydoğu Anadolu,0,WHATSAPP,WALK_IN,Customer_000002,1,,SYNTHETIC,1.3.0,42,
C000003,WS0008,INDIVIDUAL,2023-06-22,Gaziantep,Güneydoğu Anadolu,0,WHATSAPP,REFERRAL,Customer_000003,1,,SYNTHETIC,1.3.0,42,
C000004,WS0009,INDIVIDUAL,2025-09-19,Samsun,Karadeniz,0,WHATSAPP,REFERRAL,Customer_000004,1,,SYNTHETIC,1.3.0,42,
C000005,WS0007,FLEET,2022-01-22,Adana,Akdeniz,1,WHATSAPP,REFERRAL,Customer_000005,1,,SYNTHETIC,1.3.0,42,
C000006,WS0008,INDIVIDUAL,2024-06-27,Gaziantep,Güneydoğu Anadolu,0,WHATSAPP,WALK_IN,Customer_000006,1,,SYNTHETIC,1.3.0,42,
C000007,WS0002,INDIVIDUAL,2024-08-20,Ankara,İç Anadolu,0,WHATSAPP,WALK_IN,Customer_000007,1,,SYNTHETIC,1.3.0,42,
C000008,WS0002,INDIVIDUAL,2025-10-31,Ankara,İç Anadolu,0,WHATSAPP,REFERRAL,Customer_000008,1,,SYNTHETIC,1.3.0,42,
C000009,WS0009,INDIVIDUAL,2022-04-26,Samsun,Karadeniz,0,WHATSAPP,REFERRAL,Customer_000009,1,,SYNTHETIC,1.3.0,42,
C000010,WS0005,INDIVIDUAL,2025-05-21,Antalya,Akdeniz,0,EMAIL,GOOGLE_MAPS,Customer_000010,1,,SYNTHETIC,1.3.0,42,
C000011,WS0010,INDIVIDUAL,2023-02-12,Eskişehir,İç Anadolu,0,PHONE,ORGANIC,Customer_000011,1,,SYNTHETIC,1.3.0,42,
C000012,WS0005,INDIVIDUAL,2024-05-09,Antalya,Akdeniz,0,SMS,SOCIAL_MEDIA,Customer_000012,1,,SYNTHETIC,1.3.0,42,
C000013,WS0002,COMMERCIAL,2025-05-14,Ankara,İç Anadolu,0,EMAIL,DIRECT_SALES,Customer_000013,1,,SYNTHETIC,1.3.0,42,
C000014,WS0007,INDIVIDUAL,2021-04-13,Adana,Akdeniz,0,WHATSAPP,WALK_IN,Customer_000014,1,,SYNTHETIC,1.3.0,42,
C000015,WS0006,INDIVIDUAL,2023-11-20,Konya,İç Anadolu,0,WHATSAPP,GOOGLE_MAPS,Customer_000015,1,,SYNTHETIC,1.3.0,42,
C000016,WS0005,INDIVIDUAL,2021-02-03,Antalya,Akdeniz,0,SMS,GOOGLE_MAPS,Customer_000016,1,,SYNTHETIC,1.3.0,42,
C000017,WS0001,INDIVIDUAL,2023-04-01,İstanbul,Marmara,0,PHONE,GOOGLE_MAPS,Customer_000017,1,,SYNTHETIC,1.3.0,42,
C000018,WS0005,COMMERCIAL,2021-12-29,Antalya,Akdeniz,0,WHATSAPP,REFERRAL,Customer_000018,1,,SYNTHETIC,1.3.0,42,
C000019,WS0005,INDIVIDUAL,2024-12-13,Antalya,Akdeniz,0,PHONE,ORGANIC,Customer_000019,1,,SYNTHETIC,1.3.0,42,
C000020,WS0005,INDIVIDUAL,2025-11-05,Antalya,Akdeniz,0,WHATSAPP,REFERRAL,Customer_000020,1,,SYNTHETIC,1.3.0,42,
C000021,WS0009,INDIVIDUAL,2023-03-29,Samsun,Karadeniz,0,WHATSAPP,REFERRAL,Customer_000021,1,,SYNTHETIC,1.3.0,42,
C000022,WS0003,INDIVIDUAL,2026-06-07,İzmir,Ege,0,SMS,REFERRAL,Customer_000022,1,,SYNTHETIC,1.3.0,42,
C000023,WS0003,COMMERCIAL,2021-07-08,İzmir,Ege,0,PHONE,FLEET_PARTNERSHIP,Customer_000023,1,,SYNTHETIC,1.3.0,42,
