appointment_id,workshop_id,customer_id,motorcycle_id,created_at,scheduled_at,appointment_type,source,status,service_id,customer_request,data_origin,generator_version
APT000001,WS0003,C000001,MC000001,2026-03-21 14:00:00,2026-03-25 10:43:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000003,PERIODIC,SYNTHETIC,1.0.0
APT000002,WS0003,C000001,MC000001,2026-06-12 15:45:00,2026-06-22 15:04:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000004,PERIODIC,SYNTHETIC,1.0.0
APT000003,WS0008,C000002,MC000002,2023-09-18 11:15:00,2023-09-19 12:20:00,REPAIR,WHATSAPP,CONVERTED_TO_SERVICE,SVC000005,REPAIR,SYNTHETIC,1.0.0
APT000004,WS0008,C000002,MC000002,2025-10-14 16:00:00,2025-10-17 15:18:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000008,PERIODIC,SYNTHETIC,1.0.0
APT000005,WS0008,C000003,MC000003,2023-12-17 12:15:00,2023-12-20 16:44:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000009,PERIODIC,SYNTHETIC,1.0.0
APT000006,WS0008,C000003,MC000003,2025-02-10 10:30:00,2025-02-21 08:17:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000010,PERIODIC,SYNTHETIC,1.0.0
APT000007,WS0007,C000005,MC000005,2023-06-28 16:30:00,2023-07-07 17:09:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000015,PERIODIC,SYNTHETIC,1.0.0
APT000008,WS0007,C000005,MC000005,2023-11-02 11:15:00,2023-11-11 11:50:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000016,PERIODIC,SYNTHETIC,1.0.0
APT000009,WS0007,C000005,MC000005,2024-05-25 17:00:00,2024-05-31 16:58:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000017,PERIODIC,SYNTHETIC,1.0.0
APT000010,WS0007,C000005,MC000005,2024-10-18 15:00:00,2024-10-21 15:52:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000018,PERIODIC,SYNTHETIC,1.0.0
APT000011,WS0007,C000005,MC000005,2025-08-16 09:15:00,2025-08-18 16:37:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000020,PERIODIC,SYNTHETIC,1.0.0
APT000012,WS0007,C000005,MC000006,2024-05-29 14:00:00,2024-05-30 14:15:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000021,PERIODIC,SYNTHETIC,1.0.0
APT000013,WS0007,C000005,MC000007,2023-04-11 13:00:00,2023-04-12 09:24:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000025,PERIODIC,SYNTHETIC,1.0.0
APT000014,WS0007,C000005,MC000007,2025-06-03 17:00:00,2025-06-14 09:04:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000028,PERIODIC,SYNTHETIC,1.0.0
APT000015,WS0007,C000005,MC000007,2025-11-08 16:45:00,2025-11-13 10:01:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000029,PERIODIC,SYNTHETIC,1.0.0
APT000016,WS0007,C000005,MC000008,2022-05-05 16:45:00,2022-05-16 14:53:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000031,PERIODIC,SYNTHETIC,1.0.0
APT000017,WS0007,C000005,MC000008,2022-11-10 11:15:00,2022-11-21 10:43:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000035,PERIODIC,SYNTHETIC,1.0.0
APT000018,WS0007,C000005,MC000008,2022-12-16 16:15:00,2022-12-26 13:04:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000036,PERIODIC,SYNTHETIC,1.0.0
APT000019,WS0007,C000005,MC000008,2023-09-02 16:15:00,2023-09-09 10:16:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000039,PERIODIC,SYNTHETIC,1.0.0
APT000020,WS0007,C000005,MC000008,2023-10-07 15:30:00,2023-10-16 12:53:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000040,PERIODIC,SYNTHETIC,1.0.0
APT000021,WS0007,C000005,MC000008,2024-02-15 14:30:00,2024-02-19 10:12:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000042,PERIODIC,SYNTHETIC,1.0.0
APT000022,WS0007,C000005,MC000008,2024-03-18 12:00:00,2024-03-27 12:00:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000043,PERIODIC,SYNTHETIC,1.0.0
APT000023,WS0007,C000005,MC000008,2024-06-02 11:15:00,2024-06-05 10:59:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000044,PERIODIC,SYNTHETIC,1.0.0
APT000024,WS0007,C000005,MC000008,2024-07-05 09:30:00,2024-07-11 09:55:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000045,PERIODIC,SYNTHETIC,1.0.0
APT000025,WS0007,C000005,MC000008,2024-09-21 13:00:00,2024-09-28 16:00:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000047,PERIODIC,SYNTHETIC,1.0.0
APT000026,WS0007,C000005,MC000008,2025-06-21 16:15:00,2025-06-25 11:48:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000051,PERIODIC,SYNTHETIC,1.0.0
APT000027,WS0007,C000005,MC000008,2025-08-28 15:00:00,2025-09-02 16:53:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000052,PERIODIC,SYNTHETIC,1.0.0
APT000028,WS0007,C000005,MC000008,2025-09-28 14:30:00,2025-10-06 15:36:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000053,PERIODIC,SYNTHETIC,1.0.0
APT000029,WS0007,C000005,MC000008,2025-11-05 17:15:00,2025-11-11 14:29:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000054,PERIODIC,SYNTHETIC,1.0.0
APT000030,WS0007,C000005,MC000008,2025-12-20 12:15:00,2025-12-24 17:47:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000055,PERIODIC,SYNTHETIC,1.0.0
APT000031,WS0007,C000005,MC000008,2026-01-26 17:30:00,2026-02-09 14:02:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000056,PERIODIC,SYNTHETIC,1.0.0
APT000032,WS0007,C000005,MC000008,2026-06-26 10:00:00,2026-06-29 15:08:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000059,PERIODIC,SYNTHETIC,1.0.0
APT000033,WS0007,C000005,MC000008,2026-07-25 16:30:00,2026-07-30 15:03:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000060,PERIODIC,SYNTHETIC,1.0.0
APT000034,WS0007,C000005,MC000009,2023-05-22 12:30:00,2023-05-29 09:14:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000064,PERIODIC,SYNTHETIC,1.0.0
APT000035,WS0007,C000005,MC000009,2023-09-28 11:30:00,2023-10-02 09:25:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000065,PERIODIC,SYNTHETIC,1.0.0
APT000036,WS0007,C000005,MC000009,2024-09-14 12:15:00,2024-09-27 10:11:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000067,PERIODIC,SYNTHETIC,1.0.0
APT000037,WS0007,C000005,MC000009,2025-01-25 13:15:00,2025-01-28 09:52:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000068,PERIODIC,SYNTHETIC,1.0.0
APT000038,WS0007,C000005,MC000009,2025-05-23 17:30:00,2025-06-03 10:50:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000069,PERIODIC,SYNTHETIC,1.0.0
APT000039,WS0007,C000005,MC000009,2025-09-11 10:00:00,2025-09-25 17:08:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000070,PERIODIC,SYNTHETIC,1.0.0
APT000040,WS0002,C000007,MC000011,2025-04-08 14:00:00,2025-04-10 10:58:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000074,PERIODIC,SYNTHETIC,1.0.0
APT000041,WS0002,C000007,MC000011,2025-07-06 16:30:00,2025-07-10 13:23:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000075,PERIODIC,SYNTHETIC,1.0.0
APT000042,WS0002,C000007,MC000011,2026-07-10 15:45:00,2026-07-15 11:29:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000076,PERIODIC,SYNTHETIC,1.0.0
APT000043,WS0002,C000007,MC000012,2025-04-28 11:00:00,2025-05-12 08:34:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000077,PERIODIC,SYNTHETIC,1.0.0
APT000044,WS0009,C000009,MC000014,2025-02-20 12:45:00,2025-02-26 12:59:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000081,PERIODIC,SYNTHETIC,1.0.0
APT000045,WS0009,C000009,MC000014,2025-07-23 13:45:00,2025-07-29 13:44:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000082,PERIODIC,SYNTHETIC,1.0.0
APT000046,WS0009,C000009,MC000014,2026-04-21 12:00:00,2026-05-02 09:54:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000084,PERIODIC,SYNTHETIC,1.0.0
APT000047,WS0009,C000009,MC000015,2024-04-13 16:15:00,2024-04-26 16:33:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000086,PERIODIC,SYNTHETIC,1.0.0
APT000048,WS0005,C000010,MC000017,2026-03-11 14:30:00,2026-03-25 11:36:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000089,PERIODIC,SYNTHETIC,1.0.0
APT000049,WS0010,C000011,MC000018,2023-06-20 11:45:00,2023-07-01 16:04:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000090,PERIODIC,SYNTHETIC,1.0.0
APT000050,WS0010,C000011,MC000018,2024-10-13 15:30:00,2024-10-22 13:07:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000092,PERIODIC,SYNTHETIC,1.0.0
APT000051,WS0010,C000011,MC000018,2025-04-30 13:45:00,2025-05-08 09:47:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000093,PERIODIC,SYNTHETIC,1.0.0
APT000052,WS0010,C000011,MC000018,2025-09-08 15:00:00,2025-09-17 09:50:00,PERIODIC,WEB,CONVERTED_TO_SERVICE,SVC000094,PERIODIC,SYNTHETIC,1.0.0
APT000053,WS0005,C000012,MC000019,2026-01-05 15:00:00,2026-01-19 14:14:00,PERIODIC,WHATSAPP,CONVERTED_TO_SERVICE,SVC000097,PERIODIC,SYNTHETIC,1.0.0
APT000054,WS0002,C000013,MC000020,2025-07-19 14:00:00,2025-07-24 09:52:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000098,PERIODIC,SYNTHETIC,1.0.0
APT000055,WS0002,C000013,MC000020,2026-04-20 14:30:00,2026-04-27 10:26:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000101,PERIODIC,SYNTHETIC,1.0.0
APT000056,WS0002,C000013,MC000021,2026-01-31 12:15:00,2026-02-09 16:33:00,PERIODIC,PHONE,CONVERTED_TO_SERVICE,SVC000103,PERIODIC,SYNTHETIC,1.0.0
APT000057,WS0007,C000014,MC000022,2021-07-10 15:45:00,2021-07-15 16:41:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000106,PERIODIC,SYNTHETIC,1.0.0
APT000058,WS0007,C000014,MC000022,2022-06-11 09:15:00,2022-06-17 16:49:00,PERIODIC,MOBILE_APP,CONVERTED_TO_SERVICE,SVC000110,PERIODIC,SYNTHETIC,1.0.0
