service_id,workshop_id,customer_id,motorcycle_id,appointment_id,service_type_code,primary_trigger_task,trigger_due_km,trigger_due_date,service_delay_days,arrival_mode,received_at,odometer_km,mileage_source,mileage_quality_flag,is_mileage_estimated,status,estimated_delivery_at,completed_at,delivered_at,customer_complaint,technician_notes,labor_minutes_pre_task,labor_total,parts_total,discount_total,tax_total,grand_total,is_breakdown,is_warranty,capture_origin,data_origin,generator_version,random_seed,scenario_id
SVC000001,WS0003,C000001,MC000001,,REPAIR,UNSCHEDULED_EVENT,,,0,WALK_IN,2024-07-03 16:15:00,84478,MANUAL,VALID,0,DELIVERED,2024-07-03 16:15:00,2024-07-03 16:56:00,2024-07-04 16:08:00,Mekanik sorun şüphesiyle genel kontrol istendi.,,150,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000002,WS0003,C000001,MC000001,,PERIODIC,ENGINE_OIL_CHANGE,105139.4,2026-05-15,2,WALK_IN,2025-08-11 09:26:00,105231,MANUAL,VALID,0,DELIVERED,2025-08-11 09:26:00,2025-08-11 17:11:00,2025-08-11 14:39:00,Genel bakım ve kontroller talep edildi.,,56,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000003,WS0003,C000001,MC000001,APT000001,PERIODIC,ENGINE_OIL_CHANGE,115760.1,2026-11-24,28,APPOINTMENT,2026-03-25 11:19:00,117670,ESTIMATED,ESTIMATED,1,DELIVERED,2026-03-25 11:19:00,2026-03-25 09:12:00,2026-03-26 09:36:00,Periyodik bakım zamanı geldi.,,66,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000004,WS0003,C000001,MC000001,APT000002,PERIODIC,ENGINE_OIL_CHANGE,122170.2,2027-03-25,9,APPOINTMENT,2026-06-22 15:20:00,122774,MANUAL,VALID,0,DELIVERED,2026-06-24 15:20:00,2026-06-24 12:11:00,2026-06-24 15:01:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,135,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000005,WS0008,C000002,MC000002,APT000003,REPAIR,UNSCHEDULED_EVENT,,,0,APPOINTMENT,2023-09-19 12:40:00,30196,MANUAL,VALID,0,DELIVERED,2023-09-19 12:40:00,2023-09-19 13:22:00,2023-09-19 16:01:00,Kullanıcı arıza kontrolü talep etti.,,296,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000006,WS0008,C000002,MC000002,,PERIODIC,ENGINE_OIL_CHANGE,32157.2,2024-04-12,0,WALK_IN,2023-11-13 14:24:00,32227,MANUAL,VALID,0,DELIVERED,2023-11-13 14:24:00,2023-11-13 11:11:00,2023-11-13 09:39:00,Genel bakım ve kontroller talep edildi.,,43,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000007,WS0008,C000002,MC000002,,PERIODIC,ENGINE_OIL_CHANGE,50793.7,2025-10-19,12,WALK_IN,2025-04-21 12:39:00,51265,MANUAL,VALID,0,DELIVERED,2025-04-21 12:39:00,2025-04-21 09:39:00,2025-04-21 08:53:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,156,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000008,WS0008,C000002,MC000002,APT000004,PERIODIC,ENGINE_OIL_CHANGE,57264.5,2026-04-21,16,APPOINTMENT,2025-10-17 15:23:00,57898,MANUAL,VALID,0,DELIVERED,2025-10-17 15:23:00,2025-10-17 16:13:00,2025-10-17 11:29:00,Periyodik bakım zamanı geldi.,,50,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000009,WS0008,C000003,MC000003,APT000005,PERIODIC,ENGINE_OIL_CHANGE,37405.5,2024-08-29,0,APPOINTMENT,2023-12-20 16:49:00,37424,MANUAL,VALID,0,DELIVERED,2023-12-20 16:49:00,2023-12-20 10:41:00,2023-12-20 09:15:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,130,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
SVC000010,WS0008,C000003,MC000003,APT000006,PERIODIC,ENGINE_OIL_CHANGE,48057.3,2025-10-09,18,APPOINTMENT,2025-02-21 09:02:00,48421,MANUAL,VALID,0,DELIVERED,2025-02-21 09:02:00,2025-02-21 11:57:00,2025-02-21 08:37:00,Kilometre bakımı için servise getirildi.,,79,,,,,,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.0.0,42,MAINTENANCE_EVENT_SIM_V1
